,ID,freq,IC,Reductant,influence,MotifName,Anno,Query_ID,sum_cnt,sum_match
0,0,0.0003729195713217,12.388847865870703,0,1.012607,Motif_0,1.0,Motif_0,37,10
1,1,0.0011967638384322,10.70664579632147,0,0.99218553,0,0.0,Motif_1,22,10
2,2,0.0004672279466858,12.063585809656598,0,0.97892445,0,0.0,Motif_2,48,10
3,3,0.0024100234028288,9.696737128671057,0,1.0453898,0,0.0,Motif_3,14,10
4,4,0.0022249086939216,9.812038152865911,0,1.0017675,0,0.0,Motif_4,11,10
5,5,0.0004477446279264,12.125036256797411,0,1.0183921,Motif_5,1.0,Motif_5,18,10
6,6,0.0013987689727676,10.481626584751124,1,0.9799844,0,0.0,Motif_6,41,10
7,7,0.0004818042118056,12.019265374257488,0,0.94833624,0,0.0,Motif_7,20,10
8,8,0.0017717023617614,10.140648026862529,0,1.0396534,Motif_8,1.0,Motif_8,10,10
9,9,0.0034098552308609,9.196073795310731,0,0.9818953,0,0.0,Motif_9,10,10
10,10,0.0016326853015463,10.258537544987846,0,0.998317,0,0.0,Motif_10,10,10
11,11,0.0034467455634134,9.1805494808655,0,0.94468975,Motif_11,1.0,Motif_11,43,10
12,12,0.00217810906685,9.842708087143514,0,0.9680763,0,0.0,Motif_12,40,10
13,13,0.0020786215361216,9.910157180465092,0,1.0163287,0,0.0,Motif_13,9,9
14,14,0.0026149994990028,9.57897361458993,0,1.0402845,0,0.0,Motif_14,10,10
15,15,0.0054523298529663,8.518911440265889,0,0.94836885,0,0.0,Motif_15,13,10
16,16,0.0046238648983855,8.756685039348714,0,0.9988275,0,0.0,Motif_16,21,10
17,17,0.000357023754294,12.45169231352424,0,0.9871482,0,0.0,Motif_17,10,10
18,18,0.0005962256165472,11.711854018189356,0,0.94569373,0,0.0,Motif_18,62,10
19,19,0.0058643018852698,8.413824911549955,0,1.034888,0,0.0,Motif_19,10,10
20,20,0.0018618606893318,10.069039155014076,0,1.0560366,0,0.0,Motif_20,12,10
21,21,0.0019867832539606,9.97534979279531,1,1.244642,0,0.0,Motif_21,68,10
22,22,0.0036621504332191,9.093093229517653,0,0.9869706,0,0.0,Motif_22,15,10
23,23,0.0038963011063126,9.003679111400421,0,0.8607515,Motif_23,1.0,Motif_23,10,10
24,24,0.0025052265141702,9.64084323170231,0,0.943529,Motif_24,1.0,Motif_24,50,10
25,25,0.0023142306873984,9.755251602162431,1,1.0526912,0,0.0,Motif_25,89,10
26,26,0.0028454243836804,9.457140443880252,0,0.9862889,0,0.0,Motif_26,21,10
27,27,0.0022790108376183,9.777376499444117,0,1.025246,0,0.0,Motif_27,10,10
28,28,0.0070878492974331,8.14043635517057,0,0.99331534,0,0.0,Motif_28,10,10
29,29,0.0009969602980363,10.970176326246524,0,1.0775814,0,0.0,Motif_29,13,10
30,30,0.0021074801546952,9.890265238717737,0,1.0354542,0,0.0,Motif_30,25,10
31,31,0.00194426371866,10.006560366233396,0,1.0088814,0,0.0,Motif_31,9,9
32,32,0.0013664833826795,10.51531636879775,0,1.0692105,0,0.0,Motif_32,11,10
33,33,0.0015289033104518,10.353287112719707,1,1.0327266,0,0.0,Motif_33,40,10
34,34,0.0023398247198601,9.739383825477343,0,1.0002466,0,0.0,Motif_34,12,10
35,35,0.0031872482861362,9.293472875453672,0,1.0152733,0,0.0,Motif_35,28,10
36,36,0.005374528629359,8.539646055337979,0,1.0143982,0,0.0,Motif_36,14,10
37,37,0.0020486651742592,9.931100069423495,0,1.1236646,0,0.0,Motif_37,12,10
38,38,0.0019787398997179,9.98120229837495,0,1.0846117,0,0.0,Motif_38,10,10
39,39,0.0017654169721075,10.145775312188432,0,1.0165567,0,0.0,Motif_39,13,10
40,40,0.0021900411726247,9.834826292012274,0,1.0332311,0,0.0,Motif_40,20,10
41,41,0.0010771315050776,10.858589887944747,0,0.9388573,0,0.0,Motif_41,12,10
42,42,0.001600965428195,10.286842130530673,0,0.89104474,0,0.0,Motif_42,10,10
43,43,0.0031586315282118,9.306484636094812,0,1.0713714,0,0.0,Motif_43,29,10
44,44,0.0013561407768945,10.526277336581789,0,0.92864776,0,0.0,Motif_44,12,10
45,45,0.0026385309842171,9.566049359492286,1,1.1137955,0,0.0,Motif_45,49,10
46,46,0.0011661328690222,10.744052106279256,0,1.0272521,0,0.0,Motif_46,17,10
47,47,0.002582698051515,9.596905299760335,1,0.9891027,0,0.0,Motif_47,40,10
48,48,0.0008730957452866,11.16157250842538,1,1.0037676,0,0.0,Motif_48,34,10
49,49,0.0109389884970718,7.514376848145608,1,0.9622466,0,0.0,Motif_49,18,9
50,50,0.0021236551466325,9.879234773998387,0,1.0336827,0,0.0,Motif_50,10,10
51,51,0.0020569631124704,9.92526836242446,0,1.0850818,0,0.0,Motif_51,68,10
52,52,0.0016613716276375,10.233409462788144,0,1.1077064,0,0.0,Motif_52,30,10
53,53,0.0044495700902222,8.812118332552979,0,0.9856554,0,0.0,Motif_53,40,10
54,54,0.0031925782796532,9.291062290487249,0,1.0411394,0,0.0,Motif_54,20,10
55,55,0.0029835546396862,9.388752086558426,1,1.0759705,0,0.0,Motif_55,30,10
56,56,0.0027698455452875,9.49597875505202,0,0.9843025,0,0.0,Motif_56,11,10
57,57,0.0033676555097906,9.214039717438176,0,1.0148138,0,0.0,Motif_57,10,10
58,58,0.0027349224833308,9.514284341771877,0,1.102989,0,0.0,Motif_58,30,10
59,59,0.0011735912696839,10.7348542406705,0,0.99080634,0,0.0,Motif_59,13,10
60,60,0.0010414988548823,10.90712303151146,0,1.0678774,0,0.0,Motif_60,19,10
61,61,0.0024804701743698,9.655170674558027,0,1.0635366,Motif_61,1.0,Motif_61,10,10
62,62,0.0067945119191144,8.201414365334434,0,1.079071,0,0.0,Motif_62,10,10
63,63,0.0020995347976801,9.895714585070005,0,1.0836164,0,0.0,Motif_63,39,10
64,64,0.0046649426032142,8.743924954189026,0,0.9716164,0,0.0,Motif_64,19,10
65,65,0.0024173563953902,9.692354096640203,0,1.0110625,0,0.0,Motif_65,10,10
66,66,0.0054775686370586,8.51224862754176,0,0.9969824,0,0.0,Motif_66,10,10
67,67,0.0055318397593378,8.498024918079128,0,1.0432479,0,0.0,Motif_67,19,10
68,68,0.0049371008197843,8.662120178226436,0,1.0057697,0,0.0,Motif_68,23,10
69,69,0.0028430952008238,9.458321876305469,0,0.9746912,0,0.0,Motif_69,10,10
70,70,0.0010355231685994,10.915424452156746,1,0.97760344,0,0.0,Motif_70,23,10
71,71,0.0022658737096372,9.785716831075318,0,0.99704236,0,0.0,Motif_71,10,10
72,72,0.0058559691705181,8.415876326268569,0,1.0083106,0,0.0,Motif_72,10,10
73,73,0.0013244468016657,10.560394387737745,0,0.8926643,0,0.0,Motif_73,10,10
74,74,0.0018168446270799,10.104349236210362,0,1.0191305,0,0.0,Motif_74,12,10
75,75,0.0024188144823844,9.691484162556954,1,1.0155464,0,0.0,Motif_75,36,10
