,ID,freq,IC,Reductant,influence,MotifName,Anno,Query_ID,sum_cnt,sum_match
0,0,0.0027065587039083,9.529324604934327,1,0.9984361,0,0.0,Motif_0,82,10
1,1,0.001139161338843,10.777812194977846,0,1.0113958,0,0.0,Motif_1,13,10
2,2,0.006332313267075,8.303051655580509,0,1.102752,0,0.0,Motif_2,10,10
3,3,0.0013801968199481,10.50091027061803,0,1.0376557,0,0.0,Motif_3,10,10
4,4,0.0057068963239105,8.453077930573384,0,0.99892205,0,0.0,Motif_4,10,10
5,5,0.0159044152039882,6.974428863971914,0,0.8962796,0,0.0,Motif_5,10,10
6,6,0.0031702001787189,9.301210344068032,0,1.2470434,0,0.0,Motif_6,10,10
7,7,0.0022264376682422,9.811047062271184,0,1.4991637,0,0.0,Motif_7,15,10
8,8,0.0015800222141802,10.30583944267592,1,0.951762,0,0.0,Motif_8,71,10
9,9,0.0011166530551183,10.806603275573686,0,1.0983905,0,0.0,Motif_9,10,10
10,10,0.0002964933108753,12.719712822757408,0,1.002477,Motif_10,1.0,Motif_10,81,10
11,11,0.0034774353125343,9.167760606746876,0,0.985565,0,0.0,Motif_11,10,10
12,12,0.0026248241218429,9.573563527424565,0,1.0451876,0,0.0,Motif_12,10,10
13,13,0.0040387271949919,8.951883585445641,0,0.9084109,0,0.0,Motif_13,12,10
14,14,0.0028567373241632,9.451415897512447,0,0.9044449,0,0.0,Motif_14,40,10
15,15,0.0040025046987654,8.9648811882587,1,0.8914247,0,0.0,Motif_15,21,10
16,16,0.0102612998094856,7.606642699577768,0,0.93156123,0,0.0,Motif_16,10,10
17,17,0.0038219731812959,9.031466629671456,1,0.9250759,Motif_17,1.0,Motif_17,50,10
18,18,0.0050914378813897,8.617711136926538,0,0.87306094,0,0.0,Motif_18,10,10
19,19,0.0036620178192737,9.09314547339702,0,1.0315592,0,0.0,Motif_19,10,10
20,20,0.0120135807927938,7.3791899619587795,0,0.89751005,0,0.0,Motif_20,10,10
21,21,0.0034471674610725,9.180372899101496,0,0.9572753,0,0.0,Motif_21,10,10
22,22,0.0034721476015393,9.16995600638354,0,1.1159197,0,0.0,Motif_22,10,10
23,23,0.0018036423430292,10.11487099989045,0,1.0306554,0,0.0,Motif_23,18,10
24,24,0.0024333263233447,9.682854477537306,0,0.9957994,0,0.0,Motif_24,10,10
25,25,0.004882288370868,8.678226774685465,0,1.0349602,0,0.0,Motif_25,50,10
26,26,0.0058963949169131,8.40595113105812,0,0.950941,Motif_26,1.0,Motif_26,10,10
27,27,0.0035815653068514,9.125194036033212,0,1.1207615,0,0.0,Motif_27,19,10
28,28,0.0036995530129124,9.078433312571825,1,1.0241898,0,0.0,Motif_28,30,10
29,29,0.0033645130756028,9.215386556719086,0,1.268971,0,0.0,Motif_29,14,10
30,30,0.0026151650393569,9.57888228887879,0,1.0575237,0,0.0,Motif_30,17,9
31,31,0.0030804552186688,9.342640721667829,0,1.0774466,0,0.0,Motif_31,10,10
32,32,0.0041538208132412,8.911345301850746,1,1.0848386,0,0.0,Motif_32,25,10
33,33,0.0137008214273525,7.189593797782927,0,0.87864226,0,0.0,Motif_33,10,10
34,34,0.0003293343113332,12.568159554188624,1,0.9481603,Motif_34,1.0,Motif_34,76,10
35,35,0.0009903734568317,10.979739730395462,1,0.8676812,Motif_35,1.0,Motif_35,116,10
36,36,0.0014402204708949,10.43949460638332,0,1.093259,0,0.0,Motif_36,10,10
37,37,0.0129680969197817,7.268889411483526,0,0.9354763,0,0.0,Motif_37,10,10
38,38,0.0025782407071551,9.599397323209237,0,1.0644617,0,0.0,Motif_38,10,10
39,39,0.0019315366006466,10.016035269235072,0,1.1348891,0,0.0,Motif_39,29,10
40,40,0.0047834758029842,8.707724984145866,1,1.0896856,0,0.0,Motif_40,55,10
41,41,0.002447009082173,9.674764828613917,1,0.99276006,0,0.0,Motif_41,20,10
42,42,0.0046385215576527,8.752119238215311,0,0.97710043,0,0.0,Motif_42,10,10
43,43,0.004035894139574,8.952895951227363,0,0.9939785,0,0.0,Motif_43,15,10
44,44,0.0027505400044987,9.506069398631311,0,1.2319312,0,0.0,Motif_44,23,10
45,45,0.0074476979458416,8.068989721549608,0,0.91319245,0,0.0,Motif_45,20,10
46,46,0.012131027196326,7.365154473751383,0,0.85790294,0,0.0,Motif_46,10,10
47,47,0.0024008300797372,9.702250985131768,0,1.0287852,0,0.0,Motif_47,10,10
48,48,0.0035173115258732,9.151311165528089,0,1.0167654,0,0.0,Motif_48,22,10
49,49,0.0035075983981954,9.155300708515458,0,1.3396707,0,0.0,Motif_49,23,10
50,50,0.0062222699767039,8.328343291653818,0,0.9909891,0,0.0,Motif_50,10,10
51,51,0.003421302775711,9.191238500437032,0,0.98764175,0,0.0,Motif_51,10,10
52,52,0.0030808585745265,9.342451827053456,0,1.1240608,0,0.0,Motif_52,10,10
53,53,0.0013571237459593,10.525232009342064,0,0.919367,Motif_53,1.0,Motif_53,17,10
54,54,0.0044038801005992,8.827009093831025,0,0.99828976,Motif_54,1.0,Motif_54,20,10
55,55,0.0032499930749798,9.26534764058344,0,0.959664,0,0.0,Motif_55,22,10
56,56,0.0012773746581719,10.61260255037233,0,0.96432054,0,0.0,Motif_56,10,10
57,57,0.0031437135558352,9.31331451439457,0,0.9974279,0,0.0,Motif_57,19,10
58,58,0.0016068554773192,10.281544107690756,0,0.96842563,Motif_58,1.0,Motif_58,26,10
59,59,0.003890370854781,9.005876596069788,0,1.1027842,0,0.0,Motif_59,46,10
60,60,0.0060575137121263,8.367058519216691,0,0.9502343,0,0.0,Motif_60,37,10
61,61,0.0088848182576179,7.814442018989443,1,1.0123137,0,0.0,Motif_61,21,10
62,62,0.0026726584377146,9.547508809857616,0,0.98280746,0,0.0,Motif_62,10,10
63,63,0.0047794495890358,8.708939800533523,0,0.96549004,0,0.0,Motif_63,17,10
64,64,0.001695911945719,10.203723019697517,0,0.982086,0,0.0,Motif_64,58,10
65,65,0.0024593606134813,9.667500993348618,0,1.1191007,Motif_65,1.0,Motif_65,10,10
66,66,0.001100315757503,10.827866691444797,0,1.1336882,0,0.0,Motif_66,30,10
67,67,0.0029244743763675,9.417606936120167,0,1.0224406,0,0.0,Motif_67,10,10
68,68,0.0012054828354003,10.696173175786416,0,1.1024681,0,0.0,Motif_68,10,10
69,69,0.0051760452349995,8.593934059135309,0,1.1045488,0,0.0,Motif_69,10,10
70,70,0.0024016019544826,9.701787228489716,0,1.0560197,0,0.0,Motif_70,19,10
71,71,0.0017505519638675,10.157974396902306,1,1.0236236,0,0.0,Motif_71,22,10
72,72,0.0056007824517875,8.480155893124305,0,1.1472217,0,0.0,Motif_72,25,10
73,73,0.0014404567748236,10.43925791585689,0,1.0564651,0,0.0,Motif_73,19,10
74,74,0.0025916250700932,9.591927265761264,0,1.010397,0,0.0,Motif_74,10,10
75,75,0.0024680899989172,9.662389281331883,0,1.0006111,0,0.0,Motif_75,10,10
76,76,0.0018787055563503,10.056045309271704,0,0.9903404,0,0.0,Motif_76,22,10
77,77,0.0014786853853543,10.401469156682303,1,1.0228105,0,0.0,Motif_77,21,10
78,78,0.0023498199105879,9.733234091300533,0,1.074243,0,0.0,Motif_78,10,10
79,79,0.0061236449497196,8.351393647175133,0,0.9423834,0,0.0,Motif_79,38,10
80,80,0.0024152747035989,9.6935969999565,0,0.9712989,0,0.0,Motif_80,20,10
81,81,0.004047178848904,8.948867680101086,0,1.1878206,0,0.0,Motif_81,10,10
82,82,0.0073403478681648,8.089935848870985,0,1.0968877,0,0.0,Motif_82,21,10
83,83,0.0008802978716007,11.149720599928417,0,0.9609415,0,0.0,Motif_83,43,10
84,84,0.003670162180146,9.08994046918956,0,0.94205064,0,0.0,Motif_84,40,10
85,85,0.0060628220995529,8.365794794378674,0,1.0204096,0,0.0,Motif_85,10,10
86,86,0.0039291550264766,8.991565193598314,0,1.239209,0,0.0,Motif_86,20,10
87,87,0.0031955405500683,9.28972428997163,0,1.051288,0,0.0,Motif_87,10,10
88,88,0.0042720646398072,8.870850808323937,1,0.99799514,0,0.0,Motif_88,37,10
89,89,0.001780644015839,10.13338516121356,0,0.9881089,0,0.0,Motif_89,9,9
90,90,0.005352922210189,8.545457597409868,0,0.96679044,0,0.0,Motif_90,33,10
91,91,0.0049076740193686,8.670744860082404,0,1.1654272,0,0.0,Motif_91,10,10
92,92,0.0047131698737418,8.729086604244895,1,0.9764828,0,0.0,Motif_92,28,10
93,93,0.0033703845775232,9.212871065234136,0,1.0318928,0,0.0,Motif_93,10,10
94,94,0.0041621926806812,8.90844053125896,0,0.9987779,0,0.0,Motif_94,17,10
95,95,0.0132241864342515,7.240677220809672,0,0.9870042,0,0.0,Motif_95,10,10
96,96,0.0028552303375435,9.452177149081866,0,1.0738364,0,0.0,Motif_96,10,10
97,97,0.0101633373657023,7.620481967749636,0,0.99298704,Motif_97,1.0,Motif_97,11,10
