,ID,freq,IC,Reductant,influence,MotifName,Anno,Query_ID,sum_cnt,sum_match
0,0,0.0046644061703921,8.744090862655275,0,1.0053518,0,0.0,Motif_0,18,10
1,1,0.0014682875334219,10.411649767147171,0,1.1068792,0,0.0,Motif_1,31,10
2,2,0.0153022806313016,7.030109503505871,1,0.9899453,0,0.0,Motif_2,184,10
3,3,0.0022765504336022,9.778934864179634,0,1.0248092,0,0.0,Motif_3,10,10
4,4,0.0202521820461191,6.625778832023444,1,1.0130149,0,0.0,Motif_4,32,10
5,5,0.0021653744854848,9.851167734707076,0,1.025655,Motif_5,1.0,Motif_5,10,10
6,6,0.0013790923515493,10.502065213842778,1,1.007117,0,0.0,Motif_6,52,10
7,7,0.0003178558737077,12.619339631087648,0,1.0088136,Motif_7,1.0,Motif_7,37,10
8,8,0.0278680995474889,6.165241567917792,1,1.0052832,0,0.0,Motif_8,85,10
9,9,0.0034736884631365,9.1693159125487,0,1.021794,0,0.0,Motif_9,10,10
10,10,0.0237289432231826,6.397208338742345,1,0.9882634,0,0.0,Motif_10,102,10
11,11,0.001689921365092,10.208828167640512,1,1.0163807,Motif_11,1.0,Motif_11,74,10
12,12,0.0023937235966986,9.706527710782522,0,1.0028284,0,0.0,Motif_12,10,10
13,13,0.0031304371229756,9.319420160693534,0,1.0167451,0,0.0,Motif_13,22,10
14,14,0.0027184696081452,9.522989585429247,0,0.9916791,0,0.0,Motif_14,6,6
15,15,0.0098792782486998,7.661378638100775,1,1.0027467,0,0.0,Motif_15,32,10
16,16,0.0021077594726801,9.89007404167664,0,0.9648484,0,0.0,Motif_16,14,10
17,17,0.012420529839899,7.3311294718451006,0,0.9934762,0,0.0,Motif_17,36,10
18,18,0.0007246622033248,11.430403730842665,1,1.0511352,0,0.0,Motif_18,123,10
19,19,0.0110832712862432,7.495472426448646,0,0.99305284,0,0.0,Motif_19,52,10
20,20,0.0143584468560039,7.121956487572311,0,1.0009296,0,0.0,Motif_20,23,10
21,21,0.0015503408470323,10.333198853508222,1,1.0039362,Motif_21,1.0,Motif_21,131,10
22,22,0.0024680737593686,9.662398774013807,0,1.0607406,0,0.0,Motif_22,45,10
23,23,0.0018736808485961,10.059909050640202,0,1.020856,0,0.0,Motif_23,12,10
24,24,0.0012280304489462,10.669437951967732,0,1.0239325,0,0.0,Motif_24,49,10
25,25,0.004419806353455,8.82180112297075,0,1.0107605,0,0.0,Motif_25,10,10
26,26,0.0054729908578503,8.513454838009796,0,1.0100491,Motif_26,1.0,Motif_26,16,10
27,27,0.0270484101767813,6.208312390453813,1,0.98747104,0,0.0,Motif_27,192,10
28,28,0.00098302674969,10.9904817044688,1,1.026014,Motif_28,1.0,Motif_28,82,10
29,29,0.000645033970054,11.598337238954596,0,1.0326574,Motif_29,1.0,Motif_29,100,10
