Celltype,Species,Cellcluster,colors_lineage
GABAergic_neurons,WORM,Neuron,#D95F02
Dopaminergic_neurons,WORM,Neuron,#D95F02
Cholinergic_neurons,WORM,Neuron,#D95F02
Intestinal_rectal_muscle,WORM,Muscle,#66A61E
Canal_associated_neurons,WORM,Neuron,#D95F02
Ciliated_sensory_neurons,WORM,Neuron,#D95F02
Pharyngeal_neurons,WORM,Neuron,#D95F02
Touch_receptor_neurons,WORM,Neuron,#D95F02
flp-1(+)_interneurons,WORM,Neuron,#D95F02
Non-seam_hypodermis,WORM,Non-seam,#33A02C
Pharyngeal_epithelia,WORM,Pharyn,#E31A1C
Body_wall_muscle,WORM,Muscle,#66A61E
Coelomocytes,WORM,Coelomocytes,#BC80BD
Germ,WORM,Germ,lightblue
Intestine,WORM,Intestine,#A6CEE3
Other_interneurons,WORM,Neuron,#D95F02
Oxygen_sensory_neurons,WORM,Neuron,#D95F02
Seam_cells,WORM,Seam,#FFFF33
Rectum,WORM,Rectum,#B3CDE3
Vulval_precursors,WORM,Precursors,#E6AB02
Sex_myoblasts,WORM,Precursors,#E6AB02
Somatic_gonad_precursors,WORM,Precursors,#E6AB02
Pharyngeal_gland,WORM,Pharyn,#E31A1C
Pharyngeal_muscle,WORM,Pharyn,#E31A1C
