,Celltype,Motif,Influe
0,Body_wall_muscle,Motif_1,0.1330743
1,Canal_associated_neurons,Motif_1,1.9669008
2,Cholinergic_neurons,Motif_1,1.9756701
3,Ciliated_sensory_neurons,Motif_1,1.9775453
4,Coelomocytes,Motif_1,-0.2610489
5,Dopaminergic_neurons,Motif_1,1.9850425
6,GABAergic_neurons,Motif_1,1.0211991
7,Germ,Motif_1,-0.6282935
8,Intestinal_rectal_muscle,Motif_1,1.9368721
9,Intestine,Motif_1,-0.55753523
10,Non-seam_hypodermis,Motif_1,-0.75571
11,Other_interneurons,Motif_1,0.5598128
12,Oxygen_sensory_neurons,Motif_1,1.2372394
13,Pharyngeal_epithelia,Motif_1,-0.5039412
14,Pharyngeal_gland,Motif_1,0.0024108815
15,Pharyngeal_muscle,Motif_1,0.07706281
16,Pharyngeal_neurons,Motif_1,-0.7480172
17,Rectum,Motif_1,0.13629103
18,Seam_cells,Motif_1,-0.4289568
19,Sex_myoblasts,Motif_1,-0.1937497
20,Somatic_gonad_precursors,Motif_1,-0.5037578
21,Touch_receptor_neurons,Motif_1,-0.7427294
22,Vulval_precursors,Motif_1,-0.38541257
23,flp-1(+)_interneurons,Motif_1,-0.7430056
24,Body_wall_muscle,Motif_2,0.39060223
25,Canal_associated_neurons,Motif_2,1.1138998
26,Cholinergic_neurons,Motif_2,1.1003517
27,Ciliated_sensory_neurons,Motif_2,0.9926883
28,Coelomocytes,Motif_2,0.1503459
29,Dopaminergic_neurons,Motif_2,1.0542412
30,GABAergic_neurons,Motif_2,0.5626397
31,Germ,Motif_2,0.38591376
32,Intestinal_rectal_muscle,Motif_2,1.4783927
33,Intestine,Motif_2,0.64568216
34,Non-seam_hypodermis,Motif_2,-1.1718801
35,Other_interneurons,Motif_2,0.06954544
36,Oxygen_sensory_neurons,Motif_2,-0.020155044
37,Pharyngeal_epithelia,Motif_2,-1.2225373
38,Pharyngeal_gland,Motif_2,-1.3997216
39,Pharyngeal_muscle,Motif_2,-1.2914335
40,Pharyngeal_neurons,Motif_2,-1.7591949
41,Rectum,Motif_2,-1.2234241
42,Seam_cells,Motif_2,-0.92431635
43,Sex_myoblasts,Motif_2,-1.5198888
44,Somatic_gonad_precursors,Motif_2,-1.5567211
45,Touch_receptor_neurons,Motif_2,-1.7533742
46,Vulval_precursors,Motif_2,-1.4796389
47,flp-1(+)_interneurons,Motif_2,-1.746669
48,Body_wall_muscle,Motif_3,-0.111024424
49,Canal_associated_neurons,Motif_3,-0.63922197
50,Cholinergic_neurons,Motif_3,-0.63922197
