,Celltype,Motif,Influe
0,Canal_associated_neurons,Motif_1,1.0
1,Cholinergic_neurons,Motif_1,1.0
2,Ciliated_sensory_neurons,Motif_1,1.0
3,Dopaminergic_neurons,Motif_1,1.0
4,Intestinal_rectal_muscle,Motif_1,1.0
5,Non-seam_hypodermis,Motif_1,0.0
6,Pharyngeal_epithelia,Motif_1,0.0
7,Pharyngeal_neurons,Motif_1,0.0
8,Somatic_gonad_precursors,Motif_1,0.0
9,Touch_receptor_neurons,Motif_1,0.0
10,Vulval_precursors,Motif_1,0.0
11,flp-1(+)_interneurons,Motif_1,0.0
12,Canal_associated_neurons,Motif_2,1.0
13,Cholinergic_neurons,Motif_2,1.0
14,Ciliated_sensory_neurons,Motif_2,1.0
15,Dopaminergic_neurons,Motif_2,1.0
16,Intestinal_rectal_muscle,Motif_2,1.0
17,Non-seam_hypodermis,Motif_2,0.0
18,Pharyngeal_epithelia,Motif_2,0.0
19,Pharyngeal_neurons,Motif_2,0.0
20,Somatic_gonad_precursors,Motif_2,0.0
21,Touch_receptor_neurons,Motif_2,0.0
22,Vulval_precursors,Motif_2,0.0
23,flp-1(+)_interneurons,Motif_2,0.0
24,Canal_associated_neurons,Motif_3,0.0
25,Cholinergic_neurons,Motif_3,0.0
26,Ciliated_sensory_neurons,Motif_3,0.0
27,Dopaminergic_neurons,Motif_3,0.0
28,Intestinal_rectal_muscle,Motif_3,0.0
29,Non-seam_hypodermis,Motif_3,1.0
30,Pharyngeal_epithelia,Motif_3,1.0
31,Pharyngeal_neurons,Motif_3,1.0
32,Somatic_gonad_precursors,Motif_3,0.0
33,Touch_receptor_neurons,Motif_3,1.0
34,Vulval_precursors,Motif_3,0.0
35,flp-1(+)_interneurons,Motif_3,1.0
36,Canal_associated_neurons,Motif_5,0.0
37,Cholinergic_neurons,Motif_5,0.0
38,Ciliated_sensory_neurons,Motif_5,0.0
39,Dopaminergic_neurons,Motif_5,0.0
40,Intestinal_rectal_muscle,Motif_5,0.0
41,Non-seam_hypodermis,Motif_5,1.0
42,Pharyngeal_epithelia,Motif_5,0.0
43,Pharyngeal_neurons,Motif_5,1.0
44,Somatic_gonad_precursors,Motif_5,1.0
45,Touch_receptor_neurons,Motif_5,0.0
46,Vulval_precursors,Motif_5,1.0
47,flp-1(+)_interneurons,Motif_5,0.0
48,Canal_associated_neurons,Motif_6,0.0
49,Cholinergic_neurons,Motif_6,0.0
50,Ciliated_sensory_neurons,Motif_6,0.0
51,Dopaminergic_neurons,Motif_6,0.0
52,Intestinal_rectal_muscle,Motif_6,0.0
53,Non-seam_hypodermis,Motif_6,1.0
54,Pharyngeal_epithelia,Motif_6,1.0
55,Pharyngeal_neurons,Motif_6,0.0
56,Somatic_gonad_precursors,Motif_6,1.0
57,Touch_receptor_neurons,Motif_6,0.0
58,Vulval_precursors,Motif_6,1.0
59,flp-1(+)_interneurons,Motif_6,0.0
60,Canal_associated_neurons,Motif_7,1.0
61,Cholinergic_neurons,Motif_7,1.0
62,Ciliated_sensory_neurons,Motif_7,1.0
63,Dopaminergic_neurons,Motif_7,1.0
64,Intestinal_rectal_muscle,Motif_7,1.0
65,Non-seam_hypodermis,Motif_7,0.0
66,Pharyngeal_epithelia,Motif_7,0.0
67,Pharyngeal_neurons,Motif_7,0.0
68,Somatic_gonad_precursors,Motif_7,0.0
69,Touch_receptor_neurons,Motif_7,0.0
70,Vulval_precursors,Motif_7,0.0
71,flp-1(+)_interneurons,Motif_7,0.0
72,Canal_associated_neurons,Motif_8,1.0
73,Cholinergic_neurons,Motif_8,1.0
74,Ciliated_sensory_neurons,Motif_8,1.0
75,Dopaminergic_neurons,Motif_8,1.0
76,Intestinal_rectal_muscle,Motif_8,1.0
77,Non-seam_hypodermis,Motif_8,0.0
78,Pharyngeal_epithelia,Motif_8,0.0
79,Pharyngeal_neurons,Motif_8,0.0
80,Somatic_gonad_precursors,Motif_8,0.0
81,Touch_receptor_neurons,Motif_8,0.0
82,Vulval_precursors,Motif_8,0.0
83,flp-1(+)_interneurons,Motif_8,0.0
84,Canal_associated_neurons,Motif_12,0.0
85,Cholinergic_neurons,Motif_12,0.0
86,Ciliated_sensory_neurons,Motif_12,0.0
87,Dopaminergic_neurons,Motif_12,0.0
88,Intestinal_rectal_muscle,Motif_12,0.0
89,Non-seam_hypodermis,Motif_12,0.0
90,Pharyngeal_epithelia,Motif_12,0.0
91,Pharyngeal_neurons,Motif_12,1.0
92,Somatic_gonad_precursors,Motif_12,1.0
93,Touch_receptor_neurons,Motif_12,1.0
94,Vulval_precursors,Motif_12,1.0
95,flp-1(+)_interneurons,Motif_12,1.0
96,Canal_associated_neurons,Motif_13,1.0
97,Cholinergic_neurons,Motif_13,1.0
98,Ciliated_sensory_neurons,Motif_13,1.0
99,Dopaminergic_neurons,Motif_13,1.0
100,Intestinal_rectal_muscle,Motif_13,1.0
101,Non-seam_hypodermis,Motif_13,0.0
102,Pharyngeal_epithelia,Motif_13,0.0
103,Pharyngeal_neurons,Motif_13,0.0
104,Somatic_gonad_precursors,Motif_13,0.0
105,Touch_receptor_neurons,Motif_13,0.0
106,Vulval_precursors,Motif_13,0.0
107,flp-1(+)_interneurons,Motif_13,0.0
108,Canal_associated_neurons,Motif_14,0.0
109,Cholinergic_neurons,Motif_14,0.0
110,Ciliated_sensory_neurons,Motif_14,0.0
111,Dopaminergic_neurons,Motif_14,0.0
112,Intestinal_rectal_muscle,Motif_14,1.0
113,Non-seam_hypodermis,Motif_14,0.0
114,Pharyngeal_epithelia,Motif_14,0.0
115,Pharyngeal_neurons,Motif_14,0.0
116,Somatic_gonad_precursors,Motif_14,1.0
117,Touch_receptor_neurons,Motif_14,0.0
118,Vulval_precursors,Motif_14,1.0
119,flp-1(+)_interneurons,Motif_14,0.0
120,Canal_associated_neurons,Motif_15,0.0
121,Cholinergic_neurons,Motif_15,0.0
122,Ciliated_sensory_neurons,Motif_15,0.0
123,Dopaminergic_neurons,Motif_15,0.0
124,Intestinal_rectal_muscle,Motif_15,0.0
125,Non-seam_hypodermis,Motif_15,1.0
126,Pharyngeal_epithelia,Motif_15,1.0
127,Pharyngeal_neurons,Motif_15,0.0
128,Somatic_gonad_precursors,Motif_15,1.0
129,Touch_receptor_neurons,Motif_15,0.0
130,Vulval_precursors,Motif_15,1.0
131,flp-1(+)_interneurons,Motif_15,0.0
132,Canal_associated_neurons,Motif_16,1.0
133,Cholinergic_neurons,Motif_16,1.0
134,Ciliated_sensory_neurons,Motif_16,1.0
135,Dopaminergic_neurons,Motif_16,1.0
136,Intestinal_rectal_muscle,Motif_16,1.0
137,Non-seam_hypodermis,Motif_16,0.0
138,Pharyngeal_epithelia,Motif_16,0.0
139,Pharyngeal_neurons,Motif_16,0.0
140,Somatic_gonad_precursors,Motif_16,0.0
141,Touch_receptor_neurons,Motif_16,0.0
142,Vulval_precursors,Motif_16,0.0
143,flp-1(+)_interneurons,Motif_16,0.0
144,Canal_associated_neurons,Motif_17,0.0
145,Cholinergic_neurons,Motif_17,0.0
146,Ciliated_sensory_neurons,Motif_17,0.0
147,Dopaminergic_neurons,Motif_17,0.0
148,Intestinal_rectal_muscle,Motif_17,1.0
149,Non-seam_hypodermis,Motif_17,0.0
