,Cluster,Motif,Influe
0,Coelomocytes,Motif_1,-0.2610489
1,Germ,Motif_1,-0.6282935
2,Intestine,Motif_1,-0.55753523
3,Muscle,Motif_1,0.18928707
4,Neuron,Motif_1,1.1141646
5,Non-seam,Motif_1,-0.75571
6,Pharyn,Motif_1,-0.25941175
7,Precursors,Motif_1,-0.37155262
8,Rectum,Motif_1,0.13629103
9,Seam,Motif_1,-0.4289568
10,Coelomocytes,Motif_2,0.1503459
11,Germ,Motif_2,0.38591376
12,Intestine,Motif_2,0.64568216
13,Muscle,Motif_2,0.42450166
14,Neuron,Motif_2,0.24203742
15,Non-seam,Motif_2,-1.1718801
16,Pharyn,Motif_2,-1.2750487
17,Precursors,Motif_2,-1.514154
18,Rectum,Motif_2,-1.2234241
19,Seam,Motif_2,-0.92431635
20,Coelomocytes,Motif_3,-0.5231406
21,Germ,Motif_3,-0.61349756
22,Intestine,Motif_3,-0.61531675
23,Muscle,Motif_3,-0.12748493
24,Neuron,Motif_3,-0.081798874
25,Non-seam,Motif_3,1.4655881
26,Pharyn,Motif_3,0.6738496
27,Precursors,Motif_3,0.76704794
28,Rectum,Motif_3,0.010516729
29,Seam,Motif_3,0.41800988
30,Coelomocytes,Motif_5,-0.40054154
31,Germ,Motif_5,-0.12551579
32,Intestine,Motif_5,0.120461725
33,Muscle,Motif_5,-0.12574352
34,Neuron,Motif_5,-0.8160801
35,Non-seam,Motif_5,0.54038966
36,Pharyn,Motif_5,0.21523485
37,Precursors,Motif_5,0.8223687
38,Rectum,Motif_5,0.0908253
39,Seam,Motif_5,0.68021786
40,Coelomocytes,Motif_6,-0.6068352
41,Germ,Motif_6,-0.02524692
42,Intestine,Motif_6,-0.2914291
43,Muscle,Motif_6,-0.08459726
44,Neuron,Motif_6,-0.8684812
45,Non-seam,Motif_6,0.873017
46,Pharyn,Motif_6,0.31786653
47,Precursors,Motif_6,0.6708938
48,Rectum,Motif_6,0.009641335
49,Seam,Motif_6,0.6841687
50,Coelomocytes,Motif_7,-0.21854883
51,Germ,Motif_7,0.0059703276
52,Intestine,Motif_7,0.2940165
53,Muscle,Motif_7,0.2035037
54,Neuron,Motif_7,0.43386406
55,Non-seam,Motif_7,-1.2928528
56,Pharyn,Motif_7,-0.86986774
57,Precursors,Motif_7,-0.4917585
58,Rectum,Motif_7,-0.41341257
59,Seam,Motif_7,-0.3496276
60,Coelomocytes,Motif_8,-0.1480756
61,Germ,Motif_8,-0.24536675
62,Intestine,Motif_8,-0.08141392
63,Muscle,Motif_8,0.10268164
64,Neuron,Motif_8,0.85374063
65,Non-seam,Motif_8,-1.1371094
66,Pharyn,Motif_8,-0.43060824
67,Precursors,Motif_8,-0.17096719
68,Rectum,Motif_8,0.22354151
69,Seam,Motif_8,-0.3567725
70,Coelomocytes,Motif_12,-0.4822812
71,Germ,Motif_12,-0.12462118
72,Intestine,Motif_12,-0.30502188
73,Muscle,Motif_12,-0.2974153
74,Neuron,Motif_12,-0.67994326
75,Non-seam,Motif_12,0.7202209
76,Pharyn,Motif_12,0.52510285
77,Precursors,Motif_12,1.1499317
78,Rectum,Motif_12,0.5178643
79,Seam,Motif_12,0.8824407
80,Coelomocytes,Motif_13,-0.31284544
81,Germ,Motif_13,-0.16723874
82,Intestine,Motif_13,-0.24111976
83,Muscle,Motif_13,0.20710553
84,Neuron,Motif_13,0.7389725
85,Non-seam,Motif_13,-0.8378854
86,Pharyn,Motif_13,-0.5960712
87,Precursors,Motif_13,-0.7004253
88,Rectum,Motif_13,-0.40243736
89,Seam,Motif_13,-0.55445087
90,Coelomocytes,Motif_14,-0.6670674
91,Germ,Motif_14,-0.47198334
92,Intestine,Motif_14,0.119073585
93,Muscle,Motif_14,-0.13054296
94,Neuron,Motif_14,0.016254066
95,Non-seam,Motif_14,-0.5474202
96,Pharyn,Motif_14,0.064404696
97,Precursors,Motif_14,1.1286223
98,Rectum,Motif_14,0.71872574
99,Seam,Motif_14,0.64802396
100,Coelomocytes,Motif_15,-0.34135616
101,Germ,Motif_15,0.052346982
102,Intestine,Motif_15,0.1489358
103,Muscle,Motif_15,-0.0059368415
104,Neuron,Motif_15,-0.98581594
105,Non-seam,Motif_15,0.6703004
106,Pharyn,Motif_15,0.07307882
107,Precursors,Motif_15,0.44390804
108,Rectum,Motif_15,-0.26899597
109,Seam,Motif_15,0.4829636
110,Coelomocytes,Motif_16,0.060913436
111,Germ,Motif_16,0.14725353
112,Intestine,Motif_16,0.28936067
113,Muscle,Motif_16,0.06608631
114,Neuron,Motif_16,0.63498795
115,Non-seam,Motif_16,-1.2045707
116,Pharyn,Motif_16,-0.36446288
117,Precursors,Motif_16,-0.10156708
118,Rectum,Motif_16,0.31422216
119,Seam,Motif_16,-0.23164928
120,Coelomocytes,Motif_17,-0.6422466
121,Germ,Motif_17,-0.21235693
122,Intestine,Motif_17,0.17692177
123,Muscle,Motif_17,-0.06712276
124,Neuron,Motif_17,-0.45955718
125,Non-seam,Motif_17,-0.19673076
126,Pharyn,Motif_17,-0.088625215
127,Precursors,Motif_17,0.84257305
128,Rectum,Motif_17,0.13930729
129,Seam,Motif_17,0.5555891
130,Coelomocytes,Motif_19,0.31031173
131,Germ,Motif_19,0.063527204
132,Intestine,Motif_19,0.048270214
133,Muscle,Motif_19,-0.24967147
134,Neuron,Motif_19,-0.021907873
135,Non-seam,Motif_19,0.44290328
136,Pharyn,Motif_19,0.73272854
137,Precursors,Motif_19,0.5566364
138,Rectum,Motif_19,0.8867659
139,Seam,Motif_19,0.38220435
140,Coelomocytes,Motif_20,0.13695998
141,Germ,Motif_20,0.49033687
