,Celltype,Motif,Influe
0,Endoderm_Ciona32,Motif_0,0.24707451
1,Endoderm_Ciona33,Motif_0,0.7413104
2,Endoderm_Ciona34,Motif_0,1.0321698
3,Endoderm_Ciona35,Motif_0,0.34066635
4,Endoderm_Ciona36,Motif_0,0.35336825
5,Epithelial_Ciona10,Motif_0,-0.19859771
6,Epithelial_Ciona12,Motif_0,-0.26822108
7,Epithelial_Ciona14,Motif_0,0.40657628
8,Epithelial_Ciona15,Motif_0,1.7901196
9,Epithelial_Ciona9,Motif_0,-0.21166387
10,Germ_Ciona5,Motif_0,1.1686531
11,Mesenchyme_Ciona1,Motif_0,-0.56519896
12,Mesenchyme_Ciona17,Motif_0,-0.5610974
13,Mesenchyme_Ciona2,Motif_0,-0.55949605
14,Mesenchyme_Ciona20,Motif_0,-0.56519896
15,Mesenchyme_Ciona21,Motif_0,-0.5578397
16,Mesenchyme_Ciona23,Motif_0,-0.5363014
17,Mesenchyme_Ciona24,Motif_0,-0.56519896
18,Mesenchyme_Ciona25,Motif_0,-0.5456555
19,Mesenchyme_Ciona27,Motif_0,-0.56307685
20,Mesenchyme_Ciona28,Motif_0,-0.56519896
21,Mesenchyme_Ciona3,Motif_0,-0.56348234
22,Mesenchyme_Ciona4,Motif_0,1.4998338
23,Mesenchyme_Ciona7,Motif_0,-0.56519896
24,Muscle_Ciona26,Motif_0,0.024249373
25,Muscle_Ciona30,Motif_0,-0.56519896
26,Muscle_Ciona8,Motif_0,-0.50865126
27,Neuron_Ciona11,Motif_0,0.081414565
28,Neuron_Ciona13,Motif_0,0.86719185
29,Neuron_Ciona16,Motif_0,1.5449944
30,Neuron_Ciona18,Motif_0,-0.22264408
31,Neuron_Ciona19,Motif_0,-0.40470815
32,Neuron_Ciona22,Motif_0,0.62602454
33,Neuron_Ciona29,Motif_0,1.0721698
34,Neuron_Ciona6,Motif_0,-0.56519896
35,Notochord_Ciona31,Motif_0,0.19480114
36,Endoderm_Ciona32,Motif_1,-0.045401387
37,Endoderm_Ciona33,Motif_1,-0.045401387
38,Endoderm_Ciona34,Motif_1,-0.045401387
39,Endoderm_Ciona35,Motif_1,-0.045401387
40,Endoderm_Ciona36,Motif_1,-0.045401387
41,Epithelial_Ciona10,Motif_1,-0.045401387
42,Epithelial_Ciona12,Motif_1,-0.008633164
43,Epithelial_Ciona14,Motif_1,-0.045401387
44,Epithelial_Ciona15,Motif_1,-0.045401387
45,Epithelial_Ciona9,Motif_1,-0.045401387
46,Germ_Ciona5,Motif_1,-0.045401387
47,Mesenchyme_Ciona1,Motif_1,-0.043234646
48,Mesenchyme_Ciona17,Motif_1,-0.045401387
49,Mesenchyme_Ciona2,Motif_1,-0.045401387
50,Mesenchyme_Ciona20,Motif_1,-0.045401387
51,Mesenchyme_Ciona21,Motif_1,-0.045401387
52,Mesenchyme_Ciona23,Motif_1,-0.045401387
53,Mesenchyme_Ciona24,Motif_1,-0.045401387
54,Mesenchyme_Ciona25,Motif_1,-0.045401387
55,Mesenchyme_Ciona27,Motif_1,-0.045401387
56,Mesenchyme_Ciona28,Motif_1,-0.045401387
57,Mesenchyme_Ciona3,Motif_1,-0.045401387
58,Mesenchyme_Ciona4,Motif_1,-0.045401387
59,Mesenchyme_Ciona7,Motif_1,-0.045401387
60,Muscle_Ciona26,Motif_1,-0.045401387
61,Muscle_Ciona30,Motif_1,-0.045401387
62,Muscle_Ciona8,Motif_1,1.4408785
63,Neuron_Ciona11,Motif_1,-0.045401387
64,Neuron_Ciona13,Motif_1,-0.045401387
65,Neuron_Ciona16,Motif_1,-0.045401387
66,Neuron_Ciona18,Motif_1,-0.03289129
67,Neuron_Ciona19,Motif_1,-0.045401387
68,Neuron_Ciona22,Motif_1,-0.045401387
69,Neuron_Ciona29,Motif_1,-0.045401387
70,Neuron_Ciona6,Motif_1,-0.045401387
71,Notochord_Ciona31,Motif_1,-0.045401387
72,Endoderm_Ciona32,Motif_2,0.012782718
73,Endoderm_Ciona33,Motif_2,-0.16500185
74,Endoderm_Ciona34,Motif_2,-0.36769146
75,Endoderm_Ciona35,Motif_2,0.08398246
76,Endoderm_Ciona36,Motif_2,0.17667896
77,Epithelial_Ciona10,Motif_2,1.0108286
78,Epithelial_Ciona12,Motif_2,0.39111245
79,Epithelial_Ciona14,Motif_2,0.09091098
80,Epithelial_Ciona15,Motif_2,-1.1989708
81,Epithelial_Ciona9,Motif_2,0.23699968
82,Germ_Ciona5,Motif_2,-1.1020181
83,Mesenchyme_Ciona1,Motif_2,-0.9872296
84,Mesenchyme_Ciona17,Motif_2,0.14479707
85,Mesenchyme_Ciona2,Motif_2,-0.76479465
86,Mesenchyme_Ciona20,Motif_2,-0.13465798
87,Mesenchyme_Ciona21,Motif_2,-0.890038
88,Mesenchyme_Ciona23,Motif_2,1.4660264
89,Mesenchyme_Ciona24,Motif_2,0.821963
90,Mesenchyme_Ciona25,Motif_2,1.4913589
91,Mesenchyme_Ciona27,Motif_2,0.89818454
92,Mesenchyme_Ciona28,Motif_2,0.510539
93,Mesenchyme_Ciona3,Motif_2,-0.15199341
94,Mesenchyme_Ciona4,Motif_2,-0.8298224
95,Mesenchyme_Ciona7,Motif_2,0.9851788
96,Muscle_Ciona26,Motif_2,0.7063815
97,Muscle_Ciona30,Motif_2,0.906789
98,Muscle_Ciona8,Motif_2,-1.0645214
99,Neuron_Ciona11,Motif_2,0.6958196
100,Neuron_Ciona13,Motif_2,0.057667896
101,Neuron_Ciona16,Motif_2,-0.42596713
102,Neuron_Ciona18,Motif_2,0.5332785
103,Neuron_Ciona19,Motif_2,0.85633236
104,Neuron_Ciona22,Motif_2,-0.8918985
105,Neuron_Ciona29,Motif_2,-0.4244232
106,Neuron_Ciona6,Motif_2,0.5436704
107,Notochord_Ciona31,Motif_2,0.27509663
108,Endoderm_Ciona32,Motif_4,-1.0329665
109,Endoderm_Ciona33,Motif_4,-1.0347651
110,Endoderm_Ciona34,Motif_4,-1.0327027
111,Endoderm_Ciona35,Motif_4,-1.0271581
112,Endoderm_Ciona36,Motif_4,-1.025746
113,Epithelial_Ciona10,Motif_4,0.27402836
114,Epithelial_Ciona12,Motif_4,0.42931017
115,Epithelial_Ciona14,Motif_4,-0.42866063
116,Epithelial_Ciona15,Motif_4,-1.024641
117,Epithelial_Ciona9,Motif_4,0.6800711
118,Germ_Ciona5,Motif_4,-0.7169575
119,Mesenchyme_Ciona1,Motif_4,0.5640741
120,Mesenchyme_Ciona17,Motif_4,1.0753533
121,Mesenchyme_Ciona2,Motif_4,0.80548525
122,Mesenchyme_Ciona20,Motif_4,1.1258229
123,Mesenchyme_Ciona21,Motif_4,0.54782367
124,Mesenchyme_Ciona23,Motif_4,1.6775606
125,Mesenchyme_Ciona24,Motif_4,1.0798198
126,Mesenchyme_Ciona25,Motif_4,-0.45975253
127,Mesenchyme_Ciona27,Motif_4,0.26167634
128,Mesenchyme_Ciona28,Motif_4,0.8809508
129,Mesenchyme_Ciona3,Motif_4,1.1811782
130,Mesenchyme_Ciona4,Motif_4,-0.850339
131,Mesenchyme_Ciona7,Motif_4,0.8920108
132,Muscle_Ciona26,Motif_4,-0.8012604
133,Muscle_Ciona30,Motif_4,0.99519926
134,Muscle_Ciona8,Motif_4,0.23255128
135,Neuron_Ciona11,Motif_4,0.06788467
136,Neuron_Ciona13,Motif_4,-0.65608275
137,Neuron_Ciona16,Motif_4,-1.0150089
138,Neuron_Ciona18,Motif_4,0.11140083
139,Neuron_Ciona19,Motif_4,0.9552077
140,Neuron_Ciona22,Motif_4,-1.0214274
141,Neuron_Ciona29,Motif_4,-0.9383042
142,Neuron_Ciona6,Motif_4,0.9414374
143,Notochord_Ciona31,Motif_4,0.024048649
144,Endoderm_Ciona32,Motif_5,-0.9012153
145,Endoderm_Ciona33,Motif_5,-0.9012153
146,Endoderm_Ciona34,Motif_5,-0.9012153
147,Endoderm_Ciona35,Motif_5,-0.9012153
148,Endoderm_Ciona36,Motif_5,-0.9012153
149,Epithelial_Ciona10,Motif_5,-0.54031914
150,Epithelial_Ciona12,Motif_5,0.6082028
151,Epithelial_Ciona14,Motif_5,-0.37469292
152,Epithelial_Ciona15,Motif_5,-0.8991403
153,Epithelial_Ciona9,Motif_5,0.24820533
154,Germ_Ciona5,Motif_5,-0.53290576
155,Mesenchyme_Ciona1,Motif_5,0.9274817
156,Mesenchyme_Ciona17,Motif_5,1.1272202
157,Mesenchyme_Ciona2,Motif_5,0.87651175
158,Mesenchyme_Ciona20,Motif_5,1.2773168
159,Mesenchyme_Ciona21,Motif_5,0.83609325
160,Mesenchyme_Ciona23,Motif_5,-0.268751
161,Mesenchyme_Ciona24,Motif_5,0.8989224
162,Mesenchyme_Ciona25,Motif_5,-0.7693639
163,Mesenchyme_Ciona27,Motif_5,0.12364847
164,Mesenchyme_Ciona28,Motif_5,0.6634586
165,Mesenchyme_Ciona3,Motif_5,1.4565158
166,Mesenchyme_Ciona4,Motif_5,-0.72828966
167,Mesenchyme_Ciona7,Motif_5,0.058400404
168,Muscle_Ciona26,Motif_5,-0.80842763
169,Muscle_Ciona30,Motif_5,-0.9012153
170,Muscle_Ciona8,Motif_5,1.1466248
171,Neuron_Ciona11,Motif_5,-0.5501024
172,Neuron_Ciona13,Motif_5,-0.64696246
173,Neuron_Ciona16,Motif_5,-0.9012153
174,Neuron_Ciona18,Motif_5,0.012795772
175,Neuron_Ciona19,Motif_5,0.67839706
176,Neuron_Ciona22,Motif_5,-0.9012153
177,Neuron_Ciona29,Motif_5,-0.8664149
178,Neuron_Ciona6,Motif_5,0.14361134
179,Notochord_Ciona31,Motif_5,-0.9006148
180,Endoderm_Ciona32,Motif_6,0.33476126
181,Endoderm_Ciona33,Motif_6,0.7195459
182,Endoderm_Ciona34,Motif_6,0.51235116
183,Endoderm_Ciona35,Motif_6,0.5664252
184,Endoderm_Ciona36,Motif_6,-0.2173329
185,Epithelial_Ciona10,Motif_6,1.4518974
186,Epithelial_Ciona12,Motif_6,1.3031828
187,Epithelial_Ciona14,Motif_6,1.4580442
188,Epithelial_Ciona15,Motif_6,-0.22848901
189,Epithelial_Ciona9,Motif_6,1.1112179
190,Germ_Ciona5,Motif_6,-0.11407622
191,Mesenchyme_Ciona1,Motif_6,-0.93069166
192,Mesenchyme_Ciona17,Motif_6,-0.921903
193,Mesenchyme_Ciona2,Motif_6,-0.92267567
194,Mesenchyme_Ciona20,Motif_6,-0.92560804
195,Mesenchyme_Ciona21,Motif_6,-0.89586455
196,Mesenchyme_Ciona23,Motif_6,-0.8488716
197,Mesenchyme_Ciona24,Motif_6,-0.9139
198,Mesenchyme_Ciona25,Motif_6,-0.609934
199,Mesenchyme_Ciona27,Motif_6,-0.7626808
200,Mesenchyme_Ciona28,Motif_6,-0.90532416
201,Mesenchyme_Ciona3,Motif_6,-0.9235908
202,Mesenchyme_Ciona4,Motif_6,0.1052917
203,Mesenchyme_Ciona7,Motif_6,-0.654417
204,Muscle_Ciona26,Motif_6,0.7963164
205,Muscle_Ciona30,Motif_6,1.3725189
206,Muscle_Ciona8,Motif_6,-0.35750887
207,Neuron_Ciona11,Motif_6,0.99559224
208,Neuron_Ciona13,Motif_6,0.73654336
209,Neuron_Ciona16,Motif_6,-0.12578332
210,Neuron_Ciona18,Motif_6,1.2477756
211,Neuron_Ciona19,Motif_6,0.45820272
212,Neuron_Ciona22,Motif_6,0.1430927
213,Neuron_Ciona29,Motif_6,0.9188585
214,Neuron_Ciona6,Motif_6,-0.118465826
215,Notochord_Ciona31,Motif_6,1.1712193
216,Endoderm_Ciona32,Motif_7,-1.0471497
217,Endoderm_Ciona33,Motif_7,-1.0486668
218,Endoderm_Ciona34,Motif_7,-1.0073845
219,Endoderm_Ciona35,Motif_7,-0.9327186
220,Endoderm_Ciona36,Motif_7,-0.9671235
221,Epithelial_Ciona10,Motif_7,-0.21621041
222,Epithelial_Ciona12,Motif_7,-0.12743884
223,Epithelial_Ciona14,Motif_7,-0.61711997
224,Epithelial_Ciona15,Motif_7,-1.0746093
225,Epithelial_Ciona9,Motif_7,0.09934137
226,Germ_Ciona5,Motif_7,-0.81589687
227,Mesenchyme_Ciona1,Motif_7,0.22004858
228,Mesenchyme_Ciona17,Motif_7,1.2807794
229,Mesenchyme_Ciona2,Motif_7,0.49481887
230,Mesenchyme_Ciona20,Motif_7,1.2235385
231,Mesenchyme_Ciona21,Motif_7,0.24437198
232,Mesenchyme_Ciona23,Motif_7,1.4914447
233,Mesenchyme_Ciona24,Motif_7,1.3441455
234,Mesenchyme_Ciona25,Motif_7,0.6194021
235,Mesenchyme_Ciona27,Motif_7,1.207066
236,Mesenchyme_Ciona28,Motif_7,1.4035323
237,Mesenchyme_Ciona3,Motif_7,1.1520182
238,Mesenchyme_Ciona4,Motif_7,-0.9049457
239,Mesenchyme_Ciona7,Motif_7,0.9819806
240,Muscle_Ciona26,Motif_7,-0.5636059
241,Muscle_Ciona30,Motif_7,0.6856077
242,Muscle_Ciona8,Motif_7,-0.08768592
243,Neuron_Ciona11,Motif_7,-0.1911038
244,Neuron_Ciona13,Motif_7,-0.8050363
245,Neuron_Ciona16,Motif_7,-1.070615
246,Neuron_Ciona18,Motif_7,-0.03330547
247,Neuron_Ciona19,Motif_7,0.84295505
248,Neuron_Ciona22,Motif_7,-1.0736415
249,Neuron_Ciona29,Motif_7,-0.9867536
250,Neuron_Ciona6,Motif_7,0.6219305
251,Notochord_Ciona31,Motif_7,-0.42109588
252,Endoderm_Ciona32,Motif_8,-0.804814
253,Endoderm_Ciona33,Motif_8,-0.804814
254,Endoderm_Ciona34,Motif_8,-0.804814
255,Endoderm_Ciona35,Motif_8,-0.804814
256,Endoderm_Ciona36,Motif_8,-0.804814
257,Epithelial_Ciona10,Motif_8,-0.6217209
258,Epithelial_Ciona12,Motif_8,0.5688214
259,Epithelial_Ciona14,Motif_8,-0.47463396
260,Epithelial_Ciona15,Motif_8,-0.804814
261,Epithelial_Ciona9,Motif_8,0.19006595
262,Germ_Ciona5,Motif_8,-0.41161636
263,Mesenchyme_Ciona1,Motif_8,1.2333479
264,Mesenchyme_Ciona17,Motif_8,0.9121835
265,Mesenchyme_Ciona2,Motif_8,1.118193
266,Mesenchyme_Ciona20,Motif_8,1.1939772
267,Mesenchyme_Ciona21,Motif_8,1.1455436
268,Mesenchyme_Ciona23,Motif_8,-0.5672535
269,Mesenchyme_Ciona24,Motif_8,0.551476
270,Mesenchyme_Ciona25,Motif_8,-0.7980079
271,Mesenchyme_Ciona27,Motif_8,-0.3844035
272,Mesenchyme_Ciona28,Motif_8,0.28232312
273,Mesenchyme_Ciona3,Motif_8,1.4560845
274,Mesenchyme_Ciona4,Motif_8,-0.63494337
275,Mesenchyme_Ciona7,Motif_8,-0.006752857
276,Muscle_Ciona26,Motif_8,-0.7771895
277,Muscle_Ciona30,Motif_8,-0.804814
278,Muscle_Ciona8,Motif_8,1.4981179
279,Neuron_Ciona11,Motif_8,-0.5942363
280,Neuron_Ciona13,Motif_8,-0.66787946
281,Neuron_Ciona16,Motif_8,-0.804814
282,Neuron_Ciona18,Motif_8,-0.06312302
283,Neuron_Ciona19,Motif_8,0.4172483
284,Neuron_Ciona22,Motif_8,-0.804814
285,Neuron_Ciona29,Motif_8,-0.7801727
286,Neuron_Ciona6,Motif_8,0.16076994
287,Notochord_Ciona31,Motif_8,-0.804814
288,Endoderm_Ciona32,Motif_9,-0.7313906
289,Endoderm_Ciona33,Motif_9,-0.7313906
290,Endoderm_Ciona34,Motif_9,-0.7313906
291,Endoderm_Ciona35,Motif_9,-0.7313906
292,Endoderm_Ciona36,Motif_9,-0.7313906
293,Epithelial_Ciona10,Motif_9,-0.5751904
294,Epithelial_Ciona12,Motif_9,0.019399649
295,Epithelial_Ciona14,Motif_9,-0.66929567
296,Epithelial_Ciona15,Motif_9,-0.7313906
297,Epithelial_Ciona9,Motif_9,0.082752496
298,Germ_Ciona5,Motif_9,-0.30205607
299,Mesenchyme_Ciona1,Motif_9,1.5200868
300,Mesenchyme_Ciona17,Motif_9,0.5247184
301,Mesenchyme_Ciona2,Motif_9,1.5224
302,Mesenchyme_Ciona20,Motif_9,1.0223281
303,Mesenchyme_Ciona21,Motif_9,1.4512116
304,Mesenchyme_Ciona23,Motif_9,0.39655125
305,Mesenchyme_Ciona24,Motif_9,0.26695502
306,Mesenchyme_Ciona25,Motif_9,-0.7313906
307,Mesenchyme_Ciona27,Motif_9,-0.6780419
308,Mesenchyme_Ciona28,Motif_9,-0.12189756
309,Mesenchyme_Ciona3,Motif_9,1.1400796
310,Mesenchyme_Ciona4,Motif_9,-0.5542075
311,Mesenchyme_Ciona7,Motif_9,0.17581443
312,Muscle_Ciona26,Motif_9,-0.7313906
313,Muscle_Ciona30,Motif_9,-0.7313906
314,Muscle_Ciona8,Motif_9,1.1329948
315,Neuron_Ciona11,Motif_9,-0.51697916
316,Neuron_Ciona13,Motif_9,-0.7168443
317,Neuron_Ciona16,Motif_9,-0.7313906
318,Neuron_Ciona18,Motif_9,-0.31691095
319,Neuron_Ciona19,Motif_9,0.14071806
320,Neuron_Ciona22,Motif_9,-0.7313906
321,Neuron_Ciona29,Motif_9,-0.72034794
322,Neuron_Ciona6,Motif_9,0.6683008
323,Notochord_Ciona31,Motif_9,-0.7313906
324,Endoderm_Ciona32,Motif_10,-0.09154304
325,Endoderm_Ciona33,Motif_10,0.5701663
326,Endoderm_Ciona34,Motif_10,0.83870494
327,Endoderm_Ciona35,Motif_10,0.10951112
328,Endoderm_Ciona36,Motif_10,-0.009426536
329,Epithelial_Ciona10,Motif_10,0.13353017
330,Epithelial_Ciona12,Motif_10,0.22717279
331,Epithelial_Ciona14,Motif_10,1.3521587
332,Epithelial_Ciona15,Motif_10,1.6516579
333,Epithelial_Ciona9,Motif_10,-0.11140761
334,Germ_Ciona5,Motif_10,0.8315929
335,Mesenchyme_Ciona1,Motif_10,-0.6130718
336,Mesenchyme_Ciona17,Motif_10,-0.61166024
337,Mesenchyme_Ciona2,Motif_10,-0.6103635
338,Mesenchyme_Ciona20,Motif_10,-0.6130718
339,Mesenchyme_Ciona21,Motif_10,-0.6122139
340,Mesenchyme_Ciona23,Motif_10,-0.5942092
341,Mesenchyme_Ciona24,Motif_10,-0.6130718
342,Mesenchyme_Ciona25,Motif_10,-0.6027554
343,Mesenchyme_Ciona27,Motif_10,-0.6119018
344,Mesenchyme_Ciona28,Motif_10,-0.6130718
345,Mesenchyme_Ciona3,Motif_10,-0.6130718
346,Mesenchyme_Ciona4,Motif_10,1.2108569
347,Mesenchyme_Ciona7,Motif_10,-0.6130718
348,Muscle_Ciona26,Motif_10,-0.14486827
349,Muscle_Ciona30,Motif_10,-0.6130718
350,Muscle_Ciona8,Motif_10,-0.5536838
351,Neuron_Ciona11,Motif_10,0.39019042
352,Neuron_Ciona13,Motif_10,1.3465139
353,Neuron_Ciona16,Motif_10,1.4468151
354,Neuron_Ciona18,Motif_10,-0.17770319
355,Neuron_Ciona19,Motif_10,-0.45794505
356,Neuron_Ciona22,Motif_10,0.55456936
357,Neuron_Ciona29,Motif_10,1.6107597
358,Neuron_Ciona6,Motif_10,-0.6130718
359,Notochord_Ciona31,Motif_10,0.2988603
360,Endoderm_Ciona32,Motif_11,-0.01878251
361,Endoderm_Ciona33,Motif_11,-0.46116927
362,Endoderm_Ciona34,Motif_11,-0.5806933
363,Endoderm_Ciona35,Motif_11,-0.18719168
364,Endoderm_Ciona36,Motif_11,0.00281503
365,Epithelial_Ciona10,Motif_11,-0.66216904
366,Epithelial_Ciona12,Motif_11,-0.8425384
367,Epithelial_Ciona14,Motif_11,-0.79584956
368,Epithelial_Ciona15,Motif_11,-1.0952162
369,Epithelial_Ciona9,Motif_11,-0.830097
370,Germ_Ciona5,Motif_11,-0.45353875
371,Mesenchyme_Ciona1,Motif_11,-0.63563824
372,Mesenchyme_Ciona17,Motif_11,0.9043539
373,Mesenchyme_Ciona2,Motif_11,-0.39320335
374,Mesenchyme_Ciona20,Motif_11,0.521083
375,Mesenchyme_Ciona21,Motif_11,-0.6198927
376,Mesenchyme_Ciona23,Motif_11,1.7140927
