,Celltype,Motif,Influe
0,Endoderm_Ciona32,Motif_0,0.0
1,Endoderm_Ciona34,Motif_0,1.0
2,Endoderm_Ciona35,Motif_0,0.0
3,Endoderm_Ciona36,Motif_0,0.0
4,Epithelial_Ciona10,Motif_0,0.0
5,Epithelial_Ciona12,Motif_0,0.0
6,Epithelial_Ciona14,Motif_0,0.0
7,Epithelial_Ciona15,Motif_0,1.0
8,Epithelial_Ciona9,Motif_0,0.0
9,Germ_Ciona5,Motif_0,1.0
10,Mesenchyme_Ciona1,Motif_0,0.0
11,Mesenchyme_Ciona17,Motif_0,0.0
12,Mesenchyme_Ciona2,Motif_0,0.0
13,Mesenchyme_Ciona20,Motif_0,0.0
14,Mesenchyme_Ciona21,Motif_0,0.0
15,Mesenchyme_Ciona23,Motif_0,0.0
16,Mesenchyme_Ciona24,Motif_0,0.0
17,Mesenchyme_Ciona25,Motif_0,0.0
18,Mesenchyme_Ciona27,Motif_0,0.0
19,Mesenchyme_Ciona28,Motif_0,0.0
20,Mesenchyme_Ciona3,Motif_0,0.0
21,Mesenchyme_Ciona4,Motif_0,1.0
22,Muscle_Ciona26,Motif_0,0.0
23,Muscle_Ciona30,Motif_0,0.0
24,Muscle_Ciona8,Motif_0,0.0
25,Neuron_Ciona13,Motif_0,1.0
26,Neuron_Ciona16,Motif_0,1.0
27,Neuron_Ciona22,Motif_0,0.0
28,Neuron_Ciona29,Motif_0,1.0
29,Notochord_Ciona31,Motif_0,0.0
30,Endoderm_Ciona32,Motif_1,0.0
31,Endoderm_Ciona34,Motif_1,0.0
32,Endoderm_Ciona35,Motif_1,0.0
33,Endoderm_Ciona36,Motif_1,0.0
34,Epithelial_Ciona10,Motif_1,0.0
35,Epithelial_Ciona12,Motif_1,0.0
36,Epithelial_Ciona14,Motif_1,0.0
37,Epithelial_Ciona15,Motif_1,0.0
38,Epithelial_Ciona9,Motif_1,0.0
39,Germ_Ciona5,Motif_1,0.0
40,Mesenchyme_Ciona1,Motif_1,0.0
41,Mesenchyme_Ciona17,Motif_1,0.0
42,Mesenchyme_Ciona2,Motif_1,0.0
43,Mesenchyme_Ciona20,Motif_1,0.0
44,Mesenchyme_Ciona21,Motif_1,0.0
45,Mesenchyme_Ciona23,Motif_1,0.0
46,Mesenchyme_Ciona24,Motif_1,0.0
47,Mesenchyme_Ciona25,Motif_1,0.0
48,Mesenchyme_Ciona27,Motif_1,0.0
49,Mesenchyme_Ciona28,Motif_1,0.0
50,Mesenchyme_Ciona3,Motif_1,0.0
51,Mesenchyme_Ciona4,Motif_1,0.0
52,Muscle_Ciona26,Motif_1,0.0
53,Muscle_Ciona30,Motif_1,0.0
54,Muscle_Ciona8,Motif_1,1.0
55,Neuron_Ciona13,Motif_1,0.0
56,Neuron_Ciona16,Motif_1,0.0
57,Neuron_Ciona22,Motif_1,0.0
58,Neuron_Ciona29,Motif_1,0.0
59,Notochord_Ciona31,Motif_1,0.0
60,Endoderm_Ciona32,Motif_2,0.0
61,Endoderm_Ciona34,Motif_2,0.0
62,Endoderm_Ciona35,Motif_2,0.0
63,Endoderm_Ciona36,Motif_2,0.0
64,Epithelial_Ciona10,Motif_2,1.0
65,Epithelial_Ciona12,Motif_2,0.0
66,Epithelial_Ciona14,Motif_2,0.0
67,Epithelial_Ciona15,Motif_2,0.0
68,Epithelial_Ciona9,Motif_2,0.0
69,Germ_Ciona5,Motif_2,0.0
70,Mesenchyme_Ciona1,Motif_2,0.0
71,Mesenchyme_Ciona17,Motif_2,0.0
72,Mesenchyme_Ciona2,Motif_2,0.0
73,Mesenchyme_Ciona20,Motif_2,0.0
74,Mesenchyme_Ciona21,Motif_2,0.0
75,Mesenchyme_Ciona23,Motif_2,1.0
76,Mesenchyme_Ciona24,Motif_2,0.0
77,Mesenchyme_Ciona25,Motif_2,1.0
78,Mesenchyme_Ciona27,Motif_2,1.0
79,Mesenchyme_Ciona28,Motif_2,0.0
80,Mesenchyme_Ciona3,Motif_2,0.0
81,Mesenchyme_Ciona4,Motif_2,0.0
82,Muscle_Ciona26,Motif_2,0.0
83,Muscle_Ciona30,Motif_2,1.0
84,Muscle_Ciona8,Motif_2,0.0
85,Neuron_Ciona13,Motif_2,0.0
86,Neuron_Ciona16,Motif_2,0.0
87,Neuron_Ciona22,Motif_2,0.0
88,Neuron_Ciona29,Motif_2,0.0
89,Notochord_Ciona31,Motif_2,0.0
90,Endoderm_Ciona32,Motif_4,0.0
91,Endoderm_Ciona34,Motif_4,0.0
92,Endoderm_Ciona35,Motif_4,0.0
93,Endoderm_Ciona36,Motif_4,0.0
94,Epithelial_Ciona10,Motif_4,0.0
95,Epithelial_Ciona12,Motif_4,0.0
96,Epithelial_Ciona14,Motif_4,0.0
97,Epithelial_Ciona15,Motif_4,0.0
98,Epithelial_Ciona9,Motif_4,0.0
99,Germ_Ciona5,Motif_4,0.0
100,Mesenchyme_Ciona1,Motif_4,0.0
101,Mesenchyme_Ciona17,Motif_4,1.0
102,Mesenchyme_Ciona2,Motif_4,0.0
103,Mesenchyme_Ciona20,Motif_4,1.0
104,Mesenchyme_Ciona21,Motif_4,0.0
105,Mesenchyme_Ciona23,Motif_4,1.0
106,Mesenchyme_Ciona24,Motif_4,1.0
107,Mesenchyme_Ciona25,Motif_4,0.0
108,Mesenchyme_Ciona27,Motif_4,0.0
109,Mesenchyme_Ciona28,Motif_4,0.0
110,Mesenchyme_Ciona3,Motif_4,1.0
111,Mesenchyme_Ciona4,Motif_4,0.0
112,Muscle_Ciona26,Motif_4,0.0
113,Muscle_Ciona30,Motif_4,1.0
114,Muscle_Ciona8,Motif_4,0.0
115,Neuron_Ciona13,Motif_4,0.0
116,Neuron_Ciona16,Motif_4,0.0
117,Neuron_Ciona22,Motif_4,0.0
