Celltype,Species,Cellcluster,colors_lineage
Mesenchyme_Ciona17,Ciona_intestinalis,Mesenchyme,#B3DE69
Mesenchyme_Ciona20,Ciona_intestinalis,Mesenchyme,#B3DE69
Mesenchyme_Ciona3,Ciona_intestinalis,Mesenchyme,#B3DE69
Muscle_Ciona8,Ciona_intestinalis,Muscle,#66A61E
Mesenchyme_Ciona21,Ciona_intestinalis,Mesenchyme,#B3DE69
Mesenchyme_Ciona1,Ciona_intestinalis,Mesenchyme,#B3DE69
Mesenchyme_Ciona2,Ciona_intestinalis,Mesenchyme,#B3DE69
Neuron_Ciona22,Ciona_intestinalis,Neuron,#D95F02
Endoderm_Ciona34,Ciona_intestinalis,Endoderm,#A6761D
Neuron_Ciona29,Ciona_intestinalis,Neuron,#D95F02
Germ_Ciona5,Ciona_intestinalis,Germ,lightblue
Neuron_Ciona13,Ciona_intestinalis,Neuron,#D95F02
Neuron_Ciona16,Ciona_intestinalis,Neuron,#D95F02
Epithelial_Ciona15,Ciona_intestinalis,Epithelial,#E7298A
Mesenchyme_Ciona4,Ciona_intestinalis,Mesenchyme,#B3DE69
Epithelial_Ciona12,Ciona_intestinalis,Epithelial,#E7298A
Epithelial_Ciona9,Ciona_intestinalis,Epithelial,#E7298A
Muscle_Ciona30,Ciona_intestinalis,Muscle,#66A61E
Epithelial_Ciona14,Ciona_intestinalis,Epithelial,#E7298A
Epithelial_Ciona10,Ciona_intestinalis,Epithelial,#E7298A
Notochord_Ciona31,Ciona_intestinalis,Notochord,#CCEBC5
Endoderm_Ciona35,Ciona_intestinalis,Endoderm,#A6761D
Endoderm_Ciona32,Ciona_intestinalis,Endoderm,#A6761D
Endoderm_Ciona36,Ciona_intestinalis,Endoderm,#A6761D
Mesenchyme_Ciona25,Ciona_intestinalis,Mesenchyme,#B3DE69
Muscle_Ciona26,Ciona_intestinalis,Muscle,#66A61E
Mesenchyme_Ciona27,Ciona_intestinalis,Mesenchyme,#B3DE69
Mesenchyme_Ciona23,Ciona_intestinalis,Mesenchyme,#B3DE69
Mesenchyme_Ciona24,Ciona_intestinalis,Mesenchyme,#B3DE69
Mesenchyme_Ciona28,Ciona_intestinalis,Mesenchyme,#B3DE69
