,Cluster,Motif,Influe
0,Endoderm,Motif_0,0.4827716
1,Epithelial,Motif_0,0.32874697
2,Germ,Motif_0,1.1686531
3,Mesenchyme,Motif_0,-0.549306
4,Muscle,Motif_0,-0.07192376
5,Neuron,Motif_0,0.5198211
6,Notochord,Motif_0,0.19480114
7,Endoderm,Motif_1,-0.045401387
8,Epithelial,Motif_1,-0.04310469
9,Germ,Motif_1,-0.045401387
10,Mesenchyme,Motif_1,-0.045042735
11,Muscle,Motif_1,0.14251906
12,Neuron,Motif_1,-0.04232328
13,Notochord,Motif_1,-0.045401387
14,Endoderm,Motif_2,-0.024155626
15,Epithelial,Motif_2,0.02456316
16,Germ,Motif_2,-1.1020181
17,Mesenchyme,Motif_2,-0.04823482
18,Muscle,Motif_2,0.49226424
19,Neuron,Motif_2,0.06143924
20,Notochord,Motif_2,0.27509663
21,Endoderm,Motif_4,-1.030966
22,Epithelial,Motif_4,-0.079045966
23,Germ,Motif_4,-0.7169575
24,Mesenchyme,Motif_4,0.7327855
25,Muscle,Motif_4,-0.5827905
26,Neuron,Motif_4,-0.3906806
27,Notochord,Motif_4,0.024048649
28,Endoderm,Motif_5,-0.9012153
29,Epithelial,Motif_5,-0.19606735
30,Germ,Motif_5,-0.53290576
31,Mesenchyme,Motif_5,0.7368068
32,Muscle,Motif_5,-0.5657698
33,Neuron,Motif_5,-0.4915313
34,Notochord,Motif_5,-0.9006148
35,Endoderm,Motif_6,0.4472047
36,Epithelial,Motif_6,1.118088
37,Germ,Motif_6,-0.11407622
38,Mesenchyme,Motif_6,-0.87246734
39,Muscle,Motif_6,0.67857826
40,Neuron,Motif_6,0.8225567
41,Notochord,Motif_6,1.1712193
42,Endoderm,Motif_7,-1.0037595
43,Epithelial,Motif_7,-0.4070667
44,Germ,Motif_7,-0.81589687
45,Mesenchyme,Motif_7,0.8503432
46,Muscle,Motif_7,-0.44240734
47,Neuron,Motif_7,-0.50998634
48,Notochord,Motif_7,-0.42109588
49,Endoderm,Motif_8,-0.804814
50,Epithelial,Motif_8,-0.25283965
51,Germ,Motif_8,-0.41161636
52,Mesenchyme,Motif_8,0.69089
53,Muscle,Motif_8,-0.4908564
54,Neuron,Motif_8,-0.48528337
55,Notochord,Motif_8,-0.804814
56,Endoderm,Motif_9,-0.7313906
57,Epithelial,Motif_9,-0.39682922
58,Germ,Motif_9,-0.30205607
59,Mesenchyme,Motif_9,0.69595134
60,Muscle,Motif_9,-0.4956637
61,Neuron,Motif_9,-0.5030523
62,Notochord,Motif_9,-0.7313906
63,Endoderm,Motif_10,0.22798955
64,Epithelial,Motif_10,0.8144001
65,Germ,Motif_10,0.8315929
66,Mesenchyme,Motif_10,-0.60084033
67,Muscle,Motif_10,-0.2194296
68,Neuron,Motif_10,0.78709507
69,Notochord,Motif_10,0.2988603
70,Endoderm,Motif_11,-0.22727725
71,Epithelial,Motif_11,-0.84311575
72,Germ,Motif_11,-0.45353875
73,Mesenchyme,Motif_11,0.44894105
74,Muscle,Motif_11,-0.0632346
75,Neuron,Motif_11,-0.44122684
76,Notochord,Motif_11,0.099253416
77,Endoderm,Motif_13,-0.8906301
78,Epithelial,Motif_13,-0.026765354
79,Germ,Motif_13,-1.1389714
80,Mesenchyme,Motif_13,0.57229745
81,Muscle,Motif_13,-0.28643993
82,Neuron,Motif_13,-0.19440773
83,Notochord,Motif_13,0.48528212
84,Endoderm,Motif_14,-0.61443615
85,Epithelial,Motif_14,-0.24370499
86,Germ,Motif_14,-0.16565555
87,Mesenchyme,Motif_14,0.5431684
88,Muscle,Motif_14,-0.2934715
89,Neuron,Motif_14,-0.46910986
90,Notochord,Motif_14,-0.61443615
91,Endoderm,Motif_15,0.32383063
92,Epithelial,Motif_15,0.1495208
93,Germ,Motif_15,1.1208936
94,Mesenchyme,Motif_15,-0.431051
95,Muscle,Motif_15,-0.29255903
96,Neuron,Motif_15,0.30144554
97,Notochord,Motif_15,0.20036033
98,Endoderm,Motif_16,-0.646509
99,Epithelial,Motif_16,-0.5530678
100,Germ,Motif_16,-0.22230677
101,Mesenchyme,Motif_16,0.70081407
102,Muscle,Motif_16,-0.412122
103,Neuron,Motif_16,-0.5553274
104,Notochord,Motif_16,-0.646509
105,Endoderm,Motif_17,0.99396664
106,Epithelial,Motif_17,-0.18756239
107,Germ,Motif_17,0.32544515
108,Mesenchyme,Motif_17,-0.63245183
109,Muscle,Motif_17,0.5818501
110,Neuron,Motif_17,0.35284722
111,Notochord,Motif_17,0.5721843
112,Endoderm,Motif_18,0.55835956
113,Epithelial,Motif_18,-0.6619905
114,Germ,Motif_18,0.2475151
115,Mesenchyme,Motif_18,-0.088844284
116,Muscle,Motif_18,0.20876715
117,Neuron,Motif_18,-0.26764187
118,Notochord,Motif_18,-0.19636293
119,Endoderm,Motif_21,-0.7919714
120,Epithelial,Motif_21,-0.09117025
121,Germ,Motif_21,-0.38591924
122,Mesenchyme,Motif_21,0.59625375
123,Muscle,Motif_21,-0.517392
124,Neuron,Motif_21,-0.39457932
125,Notochord,Motif_21,-0.09510289
126,Endoderm,Motif_22,1.0041902
127,Epithelial,Motif_22,0.07433192
128,Germ,Motif_22,1.176857
129,Mesenchyme,Motif_22,-0.7011198
130,Muscle,Motif_22,0.19391401
131,Neuron,Motif_22,0.38513502
132,Notochord,Motif_22,0.016744714
133,Endoderm,Motif_24,-0.7633085
134,Epithelial,Motif_24,-0.38988703
135,Germ,Motif_24,-0.34096888
136,Mesenchyme,Motif_24,0.7157394
137,Muscle,Motif_24,-0.51066214
138,Neuron,Motif_24,-0.51205754
139,Notochord,Motif_24,-0.7633085
140,Endoderm,Motif_25,1.1742985
141,Epithelial,Motif_25,-0.10888087
142,Germ,Motif_25,0.69468725
143,Mesenchyme,Motif_25,-0.678823
144,Muscle,Motif_25,0.6017934
145,Neuron,Motif_25,0.06610928
146,Notochord,Motif_25,-0.4123878
147,Endoderm,Motif_26,0.16374871
148,Epithelial,Motif_26,0.011408174
149,Germ,Motif_26,-0.6095782
150,Mesenchyme,Motif_26,-0.18759347
151,Muscle,Motif_26,0.5038782
152,Neuron,Motif_26,0.2249262
153,Notochord,Motif_26,0.8559486
154,Endoderm,Motif_27,1.0103014
155,Epithelial,Motif_27,0.20969883
156,Germ,Motif_27,0.9671036
157,Mesenchyme,Motif_27,-0.7899206
158,Muscle,Motif_27,0.19696224
159,Neuron,Motif_27,0.562477
160,Notochord,Motif_27,0.27800393
161,Endoderm,Motif_28,-0.15485242
162,Epithelial,Motif_28,0.5672564
163,Germ,Motif_28,-0.29851747
164,Mesenchyme,Motif_28,-0.3122049
165,Muscle,Motif_28,-0.18045825
166,Neuron,Motif_28,0.2732624
167,Notochord,Motif_28,0.99051017
168,Endoderm,Motif_29,-0.01671853
169,Epithelial,Motif_29,-0.012095679
170,Germ,Motif_29,-0.01671853
171,Mesenchyme,Motif_29,-0.01671853
172,Muscle,Motif_29,-0.010923361
173,Neuron,Motif_29,-0.01671853
174,Notochord,Motif_29,-0.01671853
175,Endoderm,Motif_30,-0.49068347
176,Epithelial,Motif_30,0.4080134
177,Germ,Motif_30,-0.46812958
178,Mesenchyme,Motif_30,0.06499178
179,Muscle,Motif_30,-0.19449486
180,Neuron,Motif_30,-0.19357775
181,Notochord,Motif_30,-0.50395435
182,Endoderm,Motif_31,-0.5450555
183,Epithelial,Motif_31,-0.35708156
184,Germ,Motif_31,-0.091817126
185,Mesenchyme,Motif_31,0.5176502
186,Muscle,Motif_31,-0.2402479
187,Neuron,Motif_31,-0.4668736
188,Notochord,Motif_31,-0.5450555
189,Endoderm,Motif_34,-0.24505989
190,Epithelial,Motif_34,0.18543142
191,Germ,Motif_34,-0.23889944
192,Mesenchyme,Motif_34,-0.087311246
193,Muscle,Motif_34,0.032346934
194,Neuron,Motif_34,-0.11414083
195,Notochord,Motif_34,-0.24505989
196,Endoderm,Motif_35,0.57255554
197,Epithelial,Motif_35,0.5002651
198,Germ,Motif_35,1.0320698
199,Mesenchyme,Motif_35,-0.6704221
200,Muscle,Motif_35,0.013584661
201,Neuron,Motif_35,0.7482188
202,Notochord,Motif_35,0.37589696
203,Endoderm,Motif_36,-1.0253497
204,Epithelial,Motif_36,-0.33867672
205,Germ,Motif_36,-0.74243784
206,Mesenchyme,Motif_36,0.84820336
207,Muscle,Motif_36,-0.50429296
208,Neuron,Motif_36,-0.5115601
209,Notochord,Motif_36,-0.60623026
210,Endoderm,Motif_37,-0.13550603
211,Epithelial,Motif_37,-0.0010862061
212,Germ,Motif_37,-0.13550603
213,Mesenchyme,Motif_37,-0.06958483
214,Muscle,Motif_37,0.12836397
215,Neuron,Motif_37,-0.09906581
216,Notochord,Motif_37,-0.13550603
217,Endoderm,Motif_38,-0.17251645
218,Epithelial,Motif_38,-0.5331249
219,Germ,Motif_38,-0.5002104
220,Mesenchyme,Motif_38,0.2869765
221,Muscle,Motif_38,-0.08856405
222,Neuron,Motif_38,-0.2978072
223,Notochord,Motif_38,0.18949376
224,Endoderm,Motif_39,-0.8139017
225,Epithelial,Motif_39,-0.28634354
226,Germ,Motif_39,-0.41670847
227,Mesenchyme,Motif_39,0.7105007
228,Muscle,Motif_39,-0.5291497
229,Neuron,Motif_39,-0.4915303
230,Notochord,Motif_39,-0.8139017
231,Endoderm,Motif_40,0.854759
232,Epithelial,Motif_40,-0.052163824
233,Germ,Motif_40,0.06604207
234,Mesenchyme,Motif_40,-0.5346821
235,Muscle,Motif_40,0.61885655
236,Neuron,Motif_40,0.13169657
237,Notochord,Motif_40,0.05743558
238,Endoderm,Motif_41,-0.8110572
239,Epithelial,Motif_41,-0.34151334
240,Germ,Motif_41,-0.41020548
241,Mesenchyme,Motif_41,0.7288721
242,Muscle,Motif_41,-0.5609088
243,Neuron,Motif_41,-0.4969705
244,Notochord,Motif_41,-0.8110572
245,Endoderm,Motif_42,-0.29858392
246,Epithelial,Motif_42,0.15272228
247,Germ,Motif_42,-0.39084175
248,Mesenchyme,Motif_42,0.018196901
249,Muscle,Motif_42,-0.09487202
250,Neuron,Motif_42,-0.27210093
251,Notochord,Motif_42,-0.39084175
252,Endoderm,Motif_43,0.14328474
253,Epithelial,Motif_43,0.13185133
254,Germ,Motif_43,1.2288698
255,Mesenchyme,Motif_43,-0.38822812
256,Muscle,Motif_43,-0.108768865
257,Neuron,Motif_43,0.35330823
258,Notochord,Motif_43,0.24808091
259,Endoderm,Motif_44,0.1533909
260,Epithelial,Motif_44,0.14744277
261,Germ,Motif_44,0.89110106
262,Mesenchyme,Motif_44,-0.33775178
263,Muscle,Motif_44,-0.32635045
264,Neuron,Motif_44,0.076493196
265,Notochord,Motif_44,0.16437367
266,Endoderm,Motif_45,-0.9152189
267,Epithelial,Motif_45,-0.53369194
268,Germ,Motif_45,-0.57547104
269,Mesenchyme,Motif_45,0.85402375
270,Muscle,Motif_45,-0.5999581
