Celltype,Species,Cellcluster,colors_lineage
Immune_Human95,Human,Immune,#1B9E77
Immune_Human88,Human,Immune,#1B9E77
Immune_Human87,Human,Immune,#1B9E77
Immune_Human60,Human,Immune,#1B9E77
Immune_Human78,Human,Immune,#1B9E77
Immune_Human64,Human,Immune,#1B9E77
Immune_Human67,Human,Immune,#1B9E77
Secretory_Human82,Human,Secretory,#E6AB02
Proliferating_Human65,Human,Proliferating,#A6761D
Erythroid_Human72,Human,Erythroid,#4DAF4A
Epithelial_Human32,Human,Epithelial,#E7298A
Erythroid_Human36,Human,Erythroid,#4DAF4A
Erythroid_Human4,Human,Erythroid,#4DAF4A
Erythroid_Human57,Human,Erythroid,#4DAF4A
Secretory_Human90,Human,Secretory,#E6AB02
Epithelial_Human5,Human,Epithelial,#E7298A
Secretory_Human47,Human,Secretory,#E6AB02
Secretory_Human80,Human,Secretory,#E6AB02
Stromal_Human2,Human,Stromal,#BEBADA
Stromal_Human42,Human,Stromal,#BEBADA
Stromal_Human74,Human,Stromal,#BEBADA
Epithelial_Human58,Human,Epithelial,#E7298A
Secretory_Human83,Human,Secretory,#E6AB02
Epithelial_Human14,Human,Epithelial,#E7298A
Epithelial_Human19,Human,Epithelial,#E7298A
Epithelial_Human51,Human,Epithelial,#E7298A
Epithelial_Human35,Human,Epithelial,#E7298A
Epithelial_Human79,Human,Epithelial,#E7298A
Muscle_Human44,Human,Muscle,#66A61E
Proliferating_Human34,Human,Proliferating,#A6761D
Endothelial_Human6,Human,Endothelial,#E41A1C
Endothelial_Human93,Human,Endothelial,#E41A1C
Germ_Human23,Human,Germ,lightblue
Stromal_Human10,Human,Stromal,#BEBADA
Stromal_Human3,Human,Stromal,#BEBADA
Neuron_Human59,Human,Neuron,#D95F02
Neuron_Human84,Human,Neuron,#D95F02
Epithelial_Human9,Human,Epithelial,#E7298A
Neuron_Human31,Human,Neuron,#D95F02
Epithelial_Human24,Human,Epithelial,#E7298A
Epithelial_Human68,Human,Epithelial,#E7298A
Epithelial_Human20,Human,Epithelial,#E7298A
Epithelial_Human41,Human,Epithelial,#E7298A
Muscle_Human73,Human,Muscle,#66A61E
Erythroid_Human43,Human,Erythroid,#4DAF4A
Immune_Human29,Human,Immune,#1B9E77
Epithelial_Human17,Human,Epithelial,#E7298A
Immune_Human81,Human,Immune,#1B9E77
Epithelial_Human66,Human,Epithelial,#E7298A
Epithelial_Human16,Human,Epithelial,#E7298A
Epithelial_Human77,Human,Epithelial,#E7298A
Stromal_Human12,Human,Stromal,#BEBADA
Epithelial_Human37,Human,Epithelial,#E7298A
Immune_Human62,Human,Immune,#1B9E77
Immune_Human71,Human,Immune,#1B9E77
Immune_Human22,Human,Immune,#1B9E77
Immune_Human61,Human,Immune,#1B9E77
Immune_Human76,Human,Immune,#1B9E77
Stromal_Human56,Human,Stromal,#BEBADA
Epithelial_Human53,Human,Epithelial,#E7298A
Epithelial_Human69,Human,Epithelial,#E7298A
Epithelial_Human38,Human,Epithelial,#E7298A
Stromal_Human21,Human,Stromal,#BEBADA
Stromal_Human85,Human,Stromal,#BEBADA
Stromal_Human8,Human,Stromal,#BEBADA
Muscle_Human25,Human,Muscle,#66A61E
Endothelial_Human13,Human,Endothelial,#E41A1C
Epithelial_Human15,Human,Epithelial,#E7298A
Endothelial_Human11,Human,Endothelial,#E41A1C
Stromal_Human92,Human,Stromal,#BEBADA
Epithelial_Human45,Human,Epithelial,#E7298A
Epithelial_Human54,Human,Epithelial,#E7298A
Secretory_Human89,Human,Secretory,#E6AB02
Neuron_Human18,Human,Neuron,#D95F02
Neuron_Human55,Human,Neuron,#D95F02
Immune_Human30,Human,Immune,#1B9E77
Epithelial_Human48,Human,Epithelial,#E7298A
Epithelial_Human49,Human,Epithelial,#E7298A
Epithelial_Human50,Human,Epithelial,#E7298A
Epithelial_Human52,Human,Epithelial,#E7298A
Epithelial_Human70,Human,Epithelial,#E7298A
Epithelial_Human63,Human,Epithelial,#E7298A
Immune_Human91,Human,Immune,#1B9E77
Immune_Human7,Human,Immune,#1B9E77
Epithelial_Human75,Human,Epithelial,#E7298A
Immune_Human1,Human,Immune,#1B9E77
Immune_Human26,Human,Immune,#1B9E77
Epithelial_Human40,Human,Epithelial,#E7298A
Epithelial_Human46,Human,Epithelial,#E7298A
