,Celltype,Motif,Influe
0,Endothelial_Human11,Motif_0,0.0
1,Epithelial_Human16,Motif_0,1.0
2,Epithelial_Human20,Motif_0,0.0
3,Epithelial_Human32,Motif_0,1.0
4,Epithelial_Human40,Motif_0,0.0
5,Epithelial_Human46,Motif_0,0.0
6,Epithelial_Human48,Motif_0,0.0
7,Epithelial_Human49,Motif_0,0.0
8,Epithelial_Human5,Motif_0,0.0
9,Epithelial_Human50,Motif_0,0.0
10,Epithelial_Human51,Motif_0,0.0
11,Epithelial_Human53,Motif_0,0.0
12,Epithelial_Human54,Motif_0,0.0
13,Epithelial_Human63,Motif_0,0.0
14,Epithelial_Human68,Motif_0,1.0
15,Epithelial_Human69,Motif_0,0.0
16,Epithelial_Human70,Motif_0,0.0
17,Epithelial_Human75,Motif_0,0.0
18,Erythroid_Human36,Motif_0,1.0
19,Erythroid_Human4,Motif_0,1.0
20,Erythroid_Human43,Motif_0,0.0
21,Erythroid_Human57,Motif_0,1.0
22,Erythroid_Human72,Motif_0,1.0
23,Immune_Human1,Motif_0,0.0
24,Immune_Human22,Motif_0,0.0
25,Immune_Human29,Motif_0,0.0
26,Immune_Human30,Motif_0,0.0
27,Immune_Human60,Motif_0,1.0
28,Immune_Human61,Motif_0,0.0
29,Immune_Human62,Motif_0,0.0
30,Immune_Human64,Motif_0,1.0
31,Immune_Human67,Motif_0,1.0
32,Immune_Human7,Motif_0,0.0
33,Immune_Human71,Motif_0,0.0
34,Immune_Human76,Motif_0,0.0
35,Immune_Human78,Motif_0,1.0
36,Immune_Human87,Motif_0,1.0
37,Immune_Human88,Motif_0,1.0
38,Immune_Human95,Motif_0,1.0
39,Muscle_Human25,Motif_0,0.0
40,Muscle_Human73,Motif_0,0.0
41,Neuron_Human31,Motif_0,1.0
42,Neuron_Human59,Motif_0,0.0
43,Proliferating_Human34,Motif_0,0.0
44,Proliferating_Human65,Motif_0,1.0
45,Secretory_Human47,Motif_0,0.0
46,Secretory_Human80,Motif_0,0.0
47,Secretory_Human90,Motif_0,0.0
48,Stromal_Human2,Motif_0,0.0
49,Stromal_Human42,Motif_0,0.0
50,Stromal_Human56,Motif_0,0.0
51,Stromal_Human74,Motif_0,1.0
52,Stromal_Human92,Motif_0,0.0
53,Endothelial_Human11,Motif_4,0.0
54,Epithelial_Human16,Motif_4,1.0
55,Epithelial_Human20,Motif_4,1.0
56,Epithelial_Human32,Motif_4,1.0
57,Epithelial_Human40,Motif_4,0.0
58,Epithelial_Human46,Motif_4,0.0
59,Epithelial_Human48,Motif_4,0.0
60,Epithelial_Human49,Motif_4,0.0
61,Epithelial_Human5,Motif_4,0.0
62,Epithelial_Human50,Motif_4,0.0
63,Epithelial_Human51,Motif_4,0.0
64,Epithelial_Human53,Motif_4,0.0
65,Epithelial_Human54,Motif_4,0.0
66,Epithelial_Human63,Motif_4,0.0
67,Epithelial_Human68,Motif_4,1.0
68,Epithelial_Human69,Motif_4,0.0
69,Epithelial_Human70,Motif_4,0.0
70,Epithelial_Human75,Motif_4,0.0
71,Erythroid_Human36,Motif_4,1.0
72,Erythroid_Human4,Motif_4,1.0
73,Erythroid_Human43,Motif_4,0.0
74,Erythroid_Human57,Motif_4,1.0
75,Erythroid_Human72,Motif_4,1.0
76,Immune_Human1,Motif_4,0.0
77,Immune_Human22,Motif_4,0.0
78,Immune_Human29,Motif_4,0.0
79,Immune_Human30,Motif_4,0.0
80,Immune_Human60,Motif_4,1.0
81,Immune_Human61,Motif_4,0.0
82,Immune_Human62,Motif_4,1.0
83,Immune_Human64,Motif_4,1.0
84,Immune_Human67,Motif_4,1.0
85,Immune_Human7,Motif_4,0.0
86,Immune_Human71,Motif_4,0.0
87,Immune_Human76,Motif_4,0.0
88,Immune_Human78,Motif_4,1.0
89,Immune_Human87,Motif_4,1.0
90,Immune_Human88,Motif_4,1.0
91,Immune_Human95,Motif_4,0.0
92,Muscle_Human25,Motif_4,0.0
93,Muscle_Human73,Motif_4,0.0
94,Neuron_Human31,Motif_4,0.0
95,Neuron_Human59,Motif_4,0.0
96,Proliferating_Human34,Motif_4,0.0
97,Proliferating_Human65,Motif_4,1.0
98,Secretory_Human47,Motif_4,0.0
99,Secretory_Human80,Motif_4,0.0
100,Secretory_Human90,Motif_4,1.0
101,Stromal_Human2,Motif_4,0.0
102,Stromal_Human42,Motif_4,0.0
103,Stromal_Human56,Motif_4,0.0
104,Stromal_Human74,Motif_4,1.0
105,Stromal_Human92,Motif_4,0.0
106,Endothelial_Human11,Motif_5,0.0
107,Epithelial_Human16,Motif_5,1.0
108,Epithelial_Human20,Motif_5,0.0
109,Epithelial_Human32,Motif_5,1.0
110,Epithelial_Human40,Motif_5,0.0
111,Epithelial_Human46,Motif_5,0.0
112,Epithelial_Human48,Motif_5,1.0
113,Epithelial_Human49,Motif_5,1.0
114,Epithelial_Human5,Motif_5,0.0
115,Epithelial_Human50,Motif_5,0.0
116,Epithelial_Human51,Motif_5,0.0
117,Epithelial_Human53,Motif_5,0.0
118,Epithelial_Human54,Motif_5,0.0
119,Epithelial_Human63,Motif_5,0.0
120,Epithelial_Human68,Motif_5,1.0
121,Epithelial_Human69,Motif_5,0.0
122,Epithelial_Human70,Motif_5,0.0
123,Epithelial_Human75,Motif_5,0.0
124,Erythroid_Human36,Motif_5,1.0
125,Erythroid_Human4,Motif_5,1.0
126,Erythroid_Human43,Motif_5,0.0
127,Erythroid_Human57,Motif_5,1.0
128,Erythroid_Human72,Motif_5,1.0
129,Immune_Human1,Motif_5,0.0
130,Immune_Human22,Motif_5,0.0
131,Immune_Human29,Motif_5,0.0
132,Immune_Human30,Motif_5,0.0
133,Immune_Human60,Motif_5,1.0
134,Immune_Human61,Motif_5,0.0
