Celltype,Species,Cellcluster,colors_lineage
Erythroid_Human43,Human,Erythroid,#4DAF4A
Immune_Human29,Human,Immune,#1B9E77
Stromal_Human92,Human,Stromal,#BEBADA
Endothelial_Human11,Human,Endothelial,#E41A1C
Muscle_Human25,Human,Muscle,#66A61E
Epithelial_Human54,Human,Epithelial,#E7298A
Immune_Human22,Human,Immune,#1B9E77
Epithelial_Human46,Human,Epithelial,#E7298A
Epithelial_Human40,Human,Epithelial,#E7298A
Immune_Human76,Human,Immune,#1B9E77
Stromal_Human42,Human,Stromal,#BEBADA
Immune_Human61,Human,Immune,#1B9E77
Stromal_Human2,Human,Stromal,#BEBADA
Stromal_Human74,Human,Stromal,#BEBADA
Neuron_Human31,Human,Neuron,#D95F02
Muscle_Human73,Human,Muscle,#66A61E
Neuron_Human59,Human,Neuron,#D95F02
Erythroid_Human4,Human,Erythroid,#4DAF4A
Erythroid_Human72,Human,Erythroid,#4DAF4A
Erythroid_Human57,Human,Erythroid,#4DAF4A
Epithelial_Human32,Human,Epithelial,#E7298A
Erythroid_Human36,Human,Erythroid,#4DAF4A
Immune_Human62,Human,Immune,#1B9E77
Immune_Human67,Human,Immune,#1B9E77
Immune_Human71,Human,Immune,#1B9E77
Immune_Human95,Human,Immune,#1B9E77
Immune_Human87,Human,Immune,#1B9E77
Immune_Human64,Human,Immune,#1B9E77
Immune_Human88,Human,Immune,#1B9E77
Immune_Human60,Human,Immune,#1B9E77
Immune_Human78,Human,Immune,#1B9E77
Epithelial_Human16,Human,Epithelial,#E7298A
Proliferating_Human65,Human,Proliferating,#A6761D
Epithelial_Human20,Human,Epithelial,#E7298A
Epithelial_Human68,Human,Epithelial,#E7298A
Immune_Human30,Human,Immune,#1B9E77
Immune_Human1,Human,Immune,#1B9E77
Immune_Human7,Human,Immune,#1B9E77
Epithelial_Human48,Human,Epithelial,#E7298A
Epithelial_Human49,Human,Epithelial,#E7298A
Secretory_Human90,Human,Secretory,#E6AB02
Stromal_Human56,Human,Stromal,#BEBADA
Epithelial_Human51,Human,Epithelial,#E7298A
Proliferating_Human34,Human,Proliferating,#A6761D
Epithelial_Human75,Human,Epithelial,#E7298A
Epithelial_Human53,Human,Epithelial,#E7298A
Epithelial_Human63,Human,Epithelial,#E7298A
Epithelial_Human69,Human,Epithelial,#E7298A
Epithelial_Human50,Human,Epithelial,#E7298A
Epithelial_Human70,Human,Epithelial,#E7298A
Epithelial_Human5,Human,Epithelial,#E7298A
Secretory_Human47,Human,Secretory,#E6AB02
Secretory_Human80,Human,Secretory,#E6AB02
