,Celltype,Motif,Gene
0,Follicle_Drosophila33,Motif_7,dati
3,Follicle_Drosophila33,Motif_32,dati
4,Follicle_Drosophila33,Motif_55,dati
7,Follicle_Drosophila33,Motif_72,dati
8,Follicle_Drosophila33,Motif_73,dati
10,Follicle_Drosophila33,Motif_87,dati
13,Neuron_Drosophila10,Motif_7,FoxP
16,Neuron_Drosophila10,Motif_72,FoxP
17,Neuron_Drosophila10,Motif_85,FoxP
20,Neuron_Drosophila10,Motif_7,rn
23,Neuron_Drosophila10,Motif_72,rn
24,Neuron_Drosophila10,Motif_85,rn
25,Neuron_Drosophila14,Motif_7,FoxP
28,Neuron_Drosophila14,Motif_85,FoxP
31,Neuron_Drosophila31,Motif_7,FoxP
34,Neuron_Drosophila31,Motif_32,FoxP
35,Neuron_Drosophila31,Motif_85,FoxP
38,Neuron_Drosophila9,Motif_7,FoxP
41,Neuron_Drosophila9,Motif_72,FoxP
42,Neuron_Drosophila9,Motif_85,FoxP
45,Neuron_Drosophila9,Motif_7,rn
48,Neuron_Drosophila9,Motif_72,rn
49,Neuron_Drosophila9,Motif_85,rn
50,Epithelial_Drosophila23,Motif_42,cad
51,Epithelial_Drosophila28,Motif_42,Sox100B
52,Epithelial_Drosophila36,Motif_42,cad
53,Muscle_Drosophila13,Motif_44,lmd
54,Epithelial_Drosophila28,Motif_54,esg
59,Muscle_Drosophila13,Motif_54,nau
65,Neuron_Drosophila15,Motif_54,l(1)sc
71,Proliferating_Drosophila3,Motif_54,tj
74,Proliferating_Drosophila7,Motif_54,tj
77,Epithelial_Drosophila32,Motif_73,retn
81,Immune_Drosophila34,Motif_73,retn
85,Immune_Drosophila34,Motif_73,Abd-B
