,Cluster,Motif,Influe
0,Epithelial,"(0, 1)",-0.6799917
1,FatBody,"(0, 1)",1.5722655
2,Follicle,"(0, 1)",-0.033514496
3,Germ,"(0, 1)",1.6850828
4,Gut,"(0, 1)",0.7323225
5,Hemocytes,"(0, 1)",0.29523888
6,MAG,"(0, 1)",-0.5162441
7,MT,"(0, 1)",0.7919419
8,Muscle,"(0, 1)",0.7167045
9,Neuron,"(0, 1)",-0.7651
10,Proliferating,"(0, 1)",0.5413098
11,Epithelial,"(0, 5)",0.9186836
12,FatBody,"(0, 5)",1.0260268
13,Follicle,"(0, 5)",-0.6579882
14,Germ,"(0, 5)",0.2142375
15,Gut,"(0, 5)",1.1751401
16,Hemocytes,"(0, 5)",0.81693876
17,MAG,"(0, 5)",1.6055757
18,MT,"(0, 5)",0.78138363
19,Muscle,"(0, 5)",-0.10524196
20,Neuron,"(0, 5)",0.2013093
21,Proliferating,"(0, 5)",0.10718275
22,Epithelial,"(0, 7)",-0.86336625
23,FatBody,"(0, 7)",-0.25636634
24,Follicle,"(0, 7)",0.49187714
25,Germ,"(0, 7)",-0.13647535
26,Gut,"(0, 7)",-0.5487105
27,Hemocytes,"(0, 7)",-0.85520077
28,MAG,"(0, 7)",-0.77862006
29,MT,"(0, 7)",-0.57108885
30,Muscle,"(0, 7)",0.26915345
31,Neuron,"(0, 7)",-0.3073734
32,Proliferating,"(0, 7)",0.32639453
33,Epithelial,"(0, 9)",0.22924618
34,FatBody,"(0, 9)",1.1660311
35,Follicle,"(0, 9)",0.0010770783
36,Germ,"(0, 9)",0.38095132
37,Gut,"(0, 9)",0.90530694
38,Hemocytes,"(0, 9)",0.44243774
39,MAG,"(0, 9)",-0.8325143
40,MT,"(0, 9)",0.45645896
41,Muscle,"(0, 9)",0.04558385
42,Neuron,"(0, 9)",-0.87483513
43,Proliferating,"(0, 9)",0.4194561
44,Epithelial,"(0, 15)",-0.4218637
45,FatBody,"(0, 15)",1.0318753
46,Follicle,"(0, 15)",-0.14010046
47,Germ,"(0, 15)",1.8336471
48,Gut,"(0, 15)",0.44616073
49,Hemocytes,"(0, 15)",-0.26968068
50,MAG,"(0, 15)",-0.33322054
51,MT,"(0, 15)",0.44877747
52,Muscle,"(0, 15)",-0.013142745
53,Neuron,"(0, 15)",-0.42519444
54,Proliferating,"(0, 15)",0.18908028
55,Epithelial,"(0, 21)",-0.862166
56,FatBody,"(0, 21)",1.0752126
57,Follicle,"(0, 21)",0.13637713
58,Germ,"(0, 21)",1.199774
59,Gut,"(0, 21)",0.35013902
60,Hemocytes,"(0, 21)",0.0942557
61,MAG,"(0, 21)",-1.2568393
62,MT,"(0, 21)",0.4312514
63,Muscle,"(0, 21)",0.8457328
64,Neuron,"(0, 21)",-0.49726307
65,Proliferating,"(0, 21)",0.5802978
66,Epithelial,"(0, 24)",-0.16524401
67,FatBody,"(0, 24)",1.6392311
68,Follicle,"(0, 24)",-0.26241946
69,Germ,"(0, 24)",0.84730774
70,Gut,"(0, 24)",1.0902334
71,Hemocytes,"(0, 24)",0.7425805
72,MAG,"(0, 24)",0.8805104
73,MT,"(0, 24)",0.85179913
74,Muscle,"(0, 24)",0.47499868
75,Neuron,"(0, 24)",-0.625029
76,Proliferating,"(0, 24)",0.8059105
77,Epithelial,"(0, 29)",0.9293788
78,FatBody,"(0, 29)",1.4173003
79,Follicle,"(0, 29)",-0.4672226
80,Germ,"(0, 29)",0.30906752
81,Gut,"(0, 29)",1.4406915
82,Hemocytes,"(0, 29)",1.0946971
83,MAG,"(0, 29)",0.6882201
84,MT,"(0, 29)",0.88057923
85,Muscle,"(0, 29)",-0.21605521
86,Neuron,"(0, 29)",-0.6263753
87,Proliferating,"(0, 29)",0.386699
88,Epithelial,"(0, 30)",-0.7025177
89,FatBody,"(0, 30)",0.4964421
90,Follicle,"(0, 30)",0.30580506
91,Germ,"(0, 30)",0.10173807
92,Gut,"(0, 30)",-0.09388185
93,Hemocytes,"(0, 30)",-0.57114446
94,MAG,"(0, 30)",-1.1890198
95,MT,"(0, 30)",-0.15091135
96,Muscle,"(0, 30)",0.4807341
97,Neuron,"(0, 30)",-0.23047116
98,Proliferating,"(0, 30)",0.38433143
99,Epithelial,"(0, 32)",-0.5003059
100,FatBody,"(0, 32)",1.0787158
101,Follicle,"(0, 32)",0.16704153
102,Germ,"(0, 32)",1.0822523
103,Gut,"(0, 32)",0.7242432
104,Hemocytes,"(0, 32)",0.41256872
105,MAG,"(0, 32)",0.5967779
106,MT,"(0, 32)",0.43060124
107,Muscle,"(0, 32)",0.18276781
108,Neuron,"(0, 32)",-1.3737367
109,Proliferating,"(0, 32)",0.5549955
110,Epithelial,"(0, 33)",-1.021326
111,FatBody,"(0, 33)",1.2510107
112,Follicle,"(0, 33)",0.2494236
113,Germ,"(0, 33)",1.4831548
114,Gut,"(0, 33)",0.47943762
115,Hemocytes,"(0, 33)",0.15697034
116,MAG,"(0, 33)",-0.6891668
117,MT,"(0, 33)",0.5157994
118,Muscle,"(0, 33)",0.81279826
119,Neuron,"(0, 33)",-1.1478431
120,Proliferating,"(0, 33)",0.61401844
121,Epithelial,"(0, 34)",0.20973907
122,FatBody,"(0, 34)",0.8978961
123,Follicle,"(0, 34)",0.11250396
124,Germ,"(0, 34)",0.8130612
125,Gut,"(0, 34)",1.1718407
126,Hemocytes,"(0, 34)",0.78523546
127,MAG,"(0, 34)",0.045034487
128,MT,"(0, 34)",0.4585207
129,Muscle,"(0, 34)",-0.50986195
130,Neuron,"(0, 34)",-1.5650029
131,Proliferating,"(0, 34)",0.44069374
132,Epithelial,"(0, 35)",0.8850663
133,FatBody,"(0, 35)",-0.86839664
134,Follicle,"(0, 35)",-0.069551565
135,Germ,"(0, 35)",-1.7288444
136,Gut,"(0, 35)",-0.4048596
137,Hemocytes,"(0, 35)",-0.3945458
138,MAG,"(0, 35)",-1.1401066
139,MT,"(0, 35)",-0.5033376
140,Muscle,"(0, 35)",-0.35193604
141,Neuron,"(0, 35)",1.0095266
142,Proliferating,"(0, 35)",-0.12004592
143,Epithelial,"(0, 36)",-0.6753473
144,FatBody,"(0, 36)",1.4743729
145,Follicle,"(0, 36)",0.08900336
146,Germ,"(0, 36)",1.5238981
147,Gut,"(0, 36)",0.84430754
148,Hemocytes,"(0, 36)",0.5029538
149,MAG,"(0, 36)",-0.62095046
150,MT,"(0, 36)",0.71423393
