,Celltype,Motif,Influe
0,Drosophila1,Motif_1,0.0
1,Drosophila10,Motif_1,0.0
2,Drosophila13,Motif_1,1.0
3,Drosophila14,Motif_1,0.0
4,Drosophila15,Motif_1,1.0
5,Drosophila16,Motif_1,1.0
6,Drosophila18,Motif_1,1.0
7,Drosophila19,Motif_1,0.0
8,Drosophila20,Motif_1,0.0
9,Drosophila23,Motif_1,0.0
10,Drosophila25,Motif_1,0.0
11,Drosophila29,Motif_1,1.0
12,Drosophila3,Motif_1,1.0
13,Drosophila31,Motif_1,0.0
14,Drosophila35,Motif_1,1.0
15,Drosophila37,Motif_1,0.0
16,Drosophila38,Motif_1,0.0
17,Drosophila39,Motif_1,0.0
18,Drosophila4,Motif_1,0.0
19,Drosophila41,Motif_1,0.0
20,Drosophila44,Motif_1,1.0
21,Drosophila46,Motif_1,0.0
22,Drosophila5,Motif_1,0.0
23,Drosophila52,Motif_1,0.0
24,Drosophila54,Motif_1,1.0
25,Drosophila55,Motif_1,1.0
26,Drosophila56,Motif_1,0.0
27,Drosophila57,Motif_1,0.0
28,Drosophila58,Motif_1,0.0
29,Drosophila6,Motif_1,0.0
30,Drosophila7,Motif_1,1.0
31,Drosophila8,Motif_1,0.0
32,Drosophila9,Motif_1,0.0
33,Drosophila1,Motif_5,0.0
34,Drosophila10,Motif_5,0.0
35,Drosophila13,Motif_5,0.0
36,Drosophila14,Motif_5,0.0
37,Drosophila15,Motif_5,0.0
38,Drosophila16,Motif_5,0.0
39,Drosophila18,Motif_5,0.0
40,Drosophila19,Motif_5,0.0
41,Drosophila20,Motif_5,0.0
42,Drosophila23,Motif_5,1.0
43,Drosophila25,Motif_5,0.0
44,Drosophila29,Motif_5,0.0
45,Drosophila3,Motif_5,0.0
46,Drosophila31,Motif_5,1.0
47,Drosophila35,Motif_5,0.0
48,Drosophila37,Motif_5,1.0
49,Drosophila38,Motif_5,0.0
50,Drosophila39,Motif_5,1.0
51,Drosophila4,Motif_5,0.0
52,Drosophila41,Motif_5,0.0
53,Drosophila44,Motif_5,0.0
54,Drosophila46,Motif_5,0.0
55,Drosophila5,Motif_5,0.0
56,Drosophila52,Motif_5,0.0
57,Drosophila54,Motif_5,1.0
58,Drosophila55,Motif_5,0.0
59,Drosophila56,Motif_5,1.0
60,Drosophila57,Motif_5,1.0
61,Drosophila58,Motif_5,1.0
