,Cluster,Motif,Influe
0,Epithelial,Motif_1,-1.3485004
1,FatBody,Motif_1,0.8654722
2,Follicle,Motif_1,0.33098575
3,Germ,Motif_1,1.5308149
4,Gut,Motif_1,-0.14365634
5,Hemocytes,Motif_1,-0.105393596
6,MAG,Motif_1,-1.1385095
7,MT,Motif_1,0.30758142
8,Muscle,Motif_1,1.0850152
9,Neuron,Motif_1,-0.6671873
10,Proliferating,Motif_1,0.47259218
11,Epithelial,Motif_5,0.9272583
12,FatBody,Motif_5,0.9984906
13,Follicle,Motif_5,-0.66209805
14,Germ,Motif_5,0.20496224
15,Gut,Motif_5,1.1468333
16,Hemocytes,Motif_5,0.8049426
17,MAG,Motif_5,1.5965387
18,MT,Motif_5,0.7731643
19,Muscle,Motif_5,-0.12932731
20,Neuron,Motif_5,0.25561324
21,Proliferating,Motif_5,0.09767895
22,Epithelial,Motif_7,-0.600066
23,FatBody,Motif_7,-1.3881049
24,Follicle,Motif_7,0.29158813
25,Germ,Motif_7,-1.0481886
26,Gut,Motif_7,-1.3704488
27,Hemocytes,Motif_7,-1.2472966
28,MAG,Motif_7,0.16761053
29,MT,Motif_7,-0.9589059
30,Muscle,Motif_7,0.081683435
31,Neuron,Motif_7,1.0773306
32,Proliferating,Motif_7,-0.2336835
33,Epithelial,Motif_9,0.6492356
34,FatBody,Motif_9,-0.113247104
35,Follicle,Motif_9,0.04544521
36,Germ,Motif_9,-1.2026488
37,Gut,Motif_9,-0.26261225
38,Hemocytes,Motif_9,-0.3522071
39,MAG,Motif_9,-1.3528607
40,MT,Motif_9,-0.32261026
41,Muscle,Motif_9,-0.076661
42,Neuron,Motif_9,0.45817184
43,Proliferating,Motif_9,-0.16124332
44,Epithelial,Motif_15,-1.3111813
45,FatBody,Motif_15,0.5857755
46,Follicle,Motif_15,0.4809677
47,Germ,Motif_15,1.5921758
48,Gut,Motif_15,0.03479947
49,Hemocytes,Motif_15,0.022014704
50,MAG,Motif_15,-0.5261808
51,MT,Motif_15,0.21625356
52,Muscle,Motif_15,0.7000605
53,Neuron,Motif_15,-1.3562334
54,Proliferating,Motif_15,0.54824847
55,Epithelial,Motif_16,1.3404077
56,FatBody,Motif_16,-0.8519417
57,Follicle,Motif_16,-0.28794053
58,Germ,Motif_16,-1.5553975
59,Gut,Motif_16,0.0038308504
60,Hemocytes,Motif_16,0.12453104
61,MAG,Motif_16,0.7949039
62,MT,Motif_16,-0.33694687
63,Muscle,Motif_16,-1.1675024
64,Neuron,Motif_16,0.72106564
65,Proliferating,Motif_16,-0.66564614
66,Epithelial,Motif_19,1.471041
67,FatBody,Motif_19,-0.49406174
68,Follicle,Motif_19,-0.3189223
69,Germ,Motif_19,-1.2991701
70,Gut,Motif_19,0.6533126
71,Hemocytes,Motif_19,0.58203655
72,MAG,Motif_19,0.92809236
73,MT,Motif_19,0.0077676913
74,Muscle,Motif_19,-1.2979091
75,Neuron,Motif_19,0.016043926
76,Proliferating,Motif_19,-0.23961692
77,Epithelial,Motif_21,-1.2969842
78,FatBody,Motif_21,-0.09213131
79,Follicle,Motif_21,0.35910332
80,Germ,Motif_21,0.7267025
81,Gut,Motif_21,-0.8586352
82,Hemocytes,Motif_21,-0.631251
83,MAG,Motif_21,-1.5699
84,MT,Motif_21,-0.17078869
85,Muscle,Motif_21,1.0497451
86,Neuron,Motif_21,0.29087207
87,Proliferating,Motif_21,0.22349213
88,Epithelial,Motif_22,-0.008185508
89,FatBody,Motif_22,0.018488683
90,Follicle,Motif_22,-0.008185508
91,Germ,Motif_22,-0.008185508
92,Gut,Motif_22,-0.0073597734
93,Hemocytes,Motif_22,-0.008185508
94,MAG,Motif_22,-0.008185508
95,MT,Motif_22,-0.008185508
96,Muscle,Motif_22,-0.008185508
97,Neuron,Motif_22,-0.008185508
98,Proliferating,Motif_22,-0.008185508
99,Epithelial,Motif_24,0.37726623
100,FatBody,Motif_24,1.0924188
101,Follicle,Motif_24,-0.59253883
102,Germ,Motif_24,0.20936398
103,Gut,Motif_24,0.8162958
104,Hemocytes,Motif_24,0.64685017
105,MAG,Motif_24,1.6901878
106,MT,Motif_24,0.7685701
107,Muscle,Motif_24,0.17091762
108,Neuron,Motif_24,0.4993345
109,Proliferating,Motif_24,0.40831387
110,Epithelial,Motif_26,-0.70853615
111,FatBody,Motif_26,-0.10772818
112,Follicle,Motif_26,0.09160756
113,Germ,Motif_26,0.31117654
114,Gut,Motif_26,-0.7022609
115,Hemocytes,Motif_26,-0.27219158
116,MAG,Motif_26,-1.3001125
117,MT,Motif_26,-0.0071125254
118,Muscle,Motif_26,0.91574526
119,Neuron,Motif_26,0.6452931
120,Proliferating,Motif_26,0.15586399
121,Epithelial,Motif_29,1.1891373
122,FatBody,Motif_29,1.2243344
123,Follicle,Motif_29,-0.6398667
124,Germ,Motif_29,0.026782893
125,Gut,Motif_29,1.3666972
126,Hemocytes,Motif_29,1.0762359
127,MAG,Motif_29,1.3603004
128,MT,Motif_29,0.8667599
129,Muscle,Motif_29,-0.33622557
130,Neuron,Motif_29,-0.08333649
131,Proliferating,Motif_29,0.21665439
132,Epithelial,Motif_30,-0.78403324
133,FatBody,Motif_30,-1.1136857
134,Follicle,Motif_30,0.35863727
135,Germ,Motif_30,-0.9715487
136,Gut,Motif_30,-1.4881657
137,Hemocytes,Motif_30,-1.3325249
138,MAG,Motif_30,-0.8390037
139,MT,Motif_30,-0.91714704
140,Muscle,Motif_30,0.37177768
141,Neuron,Motif_30,1.1463592
142,Proliferating,Motif_30,-0.30469468
143,Epithelial,Motif_31,-1.2118391
144,FatBody,Motif_31,-0.29120168
145,Follicle,Motif_31,0.18164805
146,Germ,Motif_31,0.48321265
147,Gut,Motif_31,-1.2267218
148,Hemocytes,Motif_31,-1.190244
