Celltype,Species,Cellcluster,Celltype_name,colors_lineage
EarthWorm5,EarthWorm,DigestiveGland,Digestive gland cell,orange
EarthWorm29,EarthWorm,Erythrocruorin,Erythrocruorin,#2c7fb8
EarthWorm27,EarthWorm,Neuron,Neuron,#D95F02
EarthWorm21,EarthWorm,Neuron,Neuron,#D95F02
EarthWorm28,EarthWorm,Neuron,Neuron,#D95F02
EarthWorm12,EarthWorm,Coelomocytes,Coelomocytes,#BC80BD
EarthWorm13,EarthWorm,Coelomocytes,Coelomocytes,#BC80BD
EarthWorm10,EarthWorm,Neuron,Ganglia,#D95F02
EarthWorm14,EarthWorm,Epithelial,Cuticle_epidermis cell,#E7298A
EarthWorm24,EarthWorm,Neuron,Neuron,#D95F02
EarthWorm20,EarthWorm,Germ,Sperm stem cell,lightblue
EarthWorm25,EarthWorm,Epithelial,Cuticle_epidermis cell,#E7298A
EarthWorm26,EarthWorm,Epithelial,Cuticle_epidermis cell,#E7298A
EarthWorm8,EarthWorm,Coelomocytes,Coelomocytes (RP_high),#BC80BD
EarthWorm9,EarthWorm,Muscle,Muscle cell,#66A61E
EarthWorm1,EarthWorm,Coelomocytes,Coelomocytes,#BC80BD
EarthWorm15,EarthWorm,Coelomocytes,Coelomocytes,#BC80BD
EarthWorm18,EarthWorm,Coelomocytes,Coelomocytes,#BC80BD
EarthWorm6,EarthWorm,Muscle,Muscle cell,#66A61E
EarthWorm16,EarthWorm,Epithelial,?Mechanosensory cell,#E7298A
EarthWorm3,EarthWorm,Germ,Sperm stem cell,lightblue
EarthWorm4,EarthWorm,Muscle,Body wall muscle,#66A61E
EarthWorm17,EarthWorm,Muscle,Muscle cell (Proliferating),#66A61E
EarthWorm23,EarthWorm,Muscle,Body wall muscle,#66A61E
EarthWorm11,EarthWorm,Muscle,Body wall muscle,#66A61E
EarthWorm19,EarthWorm,Muscle,Muscle cell,#66A61E
