,Celltype,Motif,Influe
0,EarthWorm11,Motif_1,1.0
1,EarthWorm17,Motif_1,1.0
2,EarthWorm19,Motif_1,1.0
3,EarthWorm21,Motif_1,0.0
4,EarthWorm23,Motif_1,1.0
5,EarthWorm27,Motif_1,0.0
6,EarthWorm28,Motif_1,0.0
7,EarthWorm29,Motif_1,0.0
8,EarthWorm4,Motif_1,1.0
9,EarthWorm5,Motif_1,0.0
10,EarthWorm8,Motif_1,0.0
11,EarthWorm11,Motif_2,1.0
12,EarthWorm17,Motif_2,1.0
13,EarthWorm19,Motif_2,1.0
14,EarthWorm21,Motif_2,0.0
15,EarthWorm23,Motif_2,1.0
16,EarthWorm27,Motif_2,0.0
17,EarthWorm28,Motif_2,0.0
18,EarthWorm29,Motif_2,0.0
19,EarthWorm4,Motif_2,1.0
20,EarthWorm5,Motif_2,0.0
21,EarthWorm8,Motif_2,0.0
22,EarthWorm11,Motif_4,0.0
23,EarthWorm17,Motif_4,0.0
24,EarthWorm19,Motif_4,0.0
25,EarthWorm21,Motif_4,0.0
26,EarthWorm23,Motif_4,0.0
27,EarthWorm27,Motif_4,0.0
28,EarthWorm28,Motif_4,0.0
29,EarthWorm29,Motif_4,0.0
30,EarthWorm4,Motif_4,1.0
31,EarthWorm5,Motif_4,0.0
32,EarthWorm8,Motif_4,0.0
33,EarthWorm11,Motif_6,0.0
34,EarthWorm17,Motif_6,0.0
35,EarthWorm19,Motif_6,0.0
36,EarthWorm21,Motif_6,1.0
37,EarthWorm23,Motif_6,0.0
38,EarthWorm27,Motif_6,1.0
39,EarthWorm28,Motif_6,1.0
40,EarthWorm29,Motif_6,1.0
41,EarthWorm4,Motif_6,0.0
42,EarthWorm5,Motif_6,1.0
43,EarthWorm8,Motif_6,0.0
44,EarthWorm11,Motif_7,0.0
45,EarthWorm17,Motif_7,0.0
46,EarthWorm19,Motif_7,0.0
47,EarthWorm21,Motif_7,1.0
48,EarthWorm23,Motif_7,0.0
49,EarthWorm27,Motif_7,1.0
50,EarthWorm28,Motif_7,1.0
51,EarthWorm29,Motif_7,1.0
52,EarthWorm4,Motif_7,0.0
53,EarthWorm5,Motif_7,0.0
54,EarthWorm8,Motif_7,0.0
