,Cluster,Motif,Influe
0,Coelomocytes,Motif_1,0.11734904
1,DigestiveGland,Motif_1,-2.0
2,Epithelial,Motif_1,-0.18147403
3,Erythrocruorin,Motif_1,-1.3774854
4,Germ,Motif_1,-0.04541583
5,Muscle,Motif_1,0.9783375
6,Neuron,Motif_1,-0.34039417
7,Coelomocytes,Motif_2,0.4082681
8,DigestiveGland,Motif_2,-2.0
9,Epithelial,Motif_2,0.14650048
10,Erythrocruorin,Motif_2,-0.50269544
11,Germ,Motif_2,0.20965283
12,Muscle,Motif_2,0.48482046
13,Neuron,Motif_2,0.14718585
14,Coelomocytes,Motif_4,-0.052232858
15,DigestiveGland,Motif_4,-0.052232858
16,Epithelial,Motif_4,-0.052232858
17,Erythrocruorin,Motif_4,-0.0091746
18,Germ,Motif_4,-0.052232858
19,Muscle,Motif_4,-0.014516654
20,Neuron,Motif_4,-0.052232858
21,Coelomocytes,Motif_6,-0.11330946
22,DigestiveGland,Motif_6,1.9997358
23,Epithelial,Motif_6,0.041851852
24,Erythrocruorin,Motif_6,1.1091421
25,Germ,Motif_6,-0.27871
26,Muscle,Motif_6,-0.85473335
27,Neuron,Motif_6,0.40185103
28,Coelomocytes,Motif_7,0.5952129
29,DigestiveGland,Motif_7,-0.6223294
30,Epithelial,Motif_7,0.7060942
31,Erythrocruorin,Motif_7,1.4207151
32,Germ,Motif_7,0.18443283
33,Muscle,Motif_7,-0.99485683
34,Neuron,Motif_7,1.1570338
35,Coelomocytes,Motif_9,0.30635184
36,DigestiveGland,Motif_9,-1.9989719
37,Epithelial,Motif_9,0.22296667
38,Erythrocruorin,Motif_9,0.41498804
39,Germ,Motif_9,0.14026101
40,Muscle,Motif_9,0.5613142
41,Neuron,Motif_9,0.35636637
42,Coelomocytes,Motif_10,-0.108285144
43,DigestiveGland,Motif_10,-1.8645915
44,Epithelial,Motif_10,0.21744283
45,Erythrocruorin,Motif_10,1.4382638
46,Germ,Motif_10,0.000121482204
47,Muscle,Motif_10,0.8741789
48,Neuron,Motif_10,0.401693
49,Coelomocytes,Motif_11,-0.2011202
50,DigestiveGland,Motif_11,2.0
51,Epithelial,Motif_11,0.10047668
52,Erythrocruorin,Motif_11,1.346812
53,Germ,Motif_11,-0.23185927
54,Muscle,Motif_11,-0.7884123
55,Neuron,Motif_11,0.39130834
56,Coelomocytes,Motif_12,0.2027556
57,DigestiveGland,Motif_12,-2.0
58,Epithelial,Motif_12,0.027898125
59,Erythrocruorin,Motif_12,-1.4856044
60,Germ,Motif_12,0.38294742
61,Muscle,Motif_12,0.71118003
62,Neuron,Motif_12,-0.36056638
63,Coelomocytes,Motif_13,-0.030777909
64,DigestiveGland,Motif_13,-0.030777909
65,Epithelial,Motif_13,-0.0077388715
66,Erythrocruorin,Motif_13,-0.030777909
67,Germ,Motif_13,-0.030777909
68,Muscle,Motif_13,-0.024240602
69,Neuron,Motif_13,-0.027982619
70,Coelomocytes,Motif_15,-0.29917365
71,DigestiveGland,Motif_15,1.8974919
72,Epithelial,Motif_15,0.48473665
73,Erythrocruorin,Motif_15,1.8960017
74,Germ,Motif_15,-0.1216531
75,Muscle,Motif_15,-0.72165346
76,Neuron,Motif_15,0.79071033
77,Coelomocytes,Motif_16,-0.50354713
78,DigestiveGland,Motif_16,2.0
79,Epithelial,Motif_16,0.019336026
80,Erythrocruorin,Motif_16,1.4055638
81,Germ,Motif_16,-0.26660842
82,Muscle,Motif_16,-0.39975765
83,Neuron,Motif_16,0.12773304
84,Coelomocytes,Motif_17,-0.20361704
85,DigestiveGland,Motif_17,1.996368
86,Epithelial,Motif_17,0.11119233
87,Erythrocruorin,Motif_17,1.6775218
88,Germ,Motif_17,-0.3924239
89,Muscle,Motif_17,-0.71072763
90,Neuron,Motif_17,0.54974866
91,Coelomocytes,Motif_18,-0.023951106
92,DigestiveGland,Motif_18,1.9998668
93,Epithelial,Motif_18,0.07696032
94,Erythrocruorin,Motif_18,1.0123446
95,Germ,Motif_18,-0.27975923
96,Muscle,Motif_18,-0.92803365
97,Neuron,Motif_18,0.44082317
98,Coelomocytes,Motif_22,0.1991577
99,DigestiveGland,Motif_22,1.3954214
100,Epithelial,Motif_22,-0.20187859
101,Erythrocruorin,Motif_22,-1.7929702
102,Germ,Motif_22,0.45611936
103,Muscle,Motif_22,-1.0112399
104,Neuron,Motif_22,-0.43826315
105,Coelomocytes,Motif_23,0.24704026
106,DigestiveGland,Motif_23,1.3771942
107,Epithelial,Motif_23,0.34248132
108,Erythrocruorin,Motif_23,0.9776141
109,Germ,Motif_23,0.07162815
110,Muscle,Motif_23,-1.1413139
111,Neuron,Motif_23,0.6109025
112,Coelomocytes,Motif_24,0.3939371
113,DigestiveGland,Motif_24,-1.9999837
114,Epithelial,Motif_24,0.22120266
115,Erythrocruorin,Motif_24,-0.3148924
116,Germ,Motif_24,0.28578192
117,Muscle,Motif_24,0.44701803
118,Neuron,Motif_24,0.167669
119,Coelomocytes,Motif_26,0.2848963
120,DigestiveGland,Motif_26,-2.0
121,Epithelial,Motif_26,0.02778998
122,Erythrocruorin,Motif_26,-1.1335397
123,Germ,Motif_26,0.22094823
124,Muscle,Motif_26,0.6848402
125,Neuron,Motif_26,-0.16256599
126,Coelomocytes,Motif_28,-0.25730032
127,DigestiveGland,Motif_28,2.0
128,Epithelial,Motif_28,0.018740833
129,Erythrocruorin,Motif_28,1.3563104
130,Germ,Motif_28,-0.29829022
131,Muscle,Motif_28,-0.6933609
132,Neuron,Motif_28,0.33064878
133,Coelomocytes,Motif_31,-0.0138197355
134,DigestiveGland,Motif_31,-0.0138197355
135,Epithelial,Motif_31,-0.0019237539
136,Erythrocruorin,Motif_31,-0.0138197355
137,Germ,Motif_31,-0.0138197355
138,Muscle,Motif_31,-0.0138197355
139,Neuron,Motif_31,-0.0138197355
140,Coelomocytes,Motif_34,-0.40425146
141,DigestiveGland,Motif_34,1.9999952
142,Epithelial,Motif_34,-0.15855077
143,Erythrocruorin,Motif_34,1.011996
144,Germ,Motif_34,-0.45691922
145,Muscle,Motif_34,-0.39895085
146,Neuron,Motif_34,0.1352334
147,Coelomocytes,Motif_36,-0.06405606
148,DigestiveGland,Motif_36,0.052368045
149,Epithelial,Motif_36,-0.06405606
150,Erythrocruorin,Motif_36,-0.06405606
151,Germ,Motif_36,-0.06405606
152,Muscle,Motif_36,-0.06405606
153,Neuron,Motif_36,-0.06405606
154,Coelomocytes,Motif_41,0.5919982
155,DigestiveGland,Motif_41,-1.9974947
156,Epithelial,Motif_41,0.45717517
157,Erythrocruorin,Motif_41,0.72799605
158,Germ,Motif_41,0.19381689
159,Muscle,Motif_41,-0.020983826
160,Neuron,Motif_41,0.67199594
161,Coelomocytes,Motif_42,0.019825924
162,DigestiveGland,Motif_42,1.98139
163,Epithelial,Motif_42,0.21023543
164,Erythrocruorin,Motif_42,1.259348
165,Germ,Motif_42,-0.14036633
166,Muscle,Motif_42,-1.0252388
167,Neuron,Motif_42,0.5447332
168,Coelomocytes,Motif_44,0.51126796
169,DigestiveGland,Motif_44,-1.9986165
170,Epithelial,Motif_44,0.37181127
171,Erythrocruorin,Motif_44,-0.26743665
172,Germ,Motif_44,0.46620238
173,Muscle,Motif_44,0.10982168
174,Neuron,Motif_44,0.28188604
175,Coelomocytes,Motif_47,-0.080467485
176,DigestiveGland,Motif_47,-1.6374168
177,Epithelial,Motif_47,-0.37287304
178,Erythrocruorin,Motif_47,-1.6374168
179,Germ,Motif_47,0.2090386
180,Muscle,Motif_47,1.0298704
181,Neuron,Motif_47,-0.95197105
182,Coelomocytes,Motif_48,-0.36350203
183,DigestiveGland,Motif_48,-0.36350203
184,Epithelial,Motif_48,-0.35965228
185,Erythrocruorin,Motif_48,-0.36350203
186,Germ,Motif_48,-0.36350203
187,Muscle,Motif_48,0.7014997
188,Neuron,Motif_48,-0.3599716
189,Coelomocytes,Motif_49,0.27006993
190,DigestiveGland,Motif_49,-1.9995828
191,Epithelial,Motif_49,0.12852353
192,Erythrocruorin,Motif_49,-0.88819313
193,Germ,Motif_49,0.4289507
194,Muscle,Motif_49,0.5686317
195,Neuron,Motif_49,-0.091965176
196,Coelomocytes,Motif_53,-0.23694013
197,DigestiveGland,Motif_53,2.0
198,Epithelial,Motif_53,0.041951157
199,Erythrocruorin,Motif_53,1.2106831
200,Germ,Motif_53,-0.25135458
201,Muscle,Motif_53,-0.73745185
202,Neuron,Motif_53,0.30129975
203,Coelomocytes,Motif_56,0.42196143
204,DigestiveGland,Motif_56,-1.9996194
205,Epithelial,Motif_56,0.11739179
206,Erythrocruorin,Motif_56,-1.2812573
207,Germ,Motif_56,0.40286607
208,Muscle,Motif_56,0.39715412
209,Neuron,Motif_56,-0.07798992
210,Coelomocytes,Motif_59,0.40508616
211,DigestiveGland,Motif_59,-1.9999043
212,Epithelial,Motif_59,0.20243673
213,Erythrocruorin,Motif_59,-0.7529668
214,Germ,Motif_59,0.36103153
215,Muscle,Motif_59,0.41067225
216,Neuron,Motif_59,0.07889061
217,Coelomocytes,Motif_64,0.29378507
218,DigestiveGland,Motif_64,-1.9988167
219,Epithelial,Motif_64,0.36541316
220,Erythrocruorin,Motif_64,-0.37531808
221,Germ,Motif_64,0.39632896
222,Muscle,Motif_64,0.4675971
223,Neuron,Motif_64,0.21354453
224,Coelomocytes,Motif_66,-0.39142534
225,DigestiveGland,Motif_66,2.0
226,Epithelial,Motif_66,-0.02520038
227,Erythrocruorin,Motif_66,1.3301116
228,Germ,Motif_66,-0.3458135
229,Muscle,Motif_66,-0.5050753
230,Neuron,Motif_66,0.21359749
231,Coelomocytes,Motif_68,-0.36218435
232,DigestiveGland,Motif_68,1.9954755
233,Epithelial,Motif_68,-0.36218435
234,Erythrocruorin,Motif_68,-0.3549302
235,Germ,Motif_68,-0.36218435
236,Muscle,Motif_68,-0.3621643
237,Neuron,Motif_68,-0.3620065
238,Coelomocytes,Motif_69,0.20374301
239,DigestiveGland,Motif_69,-1.997382
240,Epithelial,Motif_69,0.2692351
241,Erythrocruorin,Motif_69,0.30131528
242,Germ,Motif_69,0.095841095
243,Muscle,Motif_69,0.6962147
244,Neuron,Motif_69,0.35380566
245,Coelomocytes,Motif_70,0.31301588
246,DigestiveGland,Motif_70,1.3209502
247,Epithelial,Motif_70,0.24899182
248,Erythrocruorin,Motif_70,0.2274048
249,Germ,Motif_70,0.063411824
250,Muscle,Motif_70,-1.1642742
251,Neuron,Motif_70,0.56159747
252,Coelomocytes,Motif_71,-0.3915819
253,DigestiveGland,Motif_71,-0.82731616
254,Epithelial,Motif_71,-0.5346913
255,Erythrocruorin,Motif_71,-0.82731616
256,Germ,Motif_71,-0.061693434
257,Muscle,Motif_71,1.1121069
258,Neuron,Motif_71,-0.7350859
259,Coelomocytes,Motif_72,-0.36491627
260,DigestiveGland,Motif_72,1.9998392
261,Epithelial,Motif_72,-0.36449876
262,Erythrocruorin,Motif_72,-0.24845223
263,Germ,Motif_72,-0.36491627
264,Muscle,Motif_72,-0.3647012
265,Neuron,Motif_72,-0.36369085
266,Coelomocytes,Motif_73,0.5865205
267,DigestiveGland,Motif_73,-1.9959195
268,Epithelial,Motif_73,0.5357712
269,Erythrocruorin,Motif_73,0.15866001
270,Germ,Motif_73,0.42750758
271,Muscle,Motif_73,-0.11339852
272,Neuron,Motif_73,0.47810164
273,Coelomocytes,Motif_74,-0.14249732
274,DigestiveGland,Motif_74,0.35893703
275,Epithelial,Motif_74,-0.14249732
276,Erythrocruorin,Motif_74,-0.14249732
277,Germ,Motif_74,-0.14249732
278,Muscle,Motif_74,-0.14249732
279,Neuron,Motif_74,-0.14249732
280,Coelomocytes,Motif_75,-0.2611158
281,DigestiveGland,Motif_75,1.142228
282,Epithelial,Motif_75,-0.2611158
283,Erythrocruorin,Motif_75,-0.2611158
284,Germ,Motif_75,-0.2611158
285,Muscle,Motif_75,-0.2611158
286,Neuron,Motif_75,-0.2611158
287,Coelomocytes,Motif_76,-0.25562462
288,DigestiveGland,Motif_76,2.0
289,Epithelial,Motif_76,0.022878114
290,Erythrocruorin,Motif_76,1.2858894
291,Germ,Motif_76,-0.32657966
292,Muscle,Motif_76,-0.6757524
293,Neuron,Motif_76,0.32050633
294,Coelomocytes,Motif_77,0.4597685
295,DigestiveGland,Motif_77,-1.9891349
296,Epithelial,Motif_77,0.06476639
297,Erythrocruorin,Motif_77,-1.781548
298,Germ,Motif_77,0.51847035
299,Muscle,Motif_77,0.27641854
300,Neuron,Motif_77,-0.24744461
301,Coelomocytes,Motif_82,-0.35952297
302,DigestiveGland,Motif_82,1.9753143
303,Epithelial,Motif_82,-0.35952297
304,Erythrocruorin,Motif_82,-0.35952297
305,Germ,Motif_82,-0.35952297
306,Muscle,Motif_82,-0.35952297
307,Neuron,Motif_82,-0.35952297
308,Coelomocytes,Motif_83,-0.010721394
309,DigestiveGland,Motif_83,-0.010721394
310,Epithelial,Motif_83,-0.009024583
311,Erythrocruorin,Motif_83,-0.010721394
312,Germ,Motif_83,-0.010721394
313,Muscle,Motif_83,-0.01007858
314,Neuron,Motif_83,-0.007953711
315,Coelomocytes,Motif_84,0.107708685
316,DigestiveGland,Motif_84,-1.8317629
317,Epithelial,Motif_84,-0.41343877
318,Erythrocruorin,Motif_84,-1.8314068
319,Germ,Motif_84,0.23909582
320,Muscle,Motif_84,0.8708577
321,Neuron,Motif_84,-0.9775711
322,Coelomocytes,Motif_85,-0.20221251
323,DigestiveGland,Motif_85,0.7025074
324,Epithelial,Motif_85,-0.18266183
325,Erythrocruorin,Motif_85,-0.2035459
326,Germ,Motif_85,-0.2035459
327,Muscle,Motif_85,-0.2035459
328,Neuron,Motif_85,-0.2035459
329,Coelomocytes,Motif_86,-0.32398218
330,DigestiveGland,Motif_86,1.5164336
331,Epithelial,Motif_86,-0.29074472
332,Erythrocruorin,Motif_86,1.6463691
333,Germ,Motif_86,-0.3240231
334,Muscle,Motif_86,-0.29994738
335,Neuron,Motif_86,-0.23053312
336,Coelomocytes,Motif_87,0.24560243
337,DigestiveGland,Motif_87,-1.99999
338,Epithelial,Motif_87,0.19549727
339,Erythrocruorin,Motif_87,-0.35540527
340,Germ,Motif_87,0.31347013
341,Muscle,Motif_87,0.63047385
