,Celltype,Motif,Influe
0,Zebrafish1,Motif_1,-0.07306794
1,Zebrafish10,Motif_1,-0.05042912
2,Zebrafish11,Motif_1,-0.0704911
3,Zebrafish12,Motif_1,-0.07177903
4,Zebrafish13,Motif_1,-0.061587345
5,Zebrafish14,Motif_1,-0.07306794
6,Zebrafish15,Motif_1,0.51354283
7,Zebrafish16,Motif_1,-0.07306794
8,Zebrafish17,Motif_1,-0.07306794
9,Zebrafish18,Motif_1,-0.07306794
10,Zebrafish19,Motif_1,-0.066514514
11,Zebrafish2,Motif_1,-0.07306794
12,Zebrafish20,Motif_1,-0.07306794
13,Zebrafish21,Motif_1,-0.07306794
14,Zebrafish22,Motif_1,-0.07306794
15,Zebrafish23,Motif_1,-0.07295415
16,Zebrafish25,Motif_1,-0.07306794
17,Zebrafish26,Motif_1,-0.07306794
18,Zebrafish27,Motif_1,-0.07306794
19,Zebrafish28,Motif_1,-0.07279154
20,Zebrafish29,Motif_1,-0.06987369
21,Zebrafish3,Motif_1,-0.072937846
22,Zebrafish31,Motif_1,-0.06959546
23,Zebrafish32,Motif_1,-0.07306794
24,Zebrafish33,Motif_1,-0.07306794
25,Zebrafish34,Motif_1,-0.07306794
26,Zebrafish35,Motif_1,-0.07306794
27,Zebrafish36,Motif_1,-0.07306794
28,Zebrafish38,Motif_1,-0.06845086
29,Zebrafish39,Motif_1,-0.06824685
30,Zebrafish4,Motif_1,-0.07306794
31,Zebrafish42,Motif_1,-0.07306794
32,Zebrafish43,Motif_1,-0.07306794
33,Zebrafish44,Motif_1,-0.067244716
34,Zebrafish45,Motif_1,-0.07306794
35,Zebrafish46,Motif_1,-0.06631528
36,Zebrafish47,Motif_1,-0.06065004
37,Zebrafish48,Motif_1,-0.07291766
38,Zebrafish49,Motif_1,-0.07306794
39,Zebrafish5,Motif_1,-0.07306794
40,Zebrafish50,Motif_1,-0.07306794
41,Zebrafish51,Motif_1,-0.07306794
42,Zebrafish52,Motif_1,-0.07306794
43,Zebrafish53,Motif_1,-0.07306794
44,Zebrafish54,Motif_1,-0.07306794
45,Zebrafish55,Motif_1,-0.07306794
46,Zebrafish57,Motif_1,-0.06355845
47,Zebrafish58,Motif_1,-0.07306794
48,Zebrafish59,Motif_1,-0.062326655
49,Zebrafish6,Motif_1,-0.07306794
50,Zebrafish60,Motif_1,-0.07306794
51,Zebrafish61,Motif_1,-0.07306794
