,Celltype,Motif,Influe
0,Zebrafish1,Motif_1,0.0
1,Zebrafish10,Motif_1,0.0
2,Zebrafish13,Motif_1,0.0
3,Zebrafish14,Motif_1,0.0
4,Zebrafish15,Motif_1,1.0
5,Zebrafish17,Motif_1,0.0
6,Zebrafish2,Motif_1,0.0
7,Zebrafish20,Motif_1,0.0
8,Zebrafish21,Motif_1,0.0
9,Zebrafish22,Motif_1,0.0
10,Zebrafish23,Motif_1,0.0
11,Zebrafish25,Motif_1,0.0
12,Zebrafish26,Motif_1,0.0
13,Zebrafish28,Motif_1,0.0
14,Zebrafish29,Motif_1,0.0
15,Zebrafish31,Motif_1,0.0
16,Zebrafish32,Motif_1,0.0
17,Zebrafish33,Motif_1,0.0
18,Zebrafish36,Motif_1,0.0
19,Zebrafish39,Motif_1,0.0
20,Zebrafish4,Motif_1,0.0
21,Zebrafish42,Motif_1,0.0
22,Zebrafish43,Motif_1,0.0
23,Zebrafish44,Motif_1,0.0
24,Zebrafish46,Motif_1,0.0
25,Zebrafish47,Motif_1,0.0
26,Zebrafish49,Motif_1,0.0
27,Zebrafish5,Motif_1,0.0
28,Zebrafish50,Motif_1,0.0
29,Zebrafish52,Motif_1,0.0
30,Zebrafish53,Motif_1,0.0
31,Zebrafish54,Motif_1,0.0
32,Zebrafish55,Motif_1,0.0
33,Zebrafish58,Motif_1,0.0
34,Zebrafish59,Motif_1,0.0
35,Zebrafish6,Motif_1,0.0
36,Zebrafish61,Motif_1,0.0
37,Zebrafish63,Motif_1,0.0
38,Zebrafish65,Motif_1,0.0
39,Zebrafish68,Motif_1,0.0
40,Zebrafish69,Motif_1,0.0
41,Zebrafish7,Motif_1,0.0
42,Zebrafish70,Motif_1,0.0
43,Zebrafish71,Motif_1,0.0
44,Zebrafish77,Motif_1,0.0
45,Zebrafish78,Motif_1,0.0
46,Zebrafish8,Motif_1,0.0
47,Zebrafish80,Motif_1,0.0
48,Zebrafish83,Motif_1,0.0
49,Zebrafish84,Motif_1,0.0
50,Zebrafish85,Motif_1,1.0
51,Zebrafish86,Motif_1,0.0
52,Zebrafish87,Motif_1,0.0
53,Zebrafish9,Motif_1,0.0
54,Zebrafish1,Motif_2,1.0
55,Zebrafish10,Motif_2,0.0
56,Zebrafish13,Motif_2,1.0
57,Zebrafish14,Motif_2,0.0
58,Zebrafish15,Motif_2,0.0
59,Zebrafish17,Motif_2,1.0
60,Zebrafish2,Motif_2,0.0
61,Zebrafish20,Motif_2,0.0
62,Zebrafish21,Motif_2,0.0
63,Zebrafish22,Motif_2,0.0
64,Zebrafish23,Motif_2,0.0
65,Zebrafish25,Motif_2,1.0
66,Zebrafish26,Motif_2,1.0
67,Zebrafish28,Motif_2,0.0
68,Zebrafish29,Motif_2,1.0
69,Zebrafish31,Motif_2,0.0
70,Zebrafish32,Motif_2,0.0
71,Zebrafish33,Motif_2,1.0
72,Zebrafish36,Motif_2,0.0
73,Zebrafish39,Motif_2,0.0
74,Zebrafish4,Motif_2,0.0
75,Zebrafish42,Motif_2,1.0
76,Zebrafish43,Motif_2,0.0
77,Zebrafish44,Motif_2,0.0
78,Zebrafish46,Motif_2,0.0
79,Zebrafish47,Motif_2,0.0
80,Zebrafish49,Motif_2,0.0
81,Zebrafish5,Motif_2,1.0
82,Zebrafish50,Motif_2,0.0
83,Zebrafish52,Motif_2,1.0
84,Zebrafish53,Motif_2,1.0
85,Zebrafish54,Motif_2,0.0
86,Zebrafish55,Motif_2,0.0
87,Zebrafish58,Motif_2,0.0
88,Zebrafish59,Motif_2,0.0
89,Zebrafish6,Motif_2,1.0
90,Zebrafish61,Motif_2,0.0
91,Zebrafish63,Motif_2,0.0
92,Zebrafish65,Motif_2,0.0
93,Zebrafish68,Motif_2,0.0
94,Zebrafish69,Motif_2,0.0
95,Zebrafish7,Motif_2,1.0
96,Zebrafish70,Motif_2,0.0
97,Zebrafish71,Motif_2,0.0
98,Zebrafish77,Motif_2,0.0
99,Zebrafish78,Motif_2,0.0
100,Zebrafish8,Motif_2,1.0
101,Zebrafish80,Motif_2,1.0
102,Zebrafish83,Motif_2,0.0
103,Zebrafish84,Motif_2,1.0
104,Zebrafish85,Motif_2,0.0
105,Zebrafish86,Motif_2,0.0
106,Zebrafish87,Motif_2,0.0
107,Zebrafish9,Motif_2,0.0
108,Zebrafish1,Motif_3,0.0
109,Zebrafish10,Motif_3,1.0
110,Zebrafish13,Motif_3,0.0
111,Zebrafish14,Motif_3,0.0
112,Zebrafish15,Motif_3,1.0
113,Zebrafish17,Motif_3,0.0
114,Zebrafish2,Motif_3,0.0
115,Zebrafish20,Motif_3,0.0
116,Zebrafish21,Motif_3,0.0
117,Zebrafish22,Motif_3,1.0
118,Zebrafish23,Motif_3,0.0
119,Zebrafish25,Motif_3,0.0
120,Zebrafish26,Motif_3,0.0
121,Zebrafish28,Motif_3,0.0
122,Zebrafish29,Motif_3,0.0
123,Zebrafish31,Motif_3,0.0
124,Zebrafish32,Motif_3,0.0
125,Zebrafish33,Motif_3,0.0
126,Zebrafish36,Motif_3,0.0
127,Zebrafish39,Motif_3,0.0
128,Zebrafish4,Motif_3,0.0
129,Zebrafish42,Motif_3,0.0
130,Zebrafish43,Motif_3,0.0
131,Zebrafish44,Motif_3,1.0
132,Zebrafish46,Motif_3,0.0
133,Zebrafish47,Motif_3,0.0
134,Zebrafish49,Motif_3,1.0
135,Zebrafish5,Motif_3,0.0
136,Zebrafish50,Motif_3,0.0
137,Zebrafish52,Motif_3,0.0
138,Zebrafish53,Motif_3,0.0
139,Zebrafish54,Motif_3,1.0
140,Zebrafish55,Motif_3,0.0
141,Zebrafish58,Motif_3,0.0
142,Zebrafish59,Motif_3,0.0
143,Zebrafish6,Motif_3,0.0
144,Zebrafish61,Motif_3,0.0
145,Zebrafish63,Motif_3,0.0
146,Zebrafish65,Motif_3,1.0
147,Zebrafish68,Motif_3,0.0
148,Zebrafish69,Motif_3,0.0
149,Zebrafish7,Motif_3,0.0
150,Zebrafish70,Motif_3,1.0
151,Zebrafish71,Motif_3,0.0
152,Zebrafish77,Motif_3,0.0
153,Zebrafish78,Motif_3,0.0
154,Zebrafish8,Motif_3,0.0
155,Zebrafish80,Motif_3,0.0
156,Zebrafish83,Motif_3,1.0
157,Zebrafish84,Motif_3,0.0
158,Zebrafish85,Motif_3,1.0
159,Zebrafish86,Motif_3,1.0
160,Zebrafish87,Motif_3,1.0
161,Zebrafish9,Motif_3,0.0
162,Zebrafish1,Motif_4,1.0
163,Zebrafish10,Motif_4,0.0
164,Zebrafish13,Motif_4,1.0
165,Zebrafish14,Motif_4,0.0
166,Zebrafish15,Motif_4,0.0
167,Zebrafish17,Motif_4,0.0
168,Zebrafish2,Motif_4,0.0
169,Zebrafish20,Motif_4,0.0
170,Zebrafish21,Motif_4,1.0
171,Zebrafish22,Motif_4,0.0
172,Zebrafish23,Motif_4,0.0
173,Zebrafish25,Motif_4,1.0
174,Zebrafish26,Motif_4,0.0
175,Zebrafish28,Motif_4,1.0
176,Zebrafish29,Motif_4,0.0
177,Zebrafish31,Motif_4,0.0
178,Zebrafish32,Motif_4,0.0
179,Zebrafish33,Motif_4,1.0
180,Zebrafish36,Motif_4,0.0
181,Zebrafish39,Motif_4,1.0
182,Zebrafish4,Motif_4,1.0
183,Zebrafish42,Motif_4,1.0
184,Zebrafish43,Motif_4,0.0
185,Zebrafish44,Motif_4,0.0
186,Zebrafish46,Motif_4,0.0
187,Zebrafish47,Motif_4,0.0
188,Zebrafish49,Motif_4,0.0
189,Zebrafish5,Motif_4,1.0
190,Zebrafish50,Motif_4,0.0
191,Zebrafish52,Motif_4,0.0
192,Zebrafish53,Motif_4,0.0
193,Zebrafish54,Motif_4,0.0
194,Zebrafish55,Motif_4,0.0
195,Zebrafish58,Motif_4,0.0
196,Zebrafish59,Motif_4,0.0
197,Zebrafish6,Motif_4,0.0
198,Zebrafish61,Motif_4,0.0
199,Zebrafish63,Motif_4,0.0
200,Zebrafish65,Motif_4,0.0
201,Zebrafish68,Motif_4,1.0
202,Zebrafish69,Motif_4,0.0
203,Zebrafish7,Motif_4,1.0
204,Zebrafish70,Motif_4,0.0
205,Zebrafish71,Motif_4,0.0
206,Zebrafish77,Motif_4,0.0
207,Zebrafish78,Motif_4,0.0
208,Zebrafish8,Motif_4,1.0
209,Zebrafish80,Motif_4,1.0
210,Zebrafish83,Motif_4,0.0
211,Zebrafish84,Motif_4,1.0
212,Zebrafish85,Motif_4,0.0
213,Zebrafish86,Motif_4,0.0
214,Zebrafish87,Motif_4,0.0
215,Zebrafish9,Motif_4,0.0
216,Zebrafish1,Motif_5,1.0
217,Zebrafish10,Motif_5,0.0
218,Zebrafish13,Motif_5,1.0
219,Zebrafish14,Motif_5,0.0
220,Zebrafish15,Motif_5,0.0
221,Zebrafish17,Motif_5,1.0
222,Zebrafish2,Motif_5,0.0
223,Zebrafish20,Motif_5,1.0
224,Zebrafish21,Motif_5,0.0
225,Zebrafish22,Motif_5,0.0
226,Zebrafish23,Motif_5,0.0
227,Zebrafish25,Motif_5,1.0
228,Zebrafish26,Motif_5,0.0
229,Zebrafish28,Motif_5,0.0
230,Zebrafish29,Motif_5,0.0
231,Zebrafish31,Motif_5,0.0
232,Zebrafish32,Motif_5,0.0
233,Zebrafish33,Motif_5,1.0
234,Zebrafish36,Motif_5,0.0
235,Zebrafish39,Motif_5,1.0
236,Zebrafish4,Motif_5,1.0
237,Zebrafish42,Motif_5,1.0
238,Zebrafish43,Motif_5,0.0
239,Zebrafish44,Motif_5,0.0
240,Zebrafish46,Motif_5,0.0
241,Zebrafish47,Motif_5,0.0
242,Zebrafish49,Motif_5,0.0
243,Zebrafish5,Motif_5,1.0
244,Zebrafish50,Motif_5,0.0
245,Zebrafish52,Motif_5,1.0
246,Zebrafish53,Motif_5,0.0
247,Zebrafish54,Motif_5,0.0
248,Zebrafish55,Motif_5,0.0
249,Zebrafish58,Motif_5,0.0
250,Zebrafish59,Motif_5,0.0
251,Zebrafish6,Motif_5,0.0
252,Zebrafish61,Motif_5,0.0
253,Zebrafish63,Motif_5,0.0
254,Zebrafish65,Motif_5,0.0
255,Zebrafish68,Motif_5,1.0
256,Zebrafish69,Motif_5,0.0
257,Zebrafish7,Motif_5,1.0
258,Zebrafish70,Motif_5,0.0
259,Zebrafish71,Motif_5,0.0
260,Zebrafish77,Motif_5,0.0
261,Zebrafish78,Motif_5,0.0
262,Zebrafish8,Motif_5,1.0
263,Zebrafish80,Motif_5,1.0
264,Zebrafish83,Motif_5,0.0
265,Zebrafish84,Motif_5,1.0
266,Zebrafish85,Motif_5,0.0
267,Zebrafish86,Motif_5,0.0
268,Zebrafish87,Motif_5,0.0
269,Zebrafish9,Motif_5,0.0
270,Zebrafish1,Motif_6,0.0
271,Zebrafish10,Motif_6,0.0
272,Zebrafish13,Motif_6,1.0
273,Zebrafish14,Motif_6,0.0
274,Zebrafish15,Motif_6,0.0
275,Zebrafish17,Motif_6,1.0
276,Zebrafish2,Motif_6,0.0
277,Zebrafish20,Motif_6,1.0
278,Zebrafish21,Motif_6,0.0
279,Zebrafish22,Motif_6,0.0
280,Zebrafish23,Motif_6,0.0
281,Zebrafish25,Motif_6,0.0
282,Zebrafish26,Motif_6,0.0
283,Zebrafish28,Motif_6,0.0
284,Zebrafish29,Motif_6,1.0
285,Zebrafish31,Motif_6,0.0
286,Zebrafish32,Motif_6,0.0
287,Zebrafish33,Motif_6,1.0
288,Zebrafish36,Motif_6,0.0
289,Zebrafish39,Motif_6,1.0
290,Zebrafish4,Motif_6,0.0
291,Zebrafish42,Motif_6,0.0
292,Zebrafish43,Motif_6,0.0
293,Zebrafish44,Motif_6,0.0
294,Zebrafish46,Motif_6,1.0
295,Zebrafish47,Motif_6,0.0
296,Zebrafish49,Motif_6,0.0
297,Zebrafish5,Motif_6,0.0
298,Zebrafish50,Motif_6,0.0
299,Zebrafish52,Motif_6,1.0
300,Zebrafish53,Motif_6,1.0
301,Zebrafish54,Motif_6,0.0
302,Zebrafish55,Motif_6,0.0
303,Zebrafish58,Motif_6,0.0
304,Zebrafish59,Motif_6,0.0
305,Zebrafish6,Motif_6,0.0
306,Zebrafish61,Motif_6,0.0
307,Zebrafish63,Motif_6,1.0
308,Zebrafish65,Motif_6,0.0
309,Zebrafish68,Motif_6,0.0
310,Zebrafish69,Motif_6,0.0
311,Zebrafish7,Motif_6,0.0
312,Zebrafish70,Motif_6,1.0
313,Zebrafish71,Motif_6,0.0
314,Zebrafish77,Motif_6,0.0
315,Zebrafish78,Motif_6,0.0
316,Zebrafish8,Motif_6,0.0
317,Zebrafish80,Motif_6,0.0
318,Zebrafish83,Motif_6,0.0
319,Zebrafish84,Motif_6,0.0
320,Zebrafish85,Motif_6,0.0
321,Zebrafish86,Motif_6,0.0
322,Zebrafish87,Motif_6,0.0
323,Zebrafish9,Motif_6,0.0
324,Zebrafish1,Motif_7,1.0
325,Zebrafish10,Motif_7,0.0
326,Zebrafish13,Motif_7,1.0
327,Zebrafish14,Motif_7,0.0
328,Zebrafish15,Motif_7,0.0
329,Zebrafish17,Motif_7,1.0
330,Zebrafish2,Motif_7,0.0
331,Zebrafish20,Motif_7,1.0
332,Zebrafish21,Motif_7,0.0
333,Zebrafish22,Motif_7,0.0
334,Zebrafish23,Motif_7,0.0
335,Zebrafish25,Motif_7,1.0
