,Cluster,Motif,Influe
0,Endothelial,Motif_1,-0.07306794
1,Epithelial,Motif_1,-0.07204377
2,Erythroid,Motif_1,0.10398809
3,Germ,Motif_1,0.17852421
4,Hepatocyte,Motif_1,-0.07306794
5,Immune,Motif_1,-0.06875069
6,Muscle,Motif_1,-0.06882565
7,Neuron,Motif_1,-0.07266216
8,Proliferating,Motif_1,-0.07306794
9,Secretory,Motif_1,-0.067244716
10,Stromal,Motif_1,-0.07232663
11,Endothelial,Motif_2,-0.56052834
12,Epithelial,Motif_2,-0.2795172
13,Erythroid,Motif_2,-0.44842264
14,Germ,Motif_2,-0.56052834
15,Hepatocyte,Motif_2,1.0475531
16,Immune,Motif_2,0.578827
17,Muscle,Motif_2,-0.48216876
18,Neuron,Motif_2,-0.55798376
19,Proliferating,Motif_2,-0.56052834
20,Secretory,Motif_2,-0.5587663
21,Stromal,Motif_2,-0.5597305
22,Endothelial,Motif_3,-0.036660563
23,Epithelial,Motif_3,0.33106375
24,Erythroid,Motif_3,1.0427585
25,Germ,Motif_3,1.8449231
26,Hepatocyte,Motif_3,-0.6464812
27,Immune,Motif_3,-0.46699268
28,Muscle,Motif_3,-0.08034396
29,Neuron,Motif_3,-0.21687299
30,Proliferating,Motif_3,-0.27245167
31,Secretory,Motif_3,0.58148366
32,Stromal,Motif_3,-0.2477651
33,Endothelial,Motif_4,-0.32406116
34,Epithelial,Motif_4,-0.15908109
35,Erythroid,Motif_4,-0.5216397
36,Germ,Motif_4,-1.7252253
37,Hepatocyte,Motif_4,0.8009862
38,Immune,Motif_4,0.2147647
39,Muscle,Motif_4,-0.038194414
40,Neuron,Motif_4,0.19147825
41,Proliferating,Motif_4,0.5223933
42,Secretory,Motif_4,-1.0726703
43,Stromal,Motif_4,-0.1841684
44,Endothelial,Motif_5,-0.7637057
45,Epithelial,Motif_5,-0.30521044
46,Erythroid,Motif_5,-0.7608588
47,Germ,Motif_5,-1.9791785
48,Hepatocyte,Motif_5,1.0050435
49,Immune,Motif_5,0.38107184
50,Muscle,Motif_5,-0.19507107
51,Neuron,Motif_5,0.021926578
52,Proliferating,Motif_5,0.3044496
53,Secretory,Motif_5,-1.3718377
54,Stromal,Motif_5,-0.41514054
55,Endothelial,Motif_6,-0.37552965
56,Epithelial,Motif_6,-0.03136488
57,Erythroid,Motif_6,-0.27565223
58,Germ,Motif_6,-0.37552965
59,Hepatocyte,Motif_6,0.061013695
60,Immune,Motif_6,0.5813316
61,Muscle,Motif_6,-0.11521219
62,Neuron,Motif_6,-0.37137902
63,Proliferating,Motif_6,-0.37552965
64,Secretory,Motif_6,-0.36692402
65,Stromal,Motif_6,-0.36300483
66,Endothelial,Motif_7,-0.85665303
67,Epithelial,Motif_7,0.09704589
68,Erythroid,Motif_7,-0.56412935
69,Germ,Motif_7,-1.719857
70,Hepatocyte,Motif_7,1.0429862
71,Immune,Motif_7,0.48000166
72,Muscle,Motif_7,-0.36629787
73,Neuron,Motif_7,-0.4822658
74,Proliferating,Motif_7,-0.16557375
75,Secretory,Motif_7,-1.1403246
76,Stromal,Motif_7,-0.43906337
77,Endothelial,Motif_8,0.27117968
78,Epithelial,Motif_8,0.6531395
79,Erythroid,Motif_8,0.7368675
80,Germ,Motif_8,1.4048377
81,Hepatocyte,Motif_8,-0.30978394
82,Immune,Motif_8,0.3887937
83,Muscle,Motif_8,-0.19159374
84,Neuron,Motif_8,-1.1546513
85,Proliferating,Motif_8,-1.2892619
86,Secretory,Motif_8,1.448662
87,Stromal,Motif_8,-0.2107529
88,Endothelial,Motif_9,-0.022065507
89,Epithelial,Motif_9,-0.022065507
90,Erythroid,Motif_9,-0.022065507
91,Germ,Motif_9,0.0014725416
92,Hepatocyte,Motif_9,-0.022065507
93,Immune,Motif_9,-0.022065507
94,Muscle,Motif_9,-0.0206862
95,Neuron,Motif_9,-0.022065507
96,Proliferating,Motif_9,-0.022065507
97,Secretory,Motif_9,-0.022065507
98,Stromal,Motif_9,-0.022065507
99,Endothelial,Motif_10,0.73804957
