Celltype,Species,Cellcluster,colors_lineage
Stromal_Mouse60,Mouse,Stromal,#BEBADA
Proliferating_Mouse89,Mouse,Proliferating,#A6761D
Stromal_Mouse46,Mouse,Stromal,#BEBADA
Erythroid_Mouse18,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse36,Mouse,Erythroid,#4DAF4A
Neuron_Mouse3,Mouse,Neuron,#D95F02
Stromal_Mouse24,Mouse,Stromal,#BEBADA
Epithelial_Mouse84,Mouse,Epithelial,#E7298A
Hepatocyte_Mouse90,Mouse,Hepatocyte,#984EA3
Endothelial_Mouse50,Mouse,Endothelial,#E41A1C
Stromal_Mouse21,Mouse,Stromal,#BEBADA
Stromal_Mouse52,Mouse,Stromal,#BEBADA
Epithelial_Mouse73,Mouse,Epithelial,#E7298A
Secretory_Mouse82,Mouse,Secretory,#E6AB02
Neuron_Mouse12,Mouse,Neuron,#D95F02
Neuron_Mouse74,Mouse,Neuron,#D95F02
Epithelial_Mouse25,Mouse,Epithelial,#E7298A
Muscle_Mouse40,Mouse,Muscle,#66A61E
Proliferating_Mouse14,Mouse,Proliferating,#A6761D
Immune_Mouse22,Mouse,Immune,#1B9E77
Erythroid_Mouse16,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse44,Mouse,Erythroid,#4DAF4A
Proliferating_Mouse8,Mouse,Proliferating,#A6761D
Erythroid_Mouse45,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse32,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse35,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse9,Mouse,Erythroid,#4DAF4A
Immune_Mouse26,Mouse,Immune,#1B9E77
Immune_Mouse39,Mouse,Immune,#1B9E77
Hepatocyte_Mouse55,Mouse,Hepatocyte,#984EA3
Immune_Mouse62,Mouse,Immune,#1B9E77
Immune_Mouse31,Mouse,Immune,#1B9E77
Immune_Mouse47,Mouse,Immune,#1B9E77
Immune_Mouse7,Mouse,Immune,#1B9E77
Hepatocyte_Mouse77,Mouse,Hepatocyte,#984EA3
Immune_Mouse19,Mouse,Immune,#1B9E77
Immune_Mouse57,Mouse,Immune,#1B9E77
Immune_Mouse61,Mouse,Immune,#1B9E77
Immune_Mouse56,Mouse,Immune,#1B9E77
Immune_Mouse51,Mouse,Immune,#1B9E77
Secretory_Mouse70,Mouse,Secretory,#E6AB02
Muscle_Mouse98,Mouse,Muscle,#66A61E
Epithelial_Mouse78,Mouse,Epithelial,#E7298A
Epithelial_Mouse83,Mouse,Epithelial,#E7298A
Stromal_Mouse34,Mouse,Stromal,#BEBADA
Endothelial_Mouse48,Mouse,Endothelial,#E41A1C
Epithelial_Mouse58,Mouse,Epithelial,#E7298A
Secretory_Mouse95,Mouse,Secretory,#E6AB02
Stromal_Mouse27,Mouse,Stromal,#BEBADA
Stromal_Mouse63,Mouse,Stromal,#BEBADA
Secretory_Mouse92,Mouse,Secretory,#E6AB02
Epithelial_Mouse43,Mouse,Epithelial,#E7298A
Hepatocyte_Mouse69,Mouse,Hepatocyte,#984EA3
Epithelial_Mouse17,Mouse,Epithelial,#E7298A
Germ_Mouse15,Mouse,Germ,lightblue
Erythroid_Mouse71,Mouse,Erythroid,#4DAF4A
Epithelial_Mouse4,Mouse,Epithelial,#E7298A
Erythroid_Mouse41,Mouse,Erythroid,#4DAF4A
Stromal_Mouse38,Mouse,Stromal,#BEBADA
Stromal_Mouse1,Mouse,Stromal,#BEBADA
Stromal_Mouse2,Mouse,Stromal,#BEBADA
Epithelial_Mouse72,Mouse,Epithelial,#E7298A
Epithelial_Mouse88,Mouse,Epithelial,#E7298A
Epithelial_Mouse80,Mouse,Epithelial,#E7298A
Epithelial_Mouse87,Mouse,Epithelial,#E7298A
Immune_Mouse85,Mouse,Immune,#1B9E77
Immune_Mouse28,Mouse,Immune,#1B9E77
Proliferating_Mouse10,Mouse,Proliferating,#A6761D
Erythroid_Mouse29,Mouse,Erythroid,#4DAF4A
Immune_Mouse33,Mouse,Immune,#1B9E77
Immune_Mouse23,Mouse,Immune,#1B9E77
Immune_Mouse65,Mouse,Immune,#1B9E77
Epithelial_Mouse96,Mouse,Epithelial,#E7298A
Muscle_Mouse75,Mouse,Muscle,#66A61E
Neuron_Mouse54,Mouse,Neuron,#D95F02
Immune_Mouse37,Mouse,Immune,#1B9E77
Immune_Mouse86,Mouse,Immune,#1B9E77
Immune_Mouse76,Mouse,Immune,#1B9E77
Epithelial_Mouse13,Mouse,Epithelial,#E7298A
Hepatocyte_Mouse64,Mouse,Hepatocyte,#984EA3
Epithelial_Mouse79,Mouse,Epithelial,#E7298A
Secretory_Mouse59,Mouse,Secretory,#E6AB02
