,Celltype,Motif,Influe
0,Endothelial_Mouse48,Motif_1,0.99950707
1,Endothelial_Mouse50,Motif_1,0.21595404
2,Epithelial_Mouse13,Motif_1,0.9924792
3,Epithelial_Mouse17,Motif_1,-1.1149907
4,Epithelial_Mouse25,Motif_1,0.36055744
5,Epithelial_Mouse4,Motif_1,-1.0976251
6,Epithelial_Mouse43,Motif_1,1.2821583
7,Epithelial_Mouse58,Motif_1,1.6065522
8,Epithelial_Mouse72,Motif_1,-0.5727278
9,Epithelial_Mouse73,Motif_1,1.03852
10,Epithelial_Mouse78,Motif_1,1.9486191
11,Epithelial_Mouse79,Motif_1,-0.50737375
12,Epithelial_Mouse80,Motif_1,1.1407578
13,Epithelial_Mouse83,Motif_1,0.90413624
14,Epithelial_Mouse84,Motif_1,-0.5086094
15,Epithelial_Mouse87,Motif_1,0.21827292
16,Epithelial_Mouse88,Motif_1,-0.759599
17,Epithelial_Mouse96,Motif_1,-0.32451823
18,Erythroid_Mouse16,Motif_1,-0.10491273
19,Erythroid_Mouse18,Motif_1,-0.523674
20,Erythroid_Mouse29,Motif_1,0.5457478
21,Erythroid_Mouse32,Motif_1,-0.79961044
22,Erythroid_Mouse35,Motif_1,-1.4794695
23,Erythroid_Mouse36,Motif_1,-0.99750215
24,Erythroid_Mouse41,Motif_1,-1.2628564
25,Erythroid_Mouse44,Motif_1,-1.042682
26,Erythroid_Mouse45,Motif_1,-1.059377
27,Erythroid_Mouse71,Motif_1,-1.2716764
28,Erythroid_Mouse9,Motif_1,-1.5210483
29,Germ_Mouse15,Motif_1,-0.5826615
30,Hepatocyte_Mouse55,Motif_1,1.5807195
31,Hepatocyte_Mouse64,Motif_1,-0.383165
32,Hepatocyte_Mouse69,Motif_1,0.45622492
33,Hepatocyte_Mouse77,Motif_1,-0.74160945
34,Hepatocyte_Mouse90,Motif_1,-0.13754801
35,Immune_Mouse11,Motif_1,0.86662626
36,Immune_Mouse19,Motif_1,0.9287682
37,Immune_Mouse22,Motif_1,0.16190912
38,Immune_Mouse23,Motif_1,1.3935106
39,Immune_Mouse26,Motif_1,1.4084674
40,Immune_Mouse28,Motif_1,-0.75177383
41,Immune_Mouse31,Motif_1,1.2412182
42,Immune_Mouse33,Motif_1,1.4108884
43,Immune_Mouse37,Motif_1,0.19863245
44,Immune_Mouse39,Motif_1,1.4179219
45,Immune_Mouse47,Motif_1,0.32016364
46,Immune_Mouse51,Motif_1,-0.40782967
47,Immune_Mouse56,Motif_1,0.0055017634
48,Immune_Mouse57,Motif_1,0.95376945
49,Immune_Mouse61,Motif_1,1.3503723
50,Immune_Mouse62,Motif_1,1.6625444
51,Immune_Mouse65,Motif_1,0.68624264
52,Immune_Mouse7,Motif_1,-0.15880902
53,Immune_Mouse76,Motif_1,0.9096996
54,Immune_Mouse85,Motif_1,0.77651834
55,Immune_Mouse86,Motif_1,0.6929871
56,Muscle_Mouse40,Motif_1,0.0028463742
57,Muscle_Mouse75,Motif_1,-0.24033573
58,Muscle_Mouse98,Motif_1,0.71306705
59,Neuron_Mouse12,Motif_1,-0.74367607
60,Neuron_Mouse3,Motif_1,-0.55149084
61,Neuron_Mouse54,Motif_1,0.31062016
62,Neuron_Mouse74,Motif_1,-0.51955885
63,Proliferating_Mouse10,Motif_1,-0.37157944
64,Proliferating_Mouse14,Motif_1,-0.017015295
65,Proliferating_Mouse8,Motif_1,-0.08359128
66,Proliferating_Mouse89,Motif_1,-1.0517702
67,Secretory_Mouse59,Motif_1,-0.07749709
68,Secretory_Mouse70,Motif_1,0.20034327
69,Secretory_Mouse82,Motif_1,0.5318761
70,Secretory_Mouse92,Motif_1,1.8687848
71,Secretory_Mouse95,Motif_1,1.25845
72,Stromal_Mouse1,Motif_1,-0.11275283
73,Stromal_Mouse2,Motif_1,-0.4900947
74,Stromal_Mouse21,Motif_1,0.05474972
75,Stromal_Mouse24,Motif_1,-0.5388318
76,Stromal_Mouse27,Motif_1,0.49647865
77,Stromal_Mouse34,Motif_1,1.2147495
78,Stromal_Mouse38,Motif_1,-0.084262885
79,Stromal_Mouse46,Motif_1,-0.1342095
80,Stromal_Mouse52,Motif_1,-0.04233648
81,Stromal_Mouse60,Motif_1,-0.82624567
82,Stromal_Mouse63,Motif_1,0.78352785
83,Stromal_Mouse66,Motif_1,0.11809849
84,Endothelial_Mouse48,Motif_2,0.5402207
85,Endothelial_Mouse50,Motif_2,0.821973
86,Epithelial_Mouse13,Motif_2,-0.28714567
87,Epithelial_Mouse17,Motif_2,0.15241657
88,Epithelial_Mouse25,Motif_2,1.0083412
89,Epithelial_Mouse4,Motif_2,-0.45169953
90,Epithelial_Mouse43,Motif_2,-0.6651749
91,Epithelial_Mouse58,Motif_2,0.6501186
92,Epithelial_Mouse72,Motif_2,0.32080653
93,Epithelial_Mouse73,Motif_2,1.67169
94,Epithelial_Mouse78,Motif_2,1.1952553
95,Epithelial_Mouse79,Motif_2,-1.1372951
96,Epithelial_Mouse80,Motif_2,0.4810364
97,Epithelial_Mouse83,Motif_2,-0.028821094
98,Epithelial_Mouse84,Motif_2,0.81472
99,Epithelial_Mouse87,Motif_2,0.9395372
100,Epithelial_Mouse88,Motif_2,0.3792625
101,Epithelial_Mouse96,Motif_2,0.11986528
102,Erythroid_Mouse16,Motif_2,-0.55448073
103,Erythroid_Mouse18,Motif_2,0.92181045
104,Erythroid_Mouse29,Motif_2,0.3552742
105,Erythroid_Mouse32,Motif_2,-0.48186344
106,Erythroid_Mouse35,Motif_2,-1.3482735
107,Erythroid_Mouse36,Motif_2,0.9886917
108,Erythroid_Mouse41,Motif_2,-0.20068981
109,Erythroid_Mouse44,Motif_2,-1.6108736
110,Erythroid_Mouse45,Motif_2,-1.1545376
111,Erythroid_Mouse71,Motif_2,-0.74892336
112,Erythroid_Mouse9,Motif_2,-1.3086482
113,Germ_Mouse15,Motif_2,0.43179533
114,Hepatocyte_Mouse55,Motif_2,-1.3794541
115,Hepatocyte_Mouse64,Motif_2,0.0066292407
116,Hepatocyte_Mouse69,Motif_2,-1.2609757
117,Hepatocyte_Mouse77,Motif_2,-1.1436961
118,Hepatocyte_Mouse90,Motif_2,1.4673376
119,Immune_Mouse11,Motif_2,-0.05931477
120,Immune_Mouse19,Motif_2,-0.3307806
121,Immune_Mouse22,Motif_2,-0.47394225
122,Immune_Mouse23,Motif_2,0.73420095
123,Immune_Mouse26,Motif_2,-0.75809646
124,Immune_Mouse28,Motif_2,0.07666026
125,Immune_Mouse31,Motif_2,-0.40042558
126,Immune_Mouse33,Motif_2,-0.08228495
127,Immune_Mouse37,Motif_2,-0.3636961
128,Immune_Mouse39,Motif_2,-0.48242304
129,Immune_Mouse47,Motif_2,-0.4075443
130,Immune_Mouse51,Motif_2,-1.8440986
131,Immune_Mouse56,Motif_2,-1.7618773
132,Immune_Mouse57,Motif_2,-1.3245926
133,Immune_Mouse61,Motif_2,-0.78957415
134,Immune_Mouse62,Motif_2,-0.8765969
135,Immune_Mouse65,Motif_2,-0.020113107
136,Immune_Mouse7,Motif_2,-1.6144136
137,Immune_Mouse76,Motif_2,-0.03030437
138,Immune_Mouse85,Motif_2,0.35743842
139,Immune_Mouse86,Motif_2,0.849168
140,Muscle_Mouse40,Motif_2,1.0087585
141,Muscle_Mouse75,Motif_2,-1.0340754
142,Muscle_Mouse98,Motif_2,1.052208
143,Neuron_Mouse12,Motif_2,1.3018467
144,Neuron_Mouse3,Motif_2,1.1387594
145,Neuron_Mouse54,Motif_2,0.97059274
146,Neuron_Mouse74,Motif_2,1.2408655
147,Proliferating_Mouse10,Motif_2,-0.37852806
148,Proliferating_Mouse14,Motif_2,-1.5807133
149,Proliferating_Mouse8,Motif_2,-0.96888983
150,Proliferating_Mouse89,Motif_2,0.7990445
151,Secretory_Mouse59,Motif_2,0.07291237
152,Secretory_Mouse70,Motif_2,-1.681912
153,Secretory_Mouse82,Motif_2,1.000418
154,Secretory_Mouse92,Motif_2,-0.1105458
155,Secretory_Mouse95,Motif_2,0.59060323
156,Stromal_Mouse1,Motif_2,0.7854168
157,Stromal_Mouse2,Motif_2,0.4961985
158,Stromal_Mouse21,Motif_2,1.1737106
159,Stromal_Mouse24,Motif_2,1.1144377
160,Stromal_Mouse27,Motif_2,-0.19455217
161,Stromal_Mouse34,Motif_2,0.58493173
162,Stromal_Mouse38,Motif_2,0.37463668
163,Stromal_Mouse46,Motif_2,1.1009084
164,Stromal_Mouse52,Motif_2,1.5108554
165,Stromal_Mouse60,Motif_2,1.70963
166,Stromal_Mouse63,Motif_2,-0.2831141
167,Stromal_Mouse66,Motif_2,0.3991088
168,Endothelial_Mouse48,Motif_4,0.89663124
169,Endothelial_Mouse50,Motif_4,0.8416562
170,Epithelial_Mouse13,Motif_4,0.7688243
171,Epithelial_Mouse17,Motif_4,-0.26561025
172,Epithelial_Mouse25,Motif_4,0.96121454
173,Epithelial_Mouse4,Motif_4,-1.0799117
174,Epithelial_Mouse43,Motif_4,0.47566533
175,Epithelial_Mouse58,Motif_4,1.332538
176,Epithelial_Mouse72,Motif_4,0.37846535
177,Epithelial_Mouse73,Motif_4,1.5667801
178,Epithelial_Mouse78,Motif_4,1.6153945
179,Epithelial_Mouse79,Motif_4,-1.0864539
180,Epithelial_Mouse80,Motif_4,1.4069544
181,Epithelial_Mouse83,Motif_4,0.9334439
182,Epithelial_Mouse84,Motif_4,0.6258255
183,Epithelial_Mouse87,Motif_4,0.4912541
184,Epithelial_Mouse88,Motif_4,0.1430833
185,Epithelial_Mouse96,Motif_4,0.13139543
186,Erythroid_Mouse16,Motif_4,-0.68616253
187,Erythroid_Mouse18,Motif_4,0.48701948
188,Erythroid_Mouse29,Motif_4,0.62637705
189,Erythroid_Mouse32,Motif_4,-0.8764774
190,Erythroid_Mouse35,Motif_4,-1.9415134
191,Erythroid_Mouse36,Motif_4,0.30757645
192,Erythroid_Mouse41,Motif_4,-0.686714
193,Erythroid_Mouse44,Motif_4,-1.7560238
194,Erythroid_Mouse45,Motif_4,-1.3194715
195,Erythroid_Mouse71,Motif_4,-1.2464117
196,Erythroid_Mouse9,Motif_4,-1.944321
197,Germ_Mouse15,Motif_4,0.31744736
198,Hepatocyte_Mouse55,Motif_4,0.38391927
199,Hepatocyte_Mouse64,Motif_4,0.18939401
200,Hepatocyte_Mouse69,Motif_4,0.010754255
201,Hepatocyte_Mouse77,Motif_4,-1.3942639
202,Hepatocyte_Mouse90,Motif_4,0.8823821
203,Immune_Mouse11,Motif_4,0.28700614
204,Immune_Mouse19,Motif_4,0.30150756
205,Immune_Mouse22,Motif_4,-0.41695458
206,Immune_Mouse23,Motif_4,1.2986436
207,Immune_Mouse26,Motif_4,0.4695348
208,Immune_Mouse28,Motif_4,-0.47474617
209,Immune_Mouse31,Motif_4,0.61656547
210,Immune_Mouse33,Motif_4,0.7310198
211,Immune_Mouse37,Motif_4,0.13585019
212,Immune_Mouse39,Motif_4,0.14533402
213,Immune_Mouse47,Motif_4,-0.30433637
214,Immune_Mouse51,Motif_4,-1.9869859
215,Immune_Mouse56,Motif_4,-1.790037
216,Immune_Mouse57,Motif_4,-0.74292946
217,Immune_Mouse61,Motif_4,0.009796864
218,Immune_Mouse62,Motif_4,0.2381595
219,Immune_Mouse65,Motif_4,0.45169595
220,Immune_Mouse7,Motif_4,-1.6426142
221,Immune_Mouse76,Motif_4,0.7288719
222,Immune_Mouse85,Motif_4,0.7231475
223,Immune_Mouse86,Motif_4,1.0700221
224,Muscle_Mouse40,Motif_4,0.9565514
225,Muscle_Mouse75,Motif_4,-0.47532088
226,Muscle_Mouse98,Motif_4,0.9666382
227,Neuron_Mouse12,Motif_4,0.46804118
228,Neuron_Mouse3,Motif_4,0.7362107
229,Neuron_Mouse54,Motif_4,0.7431788
230,Neuron_Mouse74,Motif_4,0.6562657
231,Proliferating_Mouse10,Motif_4,-0.33962682
232,Proliferating_Mouse14,Motif_4,-0.86802727
233,Proliferating_Mouse8,Motif_4,-0.6956345
234,Proliferating_Mouse89,Motif_4,0.24395879
235,Secretory_Mouse59,Motif_4,0.52586806
236,Secretory_Mouse70,Motif_4,-1.3243911
237,Secretory_Mouse82,Motif_4,1.013183
238,Secretory_Mouse92,Motif_4,1.4504951
239,Secretory_Mouse95,Motif_4,1.2803706
240,Stromal_Mouse1,Motif_4,0.38994485
241,Stromal_Mouse2,Motif_4,0.12045889
242,Stromal_Mouse21,Motif_4,0.63475853
243,Stromal_Mouse24,Motif_4,0.53812546
244,Stromal_Mouse27,Motif_4,0.71726906
245,Stromal_Mouse34,Motif_4,0.9921071
246,Stromal_Mouse38,Motif_4,0.54264015
247,Stromal_Mouse46,Motif_4,0.6630768
248,Stromal_Mouse52,Motif_4,0.6418383
249,Stromal_Mouse60,Motif_4,0.15964381
250,Stromal_Mouse63,Motif_4,0.6783684
251,Stromal_Mouse66,Motif_4,0.57311213
252,Endothelial_Mouse48,Motif_5,-0.9705261
253,Endothelial_Mouse50,Motif_5,-0.90272754
254,Epithelial_Mouse13,Motif_5,-0.13250776
255,Epithelial_Mouse17,Motif_5,0.3560474
256,Epithelial_Mouse25,Motif_5,-1.0255659
257,Epithelial_Mouse4,Motif_5,0.751759
258,Epithelial_Mouse43,Motif_5,0.2574096
259,Epithelial_Mouse58,Motif_5,-1.2352326
260,Epithelial_Mouse72,Motif_5,-0.07153827
261,Epithelial_Mouse73,Motif_5,-1.7865065
262,Epithelial_Mouse78,Motif_5,-1.7964461
263,Epithelial_Mouse79,Motif_5,0.83323413
264,Epithelial_Mouse80,Motif_5,-0.94031364
265,Epithelial_Mouse83,Motif_5,-0.3378074
266,Epithelial_Mouse84,Motif_5,-0.5427742
267,Epithelial_Mouse87,Motif_5,-1.0027883
268,Epithelial_Mouse88,Motif_5,-0.09284721
269,Epithelial_Mouse96,Motif_5,-0.13660616
270,Erythroid_Mouse16,Motif_5,0.90986747
271,Erythroid_Mouse18,Motif_5,-0.46704534
272,Erythroid_Mouse29,Motif_5,-0.30690274
273,Erythroid_Mouse32,Motif_5,0.8862447
274,Erythroid_Mouse35,Motif_5,1.4033996
275,Erythroid_Mouse36,Motif_5,-0.4949592
276,Erythroid_Mouse41,Motif_5,0.69286233
277,Erythroid_Mouse44,Motif_5,1.4434406
278,Erythroid_Mouse45,Motif_5,1.0653116
279,Erythroid_Mouse71,Motif_5,1.0688196
280,Erythroid_Mouse9,Motif_5,1.4456582
281,Germ_Mouse15,Motif_5,0.07604894
282,Hepatocyte_Mouse55,Motif_5,0.48077747
283,Hepatocyte_Mouse64,Motif_5,0.15082265
284,Hepatocyte_Mouse69,Motif_5,0.91945547
285,Hepatocyte_Mouse77,Motif_5,1.1662809
286,Hepatocyte_Mouse90,Motif_5,-1.1482399
287,Immune_Mouse11,Motif_5,-0.072657466
288,Immune_Mouse19,Motif_5,0.18460229
289,Immune_Mouse22,Motif_5,0.49477455
290,Immune_Mouse23,Motif_5,-0.94001323
291,Immune_Mouse26,Motif_5,0.3122245
292,Immune_Mouse28,Motif_5,0.2952203
293,Immune_Mouse31,Motif_5,0.0945148
294,Immune_Mouse33,Motif_5,-0.23000377
295,Immune_Mouse37,Motif_5,0.31255618
296,Immune_Mouse39,Motif_5,-0.04786897
297,Immune_Mouse47,Motif_5,0.37471163
298,Immune_Mouse51,Motif_5,1.3425152
299,Immune_Mouse56,Motif_5,1.1144413
300,Immune_Mouse57,Motif_5,0.69728076
301,Immune_Mouse61,Motif_5,0.32302088
302,Immune_Mouse62,Motif_5,0.32647023
303,Immune_Mouse65,Motif_5,-0.010084242
304,Immune_Mouse7,Motif_5,1.1133679
305,Immune_Mouse76,Motif_5,-0.2564238
306,Immune_Mouse85,Motif_5,-0.5733514
307,Immune_Mouse86,Motif_5,-0.833899
308,Muscle_Mouse40,Motif_5,-0.91826963
309,Muscle_Mouse75,Motif_5,0.61409605
310,Muscle_Mouse98,Motif_5,-1.3128985
311,Neuron_Mouse12,Motif_5,-0.9385657
312,Neuron_Mouse3,Motif_5,-0.7483637
313,Neuron_Mouse54,Motif_5,-0.9203398
314,Neuron_Mouse74,Motif_5,-1.0603917
315,Proliferating_Mouse10,Motif_5,0.5596024
316,Proliferating_Mouse14,Motif_5,1.2055067
317,Proliferating_Mouse8,Motif_5,0.878137
318,Proliferating_Mouse89,Motif_5,-0.20797408
319,Secretory_Mouse59,Motif_5,0.032074474
320,Secretory_Mouse70,Motif_5,1.1578412
321,Secretory_Mouse82,Motif_5,-1.2157317
322,Secretory_Mouse92,Motif_5,-0.70731187
323,Secretory_Mouse95,Motif_5,-1.1678251
324,Stromal_Mouse1,Motif_5,-0.52889854
325,Stromal_Mouse2,Motif_5,-0.1701343
326,Stromal_Mouse21,Motif_5,-1.1376224
327,Stromal_Mouse24,Motif_5,-0.6920651
328,Stromal_Mouse27,Motif_5,-0.00466989
329,Stromal_Mouse34,Motif_5,-0.955482
330,Stromal_Mouse38,Motif_5,-0.31337112
331,Stromal_Mouse46,Motif_5,-0.8651744
332,Stromal_Mouse52,Motif_5,-1.571311
333,Stromal_Mouse60,Motif_5,-1.4819633
334,Stromal_Mouse63,Motif_5,0.056590084
335,Stromal_Mouse66,Motif_5,-0.23303556
336,Endothelial_Mouse48,Motif_6,-0.776
337,Endothelial_Mouse50,Motif_6,-0.888684
338,Epithelial_Mouse13,Motif_6,0.3685616
339,Epithelial_Mouse17,Motif_6,-0.026216038
340,Epithelial_Mouse25,Motif_6,-0.90393
341,Epithelial_Mouse4,Motif_6,0.58123344
342,Epithelial_Mouse43,Motif_6,0.84696114
343,Epithelial_Mouse58,Motif_6,-0.792981
344,Epithelial_Mouse72,Motif_6,-0.21118696
345,Epithelial_Mouse73,Motif_6,-1.7471125
346,Epithelial_Mouse78,Motif_6,-1.154404
347,Epithelial_Mouse79,Motif_6,0.6982563
348,Epithelial_Mouse80,Motif_6,-0.46100372
349,Epithelial_Mouse83,Motif_6,0.031068375
350,Epithelial_Mouse84,Motif_6,-0.80555624
351,Epithelial_Mouse87,Motif_6,-1.2789036
352,Epithelial_Mouse88,Motif_6,-0.50439227
353,Epithelial_Mouse96,Motif_6,-0.5500367
