,Celltype,Motif,Influe
0,Endothelial_Mouse48,Motif_1,1.0
1,Epithelial_Mouse25,Motif_1,0.0
2,Epithelial_Mouse4,Motif_1,0.0
3,Epithelial_Mouse43,Motif_1,1.0
4,Epithelial_Mouse58,Motif_1,1.0
5,Epithelial_Mouse73,Motif_1,1.0
6,Epithelial_Mouse78,Motif_1,1.0
7,Epithelial_Mouse79,Motif_1,0.0
8,Epithelial_Mouse80,Motif_1,1.0
9,Epithelial_Mouse87,Motif_1,0.0
10,Erythroid_Mouse16,Motif_1,0.0
11,Erythroid_Mouse35,Motif_1,0.0
12,Erythroid_Mouse44,Motif_1,0.0
13,Erythroid_Mouse45,Motif_1,0.0
14,Erythroid_Mouse71,Motif_1,0.0
15,Erythroid_Mouse9,Motif_1,0.0
16,Hepatocyte_Mouse55,Motif_1,1.0
17,Hepatocyte_Mouse69,Motif_1,0.0
18,Hepatocyte_Mouse77,Motif_1,0.0
19,Hepatocyte_Mouse90,Motif_1,0.0
20,Immune_Mouse23,Motif_1,1.0
21,Immune_Mouse26,Motif_1,1.0
22,Immune_Mouse51,Motif_1,0.0
23,Immune_Mouse56,Motif_1,0.0
24,Immune_Mouse57,Motif_1,0.0
25,Immune_Mouse61,Motif_1,1.0
26,Immune_Mouse62,Motif_1,1.0
27,Immune_Mouse7,Motif_1,0.0
28,Immune_Mouse86,Motif_1,0.0
29,Muscle_Mouse40,Motif_1,0.0
30,Muscle_Mouse75,Motif_1,0.0
31,Muscle_Mouse98,Motif_1,0.0
32,Neuron_Mouse12,Motif_1,0.0
33,Neuron_Mouse3,Motif_1,0.0
34,Neuron_Mouse54,Motif_1,0.0
35,Neuron_Mouse74,Motif_1,0.0
36,Proliferating_Mouse14,Motif_1,0.0
37,Proliferating_Mouse8,Motif_1,0.0
38,Secretory_Mouse70,Motif_1,0.0
39,Secretory_Mouse82,Motif_1,0.0
40,Secretory_Mouse92,Motif_1,1.0
41,Secretory_Mouse95,Motif_1,1.0
42,Stromal_Mouse21,Motif_1,0.0
43,Stromal_Mouse24,Motif_1,0.0
44,Stromal_Mouse34,Motif_1,1.0
45,Stromal_Mouse46,Motif_1,0.0
46,Stromal_Mouse52,Motif_1,0.0
47,Stromal_Mouse60,Motif_1,0.0
48,Endothelial_Mouse48,Motif_2,0.0
49,Epithelial_Mouse25,Motif_2,1.0
50,Epithelial_Mouse4,Motif_2,0.0
51,Epithelial_Mouse43,Motif_2,0.0
52,Epithelial_Mouse58,Motif_2,0.0
53,Epithelial_Mouse73,Motif_2,1.0
54,Epithelial_Mouse78,Motif_2,1.0
55,Epithelial_Mouse79,Motif_2,0.0
56,Epithelial_Mouse80,Motif_2,0.0
57,Epithelial_Mouse87,Motif_2,0.0
58,Erythroid_Mouse16,Motif_2,0.0
59,Erythroid_Mouse35,Motif_2,0.0
60,Erythroid_Mouse44,Motif_2,0.0
61,Erythroid_Mouse45,Motif_2,0.0
62,Erythroid_Mouse71,Motif_2,0.0
63,Erythroid_Mouse9,Motif_2,0.0
64,Hepatocyte_Mouse55,Motif_2,0.0
65,Hepatocyte_Mouse69,Motif_2,0.0
66,Hepatocyte_Mouse77,Motif_2,0.0
67,Hepatocyte_Mouse90,Motif_2,1.0
68,Immune_Mouse23,Motif_2,0.0
69,Immune_Mouse26,Motif_2,0.0
70,Immune_Mouse51,Motif_2,0.0
71,Immune_Mouse56,Motif_2,0.0
72,Immune_Mouse57,Motif_2,0.0
73,Immune_Mouse61,Motif_2,0.0
74,Immune_Mouse62,Motif_2,0.0
75,Immune_Mouse7,Motif_2,0.0
76,Immune_Mouse86,Motif_2,0.0
77,Muscle_Mouse40,Motif_2,1.0
78,Muscle_Mouse75,Motif_2,0.0
79,Muscle_Mouse98,Motif_2,1.0
80,Neuron_Mouse12,Motif_2,1.0
81,Neuron_Mouse3,Motif_2,1.0
82,Neuron_Mouse54,Motif_2,1.0
83,Neuron_Mouse74,Motif_2,1.0
84,Proliferating_Mouse14,Motif_2,0.0
85,Proliferating_Mouse8,Motif_2,0.0
86,Secretory_Mouse70,Motif_2,0.0
87,Secretory_Mouse82,Motif_2,1.0
88,Secretory_Mouse92,Motif_2,0.0
89,Secretory_Mouse95,Motif_2,0.0
90,Stromal_Mouse21,Motif_2,1.0
91,Stromal_Mouse24,Motif_2,1.0
92,Stromal_Mouse34,Motif_2,0.0
93,Stromal_Mouse46,Motif_2,1.0
94,Stromal_Mouse52,Motif_2,1.0
95,Stromal_Mouse60,Motif_2,1.0
96,Endothelial_Mouse48,Motif_4,1.0
97,Epithelial_Mouse25,Motif_4,1.0
98,Epithelial_Mouse4,Motif_4,0.0
99,Epithelial_Mouse43,Motif_4,0.0
100,Epithelial_Mouse58,Motif_4,1.0
101,Epithelial_Mouse73,Motif_4,1.0
102,Epithelial_Mouse78,Motif_4,1.0
103,Epithelial_Mouse79,Motif_4,0.0
104,Epithelial_Mouse80,Motif_4,1.0
