Celltype,Species,Cellcluster,colors_lineage
Erythroid_Mouse16,Mouse,Erythroid,#4DAF4A
Epithelial_Mouse4,Mouse,Epithelial,#E7298A
Proliferating_Mouse14,Mouse,Proliferating,#A6761D
Proliferating_Mouse8,Mouse,Proliferating,#A6761D
Erythroid_Mouse71,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse35,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse45,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse44,Mouse,Erythroid,#4DAF4A
Erythroid_Mouse9,Mouse,Erythroid,#4DAF4A
Epithelial_Mouse79,Mouse,Epithelial,#E7298A
Hepatocyte_Mouse77,Mouse,Hepatocyte,#984EA3
Immune_Mouse56,Mouse,Immune,#1B9E77
Secretory_Mouse70,Mouse,Secretory,#E6AB02
Immune_Mouse51,Mouse,Immune,#1B9E77
Immune_Mouse7,Mouse,Immune,#1B9E77
Muscle_Mouse75,Mouse,Muscle,#66A61E
Hepatocyte_Mouse69,Mouse,Hepatocyte,#984EA3
Immune_Mouse57,Mouse,Immune,#1B9E77
Epithelial_Mouse87,Mouse,Epithelial,#E7298A
Epithelial_Mouse78,Mouse,Epithelial,#E7298A
Muscle_Mouse40,Mouse,Muscle,#66A61E
Secretory_Mouse82,Mouse,Secretory,#E6AB02
Neuron_Mouse74,Mouse,Neuron,#D95F02
Stromal_Mouse21,Mouse,Stromal,#BEBADA
Stromal_Mouse60,Mouse,Stromal,#BEBADA
Epithelial_Mouse73,Mouse,Epithelial,#E7298A
Muscle_Mouse98,Mouse,Muscle,#66A61E
Stromal_Mouse52,Mouse,Stromal,#BEBADA
Epithelial_Mouse25,Mouse,Epithelial,#E7298A
Hepatocyte_Mouse90,Mouse,Hepatocyte,#984EA3
Neuron_Mouse54,Mouse,Neuron,#D95F02
Neuron_Mouse12,Mouse,Neuron,#D95F02
Stromal_Mouse46,Mouse,Stromal,#BEBADA
Neuron_Mouse3,Mouse,Neuron,#D95F02
Stromal_Mouse24,Mouse,Stromal,#BEBADA
Secretory_Mouse92,Mouse,Secretory,#E6AB02
Hepatocyte_Mouse55,Mouse,Hepatocyte,#984EA3
Epithelial_Mouse43,Mouse,Epithelial,#E7298A
Immune_Mouse61,Mouse,Immune,#1B9E77
Immune_Mouse26,Mouse,Immune,#1B9E77
Immune_Mouse62,Mouse,Immune,#1B9E77
Epithelial_Mouse80,Mouse,Epithelial,#E7298A
Endothelial_Mouse48,Mouse,Endothelial,#E41A1C
Secretory_Mouse95,Mouse,Secretory,#E6AB02
Epithelial_Mouse58,Mouse,Epithelial,#E7298A
Stromal_Mouse34,Mouse,Stromal,#BEBADA
Immune_Mouse23,Mouse,Immune,#1B9E77
Immune_Mouse86,Mouse,Immune,#1B9E77
