,Cluster,Motif,Influe
0,Endothelial,Motif_1,0.6187665
1,Epithelial,Motif_1,0.007528257
2,Erythroid,Motif_1,-0.8150726
3,Germ,Motif_1,-0.5826615
4,Hepatocyte,Motif_1,0.34751964
5,Immune,Motif_1,0.6706621
6,Muscle,Motif_1,-0.05970378
7,Neuron,Motif_1,-0.5147471
8,Proliferating,Motif_1,-0.18635923
9,Secretory,Motif_1,0.33313355
10,Stromal,Motif_1,-0.05499031
11,Endothelial,Motif_2,0.6771285
12,Epithelial,Motif_2,0.074463256
13,Erythroid,Motif_2,-0.44250533
14,Germ,Motif_2,0.43179533
15,Hepatocyte,Motif_2,-0.77342176
16,Immune,Motif_2,-0.51768726
17,Muscle,Motif_2,0.32894632
18,Neuron,Motif_2,1.1747283
19,Proliferating,Motif_2,-0.9007674
20,Secretory,Motif_2,-0.2400698
21,Stromal,Motif_2,0.70093566
22,Endothelial,Motif_4,0.86991805
23,Epithelial,Motif_4,0.162422
24,Erythroid,Motif_4,-0.80390817
25,Germ,Motif_4,0.31744736
26,Hepatocyte,Motif_4,0.005286852
27,Immune,Motif_4,-0.09430647
28,Muscle,Motif_4,0.4795235
29,Neuron,Motif_4,0.6546547
30,Proliferating,Motif_4,-0.6012996
31,Secretory,Motif_4,0.20192508
32,Stromal,Motif_4,0.46951175
33,Endothelial,Motif_5,-0.9375817
34,Epithelial,Motif_5,-0.08306126
35,Erythroid,Motif_5,0.6821481
36,Germ,Motif_5,0.07604894
37,Hepatocyte,Motif_5,0.4959138
38,Immune,Motif_5,0.2610454
39,Muscle,Motif_5,-0.41776633
40,Neuron,Motif_5,-0.84122443
41,Proliferating,Motif_5,0.8371117
42,Secretory,Motif_5,0.0007373368
43,Stromal,Motif_5,-0.5558716
44,Endothelial,Motif_6,-0.8307549
45,Epithelial,Motif_6,-0.01400645
46,Erythroid,Motif_6,0.364659
47,Germ,Motif_6,-0.1675273
48,Hepatocyte,Motif_6,0.7164793
49,Immune,Motif_6,0.35645843
50,Muscle,Motif_6,-0.31135818
51,Neuron,Motif_6,-1.05944
52,Proliferating,Motif_6,1.100173
53,Secretory,Motif_6,0.19915
54,Stromal,Motif_6,-0.57076776
55,Endothelial,Motif_8,1.0145687
56,Epithelial,Motif_8,0.17300142
57,Erythroid,Motif_8,-0.89511126
58,Germ,Motif_8,-0.2588884
59,Hepatocyte,Motif_8,-0.43426254
60,Immune,Motif_8,-0.28059754
61,Muscle,Motif_8,0.6291826
62,Neuron,Motif_8,0.8059667
63,Proliferating,Motif_8,-0.68999326
64,Secretory,Motif_8,0.118531205
65,Stromal,Motif_8,0.6814472
66,Endothelial,Motif_9,-0.9335892
67,Epithelial,Motif_9,-0.014206796
