Celltype,Species,Cellcluster,colors_lineage
C16_Muscle,Planarian,Muscle,#66A61E
C40_Protonephridia,Planarian,Protonephridia,#7570B3
C26_Protonephridia,Planarian,Protonephridia,#7570B3
C29_Protonephridia,Planarian,Protonephridia,#7570B3
C37_Pharynx,Planarian,Pharynx,#CCEBC5
C27_Pharynx,Planarian,Pharynx,#CCEBC5
C38_Parapharyngeal,Planarian,Pharynx,#CCEBC5
C13_Muscle,Planarian,Muscle,#66A61E
C25_Pharynx,Planarian,Pharynx,#CCEBC5
C12_Parapharyngeal,Planarian,Pharynx,#CCEBC5
C22_Neoblast,Planarian,Neoblast,#FFFF99
C21_Neural,Planarian,Neuron,#D95F02
C33_Neural,Planarian,Neuron,#D95F02
C36_Neural,Planarian,Neuron,#D95F02
C32_Neural,Planarian,Neuron,#D95F02
C23_Neural,Planarian,Neuron,#D95F02
C34_Neural,Planarian,Neuron,#D95F02
C15_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C17_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C28_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C10_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C39_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C42_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C31_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C41_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C20_Neural,Planarian,Neuron,#D95F02
C8_Neural,Planarian,Neuron,#D95F02
C18_Neural,Planarian,Neuron,#D95F02
C1_Neural,Planarian,Neuron,#D95F02
C9_Neural,Planarian,Neuron,#D95F02
C43_Intestine,Planarian,Intestine,#A6CEE3
C30_Intestine,Planarian,Intestine,#A6CEE3
C19_Intestine,Planarian,Intestine,#A6CEE3
C6_Intestine,Planarian,Intestine,#A6CEE3
C24_Epidermal,Planarian,Epithelial,#E7298A
C5_Neoblast,Planarian,Neoblast,#FFFF99
C4_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C14_Muscle,Planarian,Muscle,#66A61E
C3_Epidermal,Planarian,Epithelial,#E7298A
C0_Neoblast,Planarian,Neoblast,#FFFF99
C35_Epidermal,Planarian,Epithelial,#E7298A
C11_Epidermal,Planarian,Epithelial,#E7298A
C2_Epidermal,Planarian,Epithelial,#E7298A
C7_Muscle,Planarian,Muscle,#66A61E
