,Celltype,Motif,Influe
0,C0_Neoblast,Motif_0,-0.15047692
1,C10_Cathepsin+_cells,Motif_0,-0.15047692
2,C11_Epidermal,Motif_0,-0.15047692
3,C12_Parapharyngeal,Motif_0,-0.15047692
4,C13_Muscle,Motif_0,-0.15047692
5,C14_Muscle,Motif_0,-0.14811786
6,C15_Cathepsin+_cells,Motif_0,-0.15047692
7,C16_Muscle,Motif_0,-0.15047692
8,C17_Cathepsin+_cells,Motif_0,-0.15047692
9,C18_Neural,Motif_0,-0.15047692
10,C19_Intestine,Motif_0,-0.15047692
11,C1_Neural,Motif_0,-0.09167603
12,C20_Neural,Motif_0,-0.11433991
13,C21_Neural,Motif_0,0.6732718
14,C22_Neoblast,Motif_0,-0.15047692
15,C23_Neural,Motif_0,1.1097106
16,C24_Epidermal,Motif_0,-0.15047692
17,C25_Pharynx,Motif_0,-0.15047692
18,C26_Protonephridia,Motif_0,-0.15047692
19,C27_Pharynx,Motif_0,-0.15047692
20,C28_Cathepsin+_cells,Motif_0,-0.15047692
21,C29_Protonephridia,Motif_0,-0.15047692
22,C2_Epidermal,Motif_0,-0.15047692
23,C30_Intestine,Motif_0,-0.15047692
24,C31_Cathepsin+_cells,Motif_0,-0.15047692
25,C32_Neural,Motif_0,1.231887
26,C33_Neural,Motif_0,1.2424681
27,C34_Neural,Motif_0,0.84446955
28,C35_Epidermal,Motif_0,-0.15047692
29,C36_Neural,Motif_0,1.4064319
30,C37_Pharynx,Motif_0,-0.15047692
31,C38_Parapharyngeal,Motif_0,-0.15047692
32,C39_Cathepsin+_cells,Motif_0,-0.15047692
33,C3_Epidermal,Motif_0,-0.15015517
34,C40_Protonephridia,Motif_0,-0.15047692
35,C41_Cathepsin+_cells,Motif_0,-0.15047692
36,C42_Cathepsin+_cells,Motif_0,-0.15047692
37,C43_Intestine,Motif_0,-0.15047692
38,C4_Cathepsin+_cells,Motif_0,-0.15047692
39,C5_Neoblast,Motif_0,-0.15047692
40,C6_Intestine,Motif_0,-0.15047692
41,C7_Muscle,Motif_0,-0.14817004
42,C8_Neural,Motif_0,-0.059026767
43,C9_Neural,Motif_0,-0.15047692
44,C0_Neoblast,Motif_2,-0.3661009
45,C10_Cathepsin+_cells,Motif_2,0.3528019
46,C11_Epidermal,Motif_2,-0.21153776
47,C12_Parapharyngeal,Motif_2,-1.0760843
48,C13_Muscle,Motif_2,-1.4318457
49,C14_Muscle,Motif_2,-0.2919271
50,C15_Cathepsin+_cells,Motif_2,0.29619274
51,C16_Muscle,Motif_2,-1.1463908
52,C17_Cathepsin+_cells,Motif_2,0.6358306
53,C18_Neural,Motif_2,0.88762397
54,C19_Intestine,Motif_2,0.35049772
55,C1_Neural,Motif_2,0.7348379
56,C20_Neural,Motif_2,0.7409193
57,C21_Neural,Motif_2,0.87068826
58,C22_Neoblast,Motif_2,-1.1251199
59,C23_Neural,Motif_2,0.92383486
60,C24_Epidermal,Motif_2,0.2686012
61,C25_Pharynx,Motif_2,-1.6322595
62,C26_Protonephridia,Motif_2,-1.7211684
63,C27_Pharynx,Motif_2,-1.7570366
64,C28_Cathepsin+_cells,Motif_2,0.4837573
65,C29_Protonephridia,Motif_2,-1.5668322
66,C2_Epidermal,Motif_2,-0.37464166
67,C30_Intestine,Motif_2,0.4243061
68,C31_Cathepsin+_cells,Motif_2,0.46243468
69,C32_Neural,Motif_2,1.0463312
70,C33_Neural,Motif_2,0.92947793
71,C34_Neural,Motif_2,1.0686346
72,C35_Epidermal,Motif_2,-0.130583
73,C36_Neural,Motif_2,1.0254916
74,C37_Pharynx,Motif_2,-1.7215452
75,C38_Parapharyngeal,Motif_2,-1.6430469
76,C39_Cathepsin+_cells,Motif_2,0.50949436
77,C3_Epidermal,Motif_2,0.06091703
78,C40_Protonephridia,Motif_2,-1.7295579
79,C41_Cathepsin+_cells,Motif_2,0.61141646
80,C42_Cathepsin+_cells,Motif_2,0.5359339
81,C43_Intestine,Motif_2,0.16257387
82,C4_Cathepsin+_cells,Motif_2,0.20021763
83,C5_Neoblast,Motif_2,0.51627743
84,C6_Intestine,Motif_2,0.38302115
85,C7_Muscle,Motif_2,0.018308643
86,C8_Neural,Motif_2,0.49863964
87,C9_Neural,Motif_2,0.5902435
88,C0_Neoblast,Motif_4,-0.16661426
89,C10_Cathepsin+_cells,Motif_4,-0.16132693
90,C11_Epidermal,Motif_4,-0.16661426
91,C12_Parapharyngeal,Motif_4,-0.16552222
92,C13_Muscle,Motif_4,-0.16661426
93,C14_Muscle,Motif_4,-0.15788957
94,C15_Cathepsin+_cells,Motif_4,-0.16160475
95,C16_Muscle,Motif_4,-0.16661426
96,C17_Cathepsin+_cells,Motif_4,-0.16336308
97,C18_Neural,Motif_4,-0.16661426
98,C19_Intestine,Motif_4,-0.16661426
99,C1_Neural,Motif_4,-0.10215653
100,C20_Neural,Motif_4,-0.12858485
101,C21_Neural,Motif_4,0.56522405
102,C22_Neoblast,Motif_4,-0.16661426
103,C23_Neural,Motif_4,1.5813415
104,C24_Epidermal,Motif_4,-0.16661426
105,C25_Pharynx,Motif_4,-0.16661426
106,C26_Protonephridia,Motif_4,-0.16661426
107,C27_Pharynx,Motif_4,-0.16661426
108,C28_Cathepsin+_cells,Motif_4,-0.15855993
109,C29_Protonephridia,Motif_4,-0.16661426
110,C2_Epidermal,Motif_4,-0.16661426
111,C30_Intestine,Motif_4,-0.16661426
112,C31_Cathepsin+_cells,Motif_4,-0.16661426
113,C32_Neural,Motif_4,1.168378
114,C33_Neural,Motif_4,1.7048589
115,C34_Neural,Motif_4,0.7537222
116,C35_Epidermal,Motif_4,-0.16661426
117,C36_Neural,Motif_4,1.4504181
118,C37_Pharynx,Motif_4,-0.16661426
119,C38_Parapharyngeal,Motif_4,-0.16661426
120,C39_Cathepsin+_cells,Motif_4,-0.16661426
121,C3_Epidermal,Motif_4,-0.16650377
122,C40_Protonephridia,Motif_4,-0.16661426
123,C41_Cathepsin+_cells,Motif_4,-0.16661426
124,C42_Cathepsin+_cells,Motif_4,-0.16661426
125,C43_Intestine,Motif_4,-0.16661426
126,C4_Cathepsin+_cells,Motif_4,-0.15957785
127,C5_Neoblast,Motif_4,-0.16583051
128,C6_Intestine,Motif_4,-0.16661426
129,C7_Muscle,Motif_4,-0.16485289
130,C8_Neural,Motif_4,-0.06420438
131,C9_Neural,Motif_4,-0.16624926
132,C0_Neoblast,Motif_5,-0.0063530146
133,C10_Cathepsin+_cells,Motif_5,-0.0067093195
134,C11_Epidermal,Motif_5,-0.0067093195
135,C12_Parapharyngeal,Motif_5,-0.0067093195
136,C13_Muscle,Motif_5,-0.0067093195
137,C14_Muscle,Motif_5,-0.0067093195
138,C15_Cathepsin+_cells,Motif_5,-0.0067093195
139,C16_Muscle,Motif_5,-0.0067093195
140,C17_Cathepsin+_cells,Motif_5,-0.0067093195
141,C18_Neural,Motif_5,-0.0067093195
142,C19_Intestine,Motif_5,-0.0067093195
143,C1_Neural,Motif_5,-0.0067093195
144,C20_Neural,Motif_5,-0.0067093195
145,C21_Neural,Motif_5,-0.0067093195
146,C22_Neoblast,Motif_5,-0.0067093195
147,C23_Neural,Motif_5,-0.0067093195
148,C24_Epidermal,Motif_5,-0.0067093195
149,C25_Pharynx,Motif_5,-0.0040439367
150,C26_Protonephridia,Motif_5,-0.0067093195
151,C27_Pharynx,Motif_5,-0.0067093195
152,C28_Cathepsin+_cells,Motif_5,-0.0067093195
153,C29_Protonephridia,Motif_5,-0.0067093195
154,C2_Epidermal,Motif_5,-0.0067093195
155,C30_Intestine,Motif_5,-0.0067093195
156,C31_Cathepsin+_cells,Motif_5,-0.0067093195
157,C32_Neural,Motif_5,-0.0067093195
158,C33_Neural,Motif_5,-0.0067093195
159,C34_Neural,Motif_5,-0.0067093195
160,C35_Epidermal,Motif_5,-0.0067093195
161,C36_Neural,Motif_5,-0.0067093195
162,C37_Pharynx,Motif_5,0.014752813
163,C38_Parapharyngeal,Motif_5,-0.0067093195
164,C39_Cathepsin+_cells,Motif_5,-0.0067093195
165,C3_Epidermal,Motif_5,-0.0067093195
166,C40_Protonephridia,Motif_5,-0.0067093195
167,C41_Cathepsin+_cells,Motif_5,-0.0067093195
168,C42_Cathepsin+_cells,Motif_5,-0.0067093195
169,C43_Intestine,Motif_5,-0.0067093195
170,C4_Cathepsin+_cells,Motif_5,-0.0067093195
171,C5_Neoblast,Motif_5,-0.0067093195
172,C6_Intestine,Motif_5,-0.0067093195
173,C7_Muscle,Motif_5,-0.0067093195
174,C8_Neural,Motif_5,-0.0067093195
175,C9_Neural,Motif_5,-0.0067093195
176,C0_Neoblast,Motif_6,-0.00031101465
177,C10_Cathepsin+_cells,Motif_6,-0.023172159
178,C11_Epidermal,Motif_6,0.056614358
179,C12_Parapharyngeal,Motif_6,-0.11981412
180,C13_Muscle,Motif_6,-0.076121956
181,C14_Muscle,Motif_6,-0.11576834
182,C15_Cathepsin+_cells,Motif_6,-0.023552392
183,C16_Muscle,Motif_6,-0.10140474
184,C17_Cathepsin+_cells,Motif_6,-0.12657602
185,C18_Neural,Motif_6,-0.12562904
186,C19_Intestine,Motif_6,-0.13343644
187,C1_Neural,Motif_6,-0.13263981
188,C20_Neural,Motif_6,-0.12213411
189,C21_Neural,Motif_6,-0.12697284
190,C22_Neoblast,Motif_6,0.14307003
191,C23_Neural,Motif_6,-0.13343644
192,C24_Epidermal,Motif_6,-0.09720961
193,C25_Pharynx,Motif_6,0.014316133
194,C26_Protonephridia,Motif_6,-0.10531294
195,C27_Pharynx,Motif_6,-0.041493133
196,C28_Cathepsin+_cells,Motif_6,-0.0771492
197,C29_Protonephridia,Motif_6,-0.13343644
198,C2_Epidermal,Motif_6,-0.08324755
199,C30_Intestine,Motif_6,-0.13343644
200,C31_Cathepsin+_cells,Motif_6,-0.0743281
201,C32_Neural,Motif_6,-0.13343644
202,C33_Neural,Motif_6,-0.13343644
203,C34_Neural,Motif_6,-0.13343644
204,C35_Epidermal,Motif_6,-0.04149671
205,C36_Neural,Motif_6,-0.13343644
206,C37_Pharynx,Motif_6,-0.08078815
207,C38_Parapharyngeal,Motif_6,-0.12823701
208,C39_Cathepsin+_cells,Motif_6,-0.024660213
209,C3_Epidermal,Motif_6,-0.12679222
210,C40_Protonephridia,Motif_6,-0.13343644
211,C41_Cathepsin+_cells,Motif_6,-0.13343644
212,C42_Cathepsin+_cells,Motif_6,-0.13343644
213,C43_Intestine,Motif_6,-0.13343644
214,C4_Cathepsin+_cells,Motif_6,-0.09200782
215,C5_Neoblast,Motif_6,-0.13343644
216,C6_Intestine,Motif_6,-0.12698217
217,C7_Muscle,Motif_6,-0.12995498
218,C8_Neural,Motif_6,-0.048764445
219,C9_Neural,Motif_6,-0.09072912
220,C0_Neoblast,Motif_7,-0.22814989
221,C10_Cathepsin+_cells,Motif_7,-0.2350047
222,C11_Epidermal,Motif_7,-0.2351995
223,C12_Parapharyngeal,Motif_7,0.6792663
224,C13_Muscle,Motif_7,1.1408678
225,C14_Muscle,Motif_7,0.154988
226,C15_Cathepsin+_cells,Motif_7,-0.2351995
227,C16_Muscle,Motif_7,0.58014536
228,C17_Cathepsin+_cells,Motif_7,-0.2351995
229,C18_Neural,Motif_7,-0.2351995
230,C19_Intestine,Motif_7,-0.2351995
231,C1_Neural,Motif_7,-0.2351995
232,C20_Neural,Motif_7,-0.2351995
233,C21_Neural,Motif_7,-0.2351995
234,C22_Neoblast,Motif_7,0.029434904
235,C23_Neural,Motif_7,-0.2351995
236,C24_Epidermal,Motif_7,-0.2351995
237,C25_Pharynx,Motif_7,0.7963876
238,C26_Protonephridia,Motif_7,1.3892242
239,C27_Pharynx,Motif_7,1.6684968
240,C28_Cathepsin+_cells,Motif_7,-0.2351995
241,C29_Protonephridia,Motif_7,1.3964659
242,C2_Epidermal,Motif_7,-0.20656323
243,C30_Intestine,Motif_7,-0.2351995
244,C31_Cathepsin+_cells,Motif_7,-0.2351995
245,C32_Neural,Motif_7,-0.2351995
246,C33_Neural,Motif_7,-0.2351995
247,C34_Neural,Motif_7,-0.2351995
248,C35_Epidermal,Motif_7,-0.2351995
249,C36_Neural,Motif_7,-0.2351995
250,C37_Pharynx,Motif_7,1.7352647
251,C38_Parapharyngeal,Motif_7,1.6091012
252,C39_Cathepsin+_cells,Motif_7,-0.2351995
253,C3_Epidermal,Motif_7,-0.21147545
254,C40_Protonephridia,Motif_7,1.5659122
255,C41_Cathepsin+_cells,Motif_7,-0.2351995
256,C42_Cathepsin+_cells,Motif_7,-0.2351995
257,C43_Intestine,Motif_7,-0.2351995
258,C4_Cathepsin+_cells,Motif_7,-0.2351995
259,C5_Neoblast,Motif_7,-0.23300247
260,C6_Intestine,Motif_7,-0.2351995
261,C7_Muscle,Motif_7,-0.2224509
262,C8_Neural,Motif_7,-0.2351995
263,C9_Neural,Motif_7,-0.2351995
264,C0_Neoblast,Motif_8,-0.21448359
265,C10_Cathepsin+_cells,Motif_8,-0.14071415
266,C11_Epidermal,Motif_8,-0.21448359
267,C12_Parapharyngeal,Motif_8,-0.19974919
268,C13_Muscle,Motif_8,-0.21448359
269,C14_Muscle,Motif_8,-0.15825358
270,C15_Cathepsin+_cells,Motif_8,-0.16435839
271,C16_Muscle,Motif_8,-0.21448359
272,C17_Cathepsin+_cells,Motif_8,-0.11992892
273,C18_Neural,Motif_8,-0.20066935
274,C19_Intestine,Motif_8,-0.21448359
275,C1_Neural,Motif_8,-0.044685934
276,C20_Neural,Motif_8,-0.04652877
277,C21_Neural,Motif_8,0.71360016
278,C22_Neoblast,Motif_8,-0.21448359
279,C23_Neural,Motif_8,1.9026896
280,C24_Epidermal,Motif_8,-0.2118891
281,C25_Pharynx,Motif_8,-0.21448359
282,C26_Protonephridia,Motif_8,-0.21448359
283,C27_Pharynx,Motif_8,-0.21448359
284,C28_Cathepsin+_cells,Motif_8,-0.09928172
285,C29_Protonephridia,Motif_8,-0.21448359
286,C2_Epidermal,Motif_8,-0.21396087
287,C30_Intestine,Motif_8,-0.21448359
288,C31_Cathepsin+_cells,Motif_8,-0.10091068
289,C32_Neural,Motif_8,1.4739839
290,C33_Neural,Motif_8,1.8851515
291,C34_Neural,Motif_8,1.0137923
292,C35_Epidermal,Motif_8,-0.21448359
293,C36_Neural,Motif_8,1.6323917
294,C37_Pharynx,Motif_8,-0.21448359
295,C38_Parapharyngeal,Motif_8,-0.21448359
296,C39_Cathepsin+_cells,Motif_8,-0.14973378
297,C3_Epidermal,Motif_8,-0.21229161
298,C40_Protonephridia,Motif_8,-0.21448359
