Celltype,Species,Cellcluster,colors_lineage
C12_Parapharyngeal,Planarian,Pharynx,#CCEBC5
C43_Intestine,Planarian,Intestine,#A6CEE3
C25_Pharynx,Planarian,Pharynx,#CCEBC5
C37_Pharynx,Planarian,Pharynx,#CCEBC5
C16_Muscle,Planarian,Muscle,#66A61E
C13_Muscle,Planarian,Muscle,#66A61E
C29_Protonephridia,Planarian,Protonephridia,#7570B3
C26_Protonephridia,Planarian,Protonephridia,#7570B3
C40_Protonephridia,Planarian,Protonephridia,#7570B3
C27_Pharynx,Planarian,Pharynx,#CCEBC5
C38_Parapharyngeal,Planarian,Pharynx,#CCEBC5
C23_Neural,Planarian,Neuron,#D95F02
C33_Neural,Planarian,Neuron,#D95F02
C34_Neural,Planarian,Neuron,#D95F02
C36_Neural,Planarian,Neuron,#D95F02
C21_Neural,Planarian,Neuron,#D95F02
C32_Neural,Planarian,Neuron,#D95F02
C5_Neoblast,Planarian,Neoblast,#FFFF99
C18_Neural,Planarian,Neuron,#D95F02
C1_Neural,Planarian,Neuron,#D95F02
C22_Neoblast,Planarian,Neoblast,#FFFF99
C17_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C28_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C10_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C15_Cathepsin+_cells,Planarian,Cathepsin,#A65628
C0_Neoblast,Planarian,Neoblast,#FFFF99
C42_Cathepsin+_cells,Planarian,Cathepsin,#A65628
