,Species,Cluster,Motif,Influe
2,Human,Erythroid,"(0, 1)",1.5390973
12,Human,Erythroid,"(0, 4)",1.7792679
22,Human,Erythroid,"(0, 5)",1.8022735
32,Human,Erythroid,"(0, 8)",1.6914741000000002
42,Human,Erythroid,"(0, 10)",1.7229816999999998
52,Human,Erythroid,"(0, 11)",1.4116368000000001
53,Human,Germ,"(0, 11)",1.0146370999999998
62,Human,Erythroid,"(0, 13)",1.8010656000000003
72,Human,Erythroid,"(0, 14)",0.57875854
74,Human,Immune,"(0, 14)",0.9715715
84,Human,Immune,"(0, 15)",0.7968045
92,Human,Erythroid,"(0, 16)",1.8302342
102,Human,Erythroid,"(0, 17)",1.7634518
112,Human,Erythroid,"(0, 18)",1.7630862
114,Human,Immune,"(0, 18)",0.6157521
132,Human,Erythroid,"(0, 20)",1.8106616999999998
144,Human,Immune,"(0, 21)",0.7429448000000001
148,Human,Secretory,"(0, 21)",0.5347099000000001
152,Human,Erythroid,"(0, 24)",1.669043
172,Human,Erythroid,"(0, 26)",1.7826005
182,Human,Erythroid,"(0, 33)",1.565907
183,Human,Germ,"(0, 33)",0.94449574
190,Human,Endothelial,"(0, 34)",0.50797194
193,Human,Germ,"(0, 34)",1.2246405
198,Human,Secretory,"(0, 34)",0.97039
203,Human,Germ,"(0, 35)",1.6454363999999997
208,Human,Secretory,"(0, 35)",0.80637616
212,Human,Erythroid,"(0, 37)",1.4107375
216,Human,Neuron,"(0, 37)",0.599715
217,Human,Proliferating,"(0, 37)",0.52272004
223,Human,Germ,"(0, 41)",1.0759756999999999
232,Human,Erythroid,"(0, 42)",1.5028957
236,Human,Neuron,"(0, 42)",0.680458
237,Human,Proliferating,"(0, 42)",0.5090683
243,Human,Germ,"(0, 43)",1.5454595
248,Human,Secretory,"(0, 43)",0.66716987
252,Human,Erythroid,"(0, 45)",1.8330171000000002
254,Human,Immune,"(0, 45)",0.69053674
262,Human,Erythroid,"(0, 46)",1.8202175999999999
264,Human,Immune,"(0, 46)",0.59353256
282,Human,Erythroid,"(0, 50)",1.7394718999999996
286,Human,Neuron,"(0, 50)",0.57810265
292,Human,Erythroid,"(0, 51)",1.5771544
293,Human,Germ,"(0, 51)",0.90352046
296,Human,Neuron,"(0, 51)",0.5537062
302,Human,Erythroid,"(0, 53)",1.7615819
312,Human,Erythroid,"(0, 54)",1.8126175
322,Human,Erythroid,"(0, 55)",1.6373274
326,Human,Neuron,"(0, 55)",0.85921633
333,Human,Germ,"(0, 56)",1.084012
334,Human,Immune,"(0, 56)",0.85932153
342,Human,Erythroid,"(0, 57)",0.79069394
343,Human,Germ,"(0, 57)",1.1753046999999999
352,Human,Erythroid,"(0, 58)",1.6608740000000002
356,Human,Neuron,"(0, 58)",0.7275298000000001
362,Human,Erythroid,"(0, 60)",1.1630486999999998
364,Human,Immune,"(0, 60)",0.6189805
367,Human,Proliferating,"(0, 60)",0.5720543
382,Human,Erythroid,"(0, 62)",1.6124935
383,Human,Germ,"(0, 62)",0.9038746
394,Human,Immune,"(0, 63)",0.6050788
403,Human,Germ,"(0, 64)",1.3252442
406,Human,Neuron,"(0, 64)",0.69845754
408,Human,Secretory,"(0, 64)",1.0603243
432,Human,Erythroid,"(0, 75)",1.5574508
433,Human,Germ,"(0, 75)",0.8080084
442,Human,Erythroid,"(0, 76)",0.6148627
443,Human,Germ,"(0, 76)",1.633051
446,Human,Neuron,"(0, 76)",0.5196965
448,Human,Secretory,"(0, 76)",0.677963
462,Human,Erythroid,"(0, 79)",1.7819341
472,Human,Erythroid,"(0, 80)",1.1242862
473,Human,Germ,"(0, 80)",1.6110388
483,Human,Germ,"(0, 83)",1.626044
488,Human,Secretory,"(0, 83)",0.61837214
493,Human,Germ,"(0, 84)",0.9077328000000001
494,Human,Immune,"(0, 84)",0.96395284
502,Human,Erythroid,"(0, 85)",1.1808292
503,Human,Germ,"(0, 85)",0.7877659
512,Human,Erythroid,"(0, 88)",1.7967601999999998
513,Human,Germ,"(0, 88)",0.6979281999999999
522,Human,Erythroid,"(0, 89)",1.746602
532,Human,Erythroid,"(0, 90)",1.7752781000000002
543,Human,Germ,"(0, 92)",1.3544313000000001
548,Human,Secretory,"(0, 92)",0.57182205
562,Human,Erythroid,"(0, 94)",0.5082319000000001
563,Human,Germ,"(0, 94)",1.0635207
572,Human,Erythroid,"(0, 95)",1.8085313000000003
592,Human,Erythroid,"(0, 98)",1.7986417000000001
602,Human,Erythroid,"(0, 99)",1.590747
603,Human,Germ,"(0, 99)",0.79380345
612,Human,Erythroid,"(0, 102)",1.7216961
614,Human,Immune,"(0, 102)",0.51536286
623,Human,Germ,"(0, 103)",1.3926451000000002
626,Human,Neuron,"(0, 103)",0.5119745
628,Human,Secretory,"(0, 103)",0.8045358
629,Human,Stromal,"(0, 103)",0.5200140000000001
632,Human,Erythroid,"(0, 104)",1.7765756999999998
642,Human,Erythroid,"(0, 105)",1.0191647
652,Human,Erythroid,"(0, 107)",1.3967912
662,Human,Erythroid,"(0, 108)",1.3321017
663,Human,Germ,"(0, 108)",1.001817
672,Human,Erythroid,"(0, 109)",1.7400459
682,Human,Erythroid,"(0, 110)",1.6380563999999997
692,Human,Erythroid,"(0, 115)",1.3574286
694,Human,Immune,"(0, 115)",0.78964454
702,Human,Erythroid,"(0, 116)",1.8093357
712,Human,Erythroid,"(0, 121)",1.8004533
722,Human,Erythroid,"(0, 122)",1.6473875
723,Human,Germ,"(0, 122)",0.6786935000000001
732,Human,Erythroid,"(0, 123)",0.84425336
734,Human,Immune,"(0, 123)",1.0387365
743,Human,Germ,"(0, 124)",1.5216376
748,Human,Secretory,"(0, 124)",0.5553223
752,Human,Erythroid,"(0, 127)",1.5493853000000002
753,Human,Germ,"(0, 127)",0.97642106
772,Human,Erythroid,"(1, 5)",1.8227903000000003
782,Human,Erythroid,"(1, 8)",1.6379028999999998
792,Human,Erythroid,"(1, 10)",1.5395181
802,Human,Erythroid,"(1, 11)",0.64856446
803,Human,Germ,"(1, 11)",0.82986933
812,Human,Erythroid,"(1, 13)",1.8479816000000002
814,Human,Immune,"(1, 13)",0.71002907
824,Human,Immune,"(1, 14)",0.9096558000000001
834,Human,Immune,"(1, 15)",0.712124
842,Human,Erythroid,"(1, 16)",1.4554075
844,Human,Immune,"(1, 16)",0.894027
852,Human,Erythroid,"(1, 17)",1.6094823
854,Human,Immune,"(1, 17)",0.7685848000000001
862,Human,Erythroid,"(1, 18)",1.6594640999999999
864,Human,Immune,"(1, 18)",1.0108175
872,Human,Erythroid,"(1, 20)",1.8388914
874,Human,Immune,"(1, 20)",0.7723051999999999
880,Human,Endothelial,"(1, 21)",0.7358939999999999
884,Human,Immune,"(1, 21)",0.5298788000000001
902,Human,Erythroid,"(1, 26)",1.8366276999999998
904,Human,Immune,"(1, 26)",0.5201026
912,Human,Erythroid,"(1, 33)",1.3278555
913,Human,Germ,"(1, 33)",1.0497534
920,Human,Endothelial,"(1, 34)",0.71751946
923,Human,Germ,"(1, 34)",0.8909065
928,Human,Secretory,"(1, 34)",0.8088951999999999
929,Human,Stromal,"(1, 34)",0.54150087
930,Human,Endothelial,"(1, 35)",0.50548375
933,Human,Germ,"(1, 35)",1.2597127000000001
938,Human,Secretory,"(1, 35)",0.6446833000000001
939,Human,Stromal,"(1, 35)",0.556381
940,Human,Endothelial,"(1, 37)",0.5193456
944,Human,Immune,"(1, 37)",0.5425970999999999
945,Human,Muscle,"(1, 37)",0.5394606
953,Human,Germ,"(1, 41)",0.60207367
959,Human,Stromal,"(1, 41)",0.76555735
970,Human,Endothelial,"(1, 43)",0.7465088000000001
982,Human,Erythroid,"(1, 45)",1.3538642
984,Human,Immune,"(1, 45)",1.3188281000000002
992,Human,Erythroid,"(1, 46)",1.8020952000000001
994,Human,Immune,"(1, 46)",0.9134796999999999
1012,Human,Erythroid,"(1, 51)",1.1297506000000002
1013,Human,Germ,"(1, 51)",0.9355241
1022,Human,Erythroid,"(1, 53)",1.8271948
1030,Human,Endothelial,"(1, 55)",0.83400166
1035,Human,Muscle,"(1, 55)",1.0566707
1036,Human,Neuron,"(1, 55)",0.56292534
1044,Human,Immune,"(1, 56)",0.7531371
1053,Human,Germ,"(1, 57)",0.50006443
1062,Human,Erythroid,"(1, 58)",1.356484
1074,Human,Immune,"(1, 60)",0.69378096
1082,Human,Erythroid,"(1, 62)",1.6531731
1083,Human,Germ,"(1, 62)",0.84270626
1090,Human,Endothelial,"(1, 63)",0.5743609000000001
1100,Human,Endothelial,"(1, 64)",0.8869197
1103,Human,Germ,"(1, 64)",0.5212689
1105,Human,Muscle,"(1, 64)",0.67218643
1108,Human,Secretory,"(1, 64)",0.6389961
1109,Human,Stromal,"(1, 64)",0.67121565
1114,Human,Immune,"(1, 75)",0.6504966999999999
1120,Human,Endothelial,"(1, 76)",0.5179512
1123,Human,Germ,"(1, 76)",1.3161108
1128,Human,Secretory,"(1, 76)",0.5838677
1129,Human,Stromal,"(1, 76)",0.57606584
1132,Human,Erythroid,"(1, 79)",1.822091
1140,Human,Endothelial,"(1, 80)",0.76831526
1153,Human,Germ,"(1, 83)",1.1073254
1164,Human,Immune,"(1, 84)",0.8120423000000001
1192,Human,Erythroid,"(1, 89)",1.6782848999999997
1202,Human,Erythroid,"(1, 90)",1.7756125
1213,Human,Germ,"(1, 92)",1.2494113000000002
1218,Human,Secretory,"(1, 92)",0.53830296
1219,Human,Stromal,"(1, 92)",0.5675964
1223,Human,Germ,"(1, 94)",0.64956564
1229,Human,Stromal,"(1, 94)",0.69491637
1232,Human,Erythroid,"(1, 95)",1.6691321
1252,Human,Erythroid,"(1, 98)",1.6373621999999999
1254,Human,Immune,"(1, 98)",1.1048678
1272,Human,Erythroid,"(1, 102)",1.1876693
1274,Human,Immune,"(1, 102)",0.7725446
1280,Human,Endothelial,"(1, 103)",0.519724
1283,Human,Germ,"(1, 103)",1.1087003
1288,Human,Secretory,"(1, 103)",0.70014393
1289,Human,Stromal,"(1, 103)",0.6738596
1292,Human,Erythroid,"(1, 104)",1.8074453000000001
1294,Human,Immune,"(1, 104)",0.56612957
1312,Human,Erythroid,"(1, 109)",1.5790645
1314,Human,Immune,"(1, 109)",0.95895165
1322,Human,Erythroid,"(1, 115)",0.8788233
1324,Human,Immune,"(1, 115)",1.171671
1332,Human,Erythroid,"(1, 116)",1.8493741999999997
1342,Human,Erythroid,"(1, 122)",0.8643069
1349,Human,Stromal,"(1, 122)",0.5057095
1354,Human,Immune,"(1, 123)",0.87940145
1363,Human,Germ,"(1, 124)",1.0495704
1369,Human,Stromal,"(1, 124)",0.6040165
1372,Human,Erythroid,"(2, 5)",1.6863082999999999
1392,Human,Erythroid,"(2, 13)",1.5002131
1396,Human,Neuron,"(2, 13)",0.79249626
1397,Human,Proliferating,"(2, 13)",0.51888716
1406,Human,Neuron,"(2, 14)",0.7418055
1407,Human,Proliferating,"(2, 14)",0.7463914
1432,Human,Erythroid,"(2, 17)",1.4189393999999997
1442,Human,Erythroid,"(2, 18)",1.5917046000000001
1452,Human,Erythroid,"(2, 20)",1.6152872999999999
1456,Human,Neuron,"(2, 20)",0.55845356
1472,Human,Erythroid,"(2, 33)",0.8428803
1473,Human,Germ,"(2, 33)",1.1511635
1476,Human,Neuron,"(2, 33)",0.9384563
1477,Human,Proliferating,"(2, 33)",0.71010536
1478,Human,Secretory,"(2, 33)",0.6374583
1480,Human,Endothelial,"(2, 34)",0.64421564
1483,Human,Germ,"(2, 34)",1.1007403
1486,Human,Neuron,"(2, 34)",0.76607335
1488,Human,Secretory,"(2, 34)",1.0791846999999999
1493,Human,Germ,"(2, 35)",1.3987728000000001
1496,Human,Neuron,"(2, 35)",0.80039877
1498,Human,Secretory,"(2, 35)",1.1002718999999999
1502,Human,Erythroid,"(2, 45)",1.3212545
1506,Human,Neuron,"(2, 45)",0.8513879999999999
1507,Human,Proliferating,"(2, 45)",0.55631703
1508,Human,Secretory,"(2, 45)",0.56004846
1512,Human,Erythroid,"(2, 46)",1.742864
1522,Human,Erythroid,"(2, 53)",1.472499
1526,Human,Neuron,"(2, 53)",1.1139995
1540,Human,Endothelial,"(2, 84)",0.50474143
1543,Human,Germ,"(2, 84)",0.8549511999999999
1548,Human,Secretory,"(2, 84)",0.81390846
1552,Human,Erythroid,"(2, 98)",1.2993843999999999
1553,Human,Germ,"(2, 98)",0.5321060000000001
1556,Human,Neuron,"(2, 98)",0.8429563
1557,Human,Proliferating,"(2, 98)",0.5882311
1558,Human,Secretory,"(2, 98)",0.5469316
1577,Human,Proliferating,"(2, 104)",0.5259444000000001
1582,Human,Erythroid,"(2, 109)",0.8646096
1583,Human,Germ,"(2, 109)",0.6910816
1586,Human,Neuron,"(2, 109)",1.0898428999999998
1587,Human,Proliferating,"(2, 109)",0.66644204
1588,Human,Secretory,"(2, 109)",0.8033093000000001
1592,Human,Erythroid,"(2, 115)",1.1693685
1597,Human,Proliferating,"(2, 115)",0.58790064
1602,Human,Erythroid,"(2, 116)",1.7388213
1603,Human,Germ,"(2, 116)",0.6272476
1613,Human,Germ,"(2, 124)",1.4698374
1618,Human,Secretory,"(2, 124)",1.0561166000000002
1622,Human,Erythroid,"(3, 5)",1.7404249
1632,Human,Erythroid,"(3, 8)",1.3310896
1662,Human,Erythroid,"(3, 13)",1.6976258000000002
1692,Human,Erythroid,"(3, 16)",1.1220433
1695,Human,Muscle,"(3, 16)",0.70863587
1702,Human,Erythroid,"(3, 17)",1.1164593999999999
1705,Human,Muscle,"(3, 17)",1.0113
1712,Human,Erythroid,"(3, 18)",1.7226697
1722,Human,Erythroid,"(3, 20)",1.7611057
1730,Human,Endothelial,"(3, 21)",0.891232
1735,Human,Muscle,"(3, 21)",0.6331713000000001
1745,Human,Muscle,"(3, 26)",0.9681257
1746,Human,Neuron,"(3, 26)",1.1667888000000002
1747,Human,Proliferating,"(3, 26)",0.6862633
1752,Human,Erythroid,"(3, 33)",0.5654626
1753,Human,Germ,"(3, 33)",1.0544345
1755,Human,Muscle,"(3, 33)",0.5985714
1756,Human,Neuron,"(3, 33)",0.51183707
1760,Human,Endothelial,"(3, 34)",0.72472084
1763,Human,Germ,"(3, 34)",0.8890473
1765,Human,Muscle,"(3, 34)",0.5315189
1768,Human,Secretory,"(3, 34)",0.8917693000000001
1769,Human,Stromal,"(3, 34)",0.57604736
1770,Human,Endothelial,"(3, 35)",0.55991626
1773,Human,Germ,"(3, 35)",1.2090876
1778,Human,Secretory,"(3, 35)",0.7888484
1779,Human,Stromal,"(3, 35)",0.6355770000000001
1780,Human,Endothelial,"(3, 37)",0.72556055
1785,Human,Muscle,"(3, 37)",1.2268822
1786,Human,Neuron,"(3, 37)",0.9442815999999999
1793,Human,Germ,"(3, 41)",0.6634167
1795,Human,Muscle,"(3, 41)",0.5838284
1799,Human,Stromal,"(3, 41)",0.8737004999999999
1812,Human,Erythroid,"(3, 45)",1.8092734000000001
1814,Human,Immune,"(3, 45)",0.6494988
1822,Human,Erythroid,"(3, 46)",1.8282392
1832,Human,Erythroid,"(3, 53)",1.4038851
1836,Human,Neuron,"(3, 53)",0.83688104
1840,Human,Endothelial,"(3, 55)",0.56735456
1845,Human,Muscle,"(3, 55)",1.3118613000000001
1846,Human,Neuron,"(3, 55)",1.3824855
1847,Human,Proliferating,"(3, 55)",0.53954524
1848,Human,Secretory,"(3, 55)",0.6950797
1850,Human,Endothelial,"(3, 56)",0.7978400999999999
1859,Human,Stromal,"(3, 56)",0.5735003000000001
1870,Human,Endothelial,"(3, 60)",0.62047535
1875,Human,Muscle,"(3, 60)",0.9493286
1876,Human,Neuron,"(3, 60)",0.6072306
1890,Human,Endothelial,"(3, 63)",0.77499723
1895,Human,Muscle,"(3, 63)",0.77987427
1900,Human,Endothelial,"(3, 64)",0.9164078999999999
1905,Human,Muscle,"(3, 64)",0.9944615
1906,Human,Neuron,"(3, 64)",0.5584361
1908,Human,Secretory,"(3, 64)",0.9388544
1909,Human,Stromal,"(3, 64)",0.64872485
1922,Human,Erythroid,"(3, 79)",1.5534377000000001
1930,Human,Endothelial,"(3, 80)",0.91418004
1933,Human,Germ,"(3, 80)",0.6290472
1935,Human,Muscle,"(3, 80)",1.035407
1938,Human,Secretory,"(3, 80)",0.6212153
1939,Human,Stromal,"(3, 80)",0.6856814
1940,Human,Endothelial,"(3, 83)",0.5360269
1943,Human,Germ,"(3, 83)",1.1883298
1948,Human,Secretory,"(3, 83)",0.7754587
1949,Human,Stromal,"(3, 83)",0.611298
1950,Human,Endothelial,"(3, 84)",0.63597167
1953,Human,Germ,"(3, 84)",0.62527376
1962,Human,Erythroid,"(3, 90)",0.6103531
1973,Human,Germ,"(3, 92)",1.335413
1978,Human,Secretory,"(3, 92)",0.76613194
1983,Human,Germ,"(3, 94)",0.585885
1989,Human,Stromal,"(3, 94)",0.6526925
1992,Human,Erythroid,"(3, 98)",1.6232913999999998
2002,Human,Erythroid,"(3, 102)",1.044802
2013,Human,Germ,"(3, 103)",1.1494391000000002
2016,Human,Neuron,"(3, 103)",0.546017
2018,Human,Secretory,"(3, 103)",0.8567534
2019,Human,Stromal,"(3, 103)",0.66044664
2022,Human,Erythroid,"(3, 104)",1.5477988999999999
2032,Human,Erythroid,"(3, 109)",0.7371728
